name,geom,natoms,dlpno,wb97x-d3,ani1x,ani1cc,ani2,wb97x,d4atm,d30
omegacsd_FAHXIV,rmsd126-opt.mol,38,4139.043414431008,4246.698883417624,669343.1376005859,668797.4376352539,669341.0153623399,4259.413568513847,-6.0603,-12.7146850962235
omegacsd_FAHXIV,rmsd118-opt.mol,38,4139.132161122945,4246.860133320524,669343.2908010255,668797.5908356934,669341.1276071796,4259.596286721016,-6.0478,-12.7361534004922
omegacsd_FAHXIV,rmsd149-opt.mol,38,4139.109499414872,4246.754449448225,669343.1376005859,668797.5142354737,669341.0888021075,4259.47679009285,-6.0575,-12.7223406446246
omegacsd_FAHXIV,rmsd104-opt.mol,38,4139.073133546874,4246.788249371104,669343.2908010255,668797.3610350342,669340.8770853751,4259.531860323876,-6.028,-12.7436109527716
omegacsd_FAHXIV,rmsd150-opt.mol,38,4139.191281054079,4246.774165223544,669343.4440014649,668797.5142354737,669341.0920187207,4259.5102677231125,-6.0438,-12.7361024995689
omegacsd_FAHXIV,rmsd132-opt.mol,38,4139.083911506995,4246.541744375239,669342.9077999268,668797.1312343751,669340.7811480165,4259.322090183512,-6.053,-12.7803458082726
omegacsd_FAHXIV,rmsd151-opt.mol,38,4139.132100622996,4246.7748563856685,669343.0610003662,668797.2844348146,669340.8845471697,4259.534803343266,-6.0444,-12.7599469575971
omegacsd_FAHXIV,rmsd201-opt.mol,38,4139.12026031813,4246.924889712957,669343.2908010255,668797.5142354737,669341.1495811358,4259.660688017901,-6.0427,-12.7357983049433
omegacsd_FAHXIV,rmsd42-opt.mol,38,4139.565644936522,4247.2207069751385,669343.8270025635,668796.9014337158,669343.5643786858,4260.9595761429055,-5.2755,-13.738869167767
omegacsd_FAHXIV,rmsd189-opt.mol,38,4139.102022210253,4246.625416221769,669343.1376005859,668797.2078345948,669340.9179662847,4259.361529153607,-6.0517,-12.7361129318379
astex_1tow,rmsd103-opt.mol,34,3819.086033118155,3917.7387787828693,516916.7816679077,516440.3283012085,516916.7167223766,3923.8721670744926,-4.9981,-6.13338829162331
astex_1tow,rmsd160-opt.mol,34,3819.320958971751,3917.7949651705762,516917.1263688965,516440.5964019775,516917.1407729822,3923.895303348563,-5.0285,-6.10033817798694
astex_1tow,rmsd102-opt.mol,34,3819.331257121847,3917.8065726242376,516917.24126922607,516440.6730021973,516917.18743257475,3923.904113581506,-5.0307,-6.09754095726839
astex_1tow,rmsd110-opt.mol,34,3819.401121899488,3917.816164799903,516917.20296911616,516440.7113023072,516917.2230958385,3923.8996080635106,-5.0375,-6.08344326360748
astex_1tow,rmsd186-opt.mol,34,3819.2741089472215,3917.7959224488336,516916.97316845704,516440.5198017578,516917.0130809189,3923.9283291719344,-5.0118,-6.13240672310076
astex_1tow,rmsd109-opt.mol,34,3819.161436774411,3917.737199558631,516916.8965682373,516440.3666013184,516916.9322915643,3923.850191692863,-5.016,-6.11299213423217
astex_1tow,rmsd154-opt.mol,34,3819.1227561909277,3917.710923379594,516916.8582681274,516440.3666013184,516916.88591249037,3923.842611378457,-5.0095,-6.13168799886307
astex_1tow,rmsd155-opt.mol,34,3819.3355596254814,3917.7702273643145,516917.1646690064,516440.6730021973,516917.2000559114,3923.8578222079964,-5.038,-6.08759484368193
astex_1tow,rmsd187-opt.mol,34,3819.2851422297276,3917.861238973224,516917.1646690064,516440.6730021973,516917.0407400522,3924.0089766888746,-5.0046,-6.14773771565069
astex_1tow,rmsd158-opt.mol,34,3819.37094133212,3917.7858013360774,516917.1646690064,516440.55810186773,516917.1289350976,3923.8587007212345,-5.0405,-6.07289938515714
omegacsd_DUMTAG,rmsd124-opt.mol,40,4788.010103072349,4916.899020936033,719996.8713000489,719340.1010161133,719999.011364015,4929.972795520395,-6.3227,-13.0737745843626
omegacsd_DUMTAG,rmsd100-opt.mol,40,4788.18551945766,4917.078325725259,719997.1777009277,719340.4074169922,719999.4476639327,4930.188677602985,-6.3126,-13.1103518777263
omegacsd_DUMTAG,rmsd110-opt.mol,40,4788.151811668263,4917.124181873905,719997.3309013672,719340.5606174315,719999.3404123241,4930.229704172083,-6.3199,-13.1055222981777
omegacsd_DUMTAG,rmsd18-opt.mol,40,4788.277591209348,4917.155334105081,719997.4075015871,719340.5606174315,719999.5290891294,4930.2809842459055,-6.3205,-13.1256501408243
omegacsd_DUMTAG,rmsd182-opt.mol,40,4787.954733746477,4916.996620551081,719996.7946998291,719340.0244158936,719999.2636811384,4930.06975828356,-6.2952,-13.0731377324792
omegacsd_DUMTAG,rmsd140-opt.mol,40,4788.137756477147,4917.086008021146,719997.3309013672,719340.4840172121,719999.5564490426,4930.191363343502,-6.319,-13.1053553223564
omegacsd_DUMTAG,rmsd128-opt.mol,40,4788.09942205486,4916.972350644133,719997.101100708,719340.2542165527,719999.053292194,4930.061895589883,-6.3217,-13.0895449457494
omegacsd_DUMTAG,rmsd117-opt.mol,40,4788.1600840139945,4917.057687105009,719997.0245004883,719340.2542165527,719999.015253873,4930.150443451028,-6.3268,-13.0927563460191
omegacsd_DUMTAG,rmsd116-opt.mol,40,4788.136840273787,4917.122800308137,719997.0245004883,719340.177616333,719999.2867771692,4930.227727517186,-6.3052,-13.1049272090495
omegacsd_DUMTAG,rmsd120-opt.mol,40,4788.210592539127,4917.074806460658,719997.101100708,719340.2542165527,719999.3097609925,4930.1694318876425,-6.3197,-13.0946254269848
omegacsd_SAVYET,rmsd157-opt.mol,35,3984.7370207390113,4095.595919012306,,,779820.823532508,4102.465075579405,-5.1923,-6.8691565670988
omegacsd_SAVYET,rmsd161-opt.mol,35,3984.707510509821,4095.450709016504,,,779821.0043360916,4102.3931002432855,-5.1776,-6.94239122678164
omegacsd_SAVYET,rmsd169-opt.mol,35,3984.959025365599,4095.8919194720697,,,779821.1738441263,4102.855794350257,-5.1578,-6.96387487818765
omegacsd_SAVYET,rmsd162-opt.mol,35,3984.933969123265,4095.6683695010465,,,779820.9897304233,4102.572166345443,-5.1955,-6.90379684439677
omegacsd_SAVYET,rmsd159-opt.mol,35,3984.744501044048,4095.741727953428,,,779821.0379702706,4102.623389943297,-5.1853,-6.88166198986937
omegacsd_SAVYET,rmsd200-opt.mol,35,3984.9675459959967,4095.933817513193,,,779821.3667754635,4102.852656802992,-5.1749,-6.91883928979905
omegacsd_SAVYET,rmsd132-opt.mol,35,3984.0748429900927,4095.034700657014,,,779820.3168598262,4101.937340115953,-5.1936,-6.90263945893867
omegacsd_SAVYET,rmsd129-opt.mol,35,3985.3539963941334,4096.085289993831,,,779821.3907224006,4103.005398882803,-5.1825,-6.92010888897221
omegacsd_SAVYET,rmsd116-opt.mol,35,3984.8740426316936,4095.5370375667767,,,779821.3152628994,4102.483016075159,-5.168,-6.94597850838227
omegacsd_SAVYET,rmsd91-opt.mol,35,3985.5735888705817,4096.4944930206075,,,779821.8055439446,4103.410362118631,-5.1777,-6.9158690980239
omegacsd_COKBOT,rmsd178-opt.mol,49,5444.744037071168,5602.010781710121,,,1017486.1561609623,5612.143507327816,-8.1615,-10.1327256176955
omegacsd_COKBOT,rmsd60-opt.mol,49,5445.047446429199,5602.377545769497,,,1017485.9450987731,5612.460669438859,-8.1597,-10.0831236693621
omegacsd_COKBOT,rmsd25-opt.mol,49,5445.0800454180935,5602.377713109863,,,1017485.8892194695,5612.498420408499,-8.1416,-10.1207072986363
omegacsd_COKBOT,rmsd62-opt.mol,49,5443.091894678063,5600.591352428542,,,1017484.2905627128,5611.022536962658,-8.0533,-10.4311845341153
omegacsd_COKBOT,rmsd1-opt.mol,49,5445.061737315971,5602.298836995681,,,1017485.8992807366,5612.418576103675,-8.1631,-10.1197391079941
omegacsd_COKBOT,rmsd22-opt.mol,49,5445.119809615005,5602.395290364944,,,1017485.7278651751,5612.510889021623,-8.1407,-10.1155986566791
omegacsd_COKBOT,rmsd59-opt.mol,49,5444.873124501285,5602.187686680822,,,1017485.949699278,5612.256791612304,-8.1862,-10.0691049314828
omegacsd_COKBOT,rmsd20-opt.mol,49,5442.966285343339,5600.46905874531,,,1017484.478641078,5610.907978834006,-8.0318,-10.4389200886963
omegacsd_COKBOT,rmsd152-opt.mol,49,5445.087979747541,5602.3186480651075,,,1017486.0289738324,5612.415689560111,-8.1601,-10.0970414950034
omegacsd_COKBOT,rmsd21-opt.mol,49,5444.892177201152,5602.2690842755965,,,1017485.854042438,5612.442973671778,-8.1464,-10.173889396182
omegacsd_DEBBER,rmsd168-opt.mol,48,,5681.239932764439,752666.4054121093,751924.7620847169,752667.0565259198,5691.741873542484,-7.755,-10.5019407780455
omegacsd_DEBBER,rmsd243-opt.mol,48,5534.298914517674,5682.552386172633,752667.2480145264,751925.1450858155,752669.4795333139,5693.020762940758,-7.8067,-10.4683767681245
omegacsd_DEBBER,rmsd217-opt.mol,48,5533.477093397524,5681.859304309699,752665.4862094726,751923.6896816406,752668.4245402903,5691.976813087713,-7.914,-10.1175087780139
omegacsd_DEBBER,rmsd170-opt.mol,48,5534.1320732726135,5682.589040730172,752667.631015625,751925.7578875731,752669.4832361594,5692.994369892385,-7.8417,-10.4053291622131
omegacsd_DEBBER,rmsd109-opt.mol,48,5533.5971047573585,5681.2673088627735,752665.0266081544,751923.9960825195,752667.164600383,5690.7645840203495,-8.3728,-9.49727515757604
omegacsd_DEBBER,rmsd250-opt.mol,48,5530.640704680957,5679.2235148005675,752663.1882028809,751921.0086739501,752665.4034111531,5689.248125812297,-7.9483,-10.0246110117296
omegacsd_DEBBER,rmsd111-opt.mol,48,,5678.809224730888,752663.8010046388,751921.621475708,752664.6191372725,5689.074035860395,-7.8337,-10.2648111295075
omegacsd_DEBBER,rmsd151-opt.mol,48,,5681.926415939133,752667.5544154053,751926.1408886719,752667.6817644598,5692.366370966053,-7.7822,-10.43995502692
omegacsd_DEBBER,rmsd80-opt.mol,48,5532.4938896733165,5681.046639192246,752666.5586125489,751924.685484497,752668.000377477,5691.207618255685,-7.9532,-10.1609790634384
omegacsd_DEBBER,rmsd199-opt.mol,48,5533.154387041559,5681.916382196373,752664.8734077149,751922.0810770264,752667.3362964627,5692.057046448432,-7.9215,-10.1406642520587
omegapdb_2byi,rmsd229-opt.mol,43,4620.273327109663,4768.270703259297,,,1324007.6470351492,4780.475336170446,-8.7388,-12.204632911149
omegapdb_2byi,rmsd78-opt.mol,43,4622.442105173337,4770.9350830429385,,,1324009.814938935,4783.647189458076,-8.7092,-12.7121064151379
omegapdb_2byi,rmsd68-opt.mol,43,4611.296906664489,4759.573281158682,,,1324003.308759013,4773.6527645691385,-8.0202,-14.0794834104563
omegapdb_2byi,rmsd114-opt.mol,43,4612.77976744688,4760.540972925257,,,1324001.3819329052,4773.985821494873,-8.4288,-13.4448485696157
omegapdb_2byi,rmsd235-opt.mol,43,4620.130258525775,4768.170140786753,,,1324007.1465338762,4780.356636479296,-8.7488,-12.1864956925428
omegapdb_2byi,rmsd89-opt.mol,43,4619.99785486475,4767.945001191823,,,1324006.7908363012,4780.150254889899,-8.775,-12.2052536980755
omegapdb_2byi,rmsd203-opt.mol,43,4617.992684772305,4765.894017568419,,,1324005.503368169,4778.468253408844,-8.6487,-12.574235840425
omegapdb_2byi,rmsd180-opt.mol,43,4619.2375620948105,4767.294284098858,,,1324006.4795354684,4779.981021861145,-8.7224,-12.6867377622866
omegapdb_2byi,rmsd129-opt.mol,43,4617.295577606822,4765.686133282379,,,1324007.177035598,4778.7938053213675,-8.5046,-13.1076720389883
omegapdb_2byi,rmsd164-opt.mol,43,4616.567155954311,4764.736521389954,,,1324006.8622376334,4778.032015101098,-8.4504,-13.2954937111444
omegacsd_GASPUL,rmsd178-opt.mol,53,5870.050820832442,6012.861797554831,735818.5700843506,735118.4440760498,735821.4703733162,6018.770179055127,-8.7001,-5.90838150029595
omegacsd_GASPUL,rmsd194-opt.mol,53,5870.256660000714,6013.239986567421,735819.0296856691,735118.9036773681,735821.4922911689,6019.059090689724,-8.7305,-5.81910412230354
omegacsd_GASPUL,rmsd184-opt.mol,53,5870.239409230734,6013.014401452042,735818.8764852296,735118.9036773681,735821.511833964,6018.906932193681,-8.712,-5.89253074163935
omegacsd_GASPUL,rmsd179-opt.mol,53,5870.175980955038,6013.1133574344385,735818.7998850099,735118.5206762695,735821.3533970631,6018.958751925648,-8.7115,-5.84539449120985
omegacsd_GASPUL,rmsd156-opt.mol,53,5869.835349996347,6012.576347711113,735818.6466845705,735118.5972764894,735821.1178362505,6018.364958540427,-8.7231,-5.78861082931417
omegacsd_GASPUL,rmsd155-opt.mol,53,5870.2304624667,6013.151929660182,735818.7998850099,735118.5206762695,735821.3361358191,6018.931787843706,-8.7322,-5.77985818352408
omegacsd_GASPUL,rmsd173-opt.mol,53,5869.8401607198475,6012.65201259082,735818.7232847902,735118.8270771485,735821.1122819823,6018.468503877934,-8.7232,-5.81649128711433
omegacsd_GASPUL,rmsd163-opt.mol,53,5870.369383981248,6012.917602458841,735818.8764852296,735118.6738767091,735821.2935156943,6018.704171334012,-8.727,-5.78656887517082
omegacsd_GASPUL,rmsd176-opt.mol,53,5870.055779181335,6012.994538655721,735818.9530854494,735118.8270771485,735821.2993504809,6018.798567583482,-8.7269,-5.80402892776056
omegacsd_GASPUL,rmsd167-opt.mol,53,5870.276027107179,6013.217746996823,735818.7998850099,735118.7504769288,735821.4326903188,6019.03437309175,-8.7323,-5.81662609492742
omegapdb_1eby,rmsd34-opt.mol,88,,9830.595339471942,1369774.9339785157,1368599.2738061524,1369779.136370647,,-17.8757
omegapdb_1eby,rmsd238-opt.mol,88,9587.210870993664,9824.767354999316,1369773.0955732423,1368594.8309934083,1369776.1819488313,,-15.0222
omegapdb_1eby,rmsd12-opt.mol,88,9595.14591948785,9833.315240220269,1369772.1763706056,1368594.064991211,1369774.9962902472,9845.902662529066,-18.3829,-12.5874223087976
omegapdb_1eby,rmsd110-opt.mol,88,9584.48734131456,9823.811143980909,1369768.4995600586,1368591.7669846192,1369769.3030719073,9837.157797245529,-17.3163,-13.3466532646198
omegapdb_1eby,rmsd18-opt.mol,88,9582.974000725491,9821.26976217068,1369765.7419521485,1368589.7753789062,1369767.789917217,,-16.9179
omegapdb_1eby,rmsd149-opt.mol,88,9589.069787255896,9827.676073505068,1369774.7807780765,1368597.5886013184,1369776.0933049559,,-17.3874
omegapdb_1eby,rmsd133-opt.mol,88,9570.708213836917,9809.221407682064,1369757.1627275392,1368577.9789450685,1369763.2890899077,,-15.3422
omegapdb_1eby,rmsd32-opt.mol,88,9584.359322698689,9823.01703027902,1369767.8867583007,1368589.9285793458,1369769.967078117,,-15.7702
omegapdb_1eby,rmsd30-opt.mol,88,9587.593336564754,9826.149477057055,1369765.7419521485,1368592.073385498,1369773.0446662959,,-18.1291
omegapdb_1eby,rmsd21-opt.mol,88,9593.311746861391,9832.061661020058,1369768.1931591798,1368595.750196045,1369776.1887560824,,-19.6291
omegapdb_1hwk,rmsd34-opt.mol,76,8276.27641129127,8480.491749433779,,,1169441.941365145,,-14.1936
omegapdb_1hwk,rmsd84-opt.mol,76,8278.662635636018,8483.065075219683,,,1169446.2897025477,,-13.4649
omegapdb_1hwk,rmsd162-opt.mol,76,8281.132739908258,8486.012588356987,,,1169445.109093298,8496.303498328778,-15.4409,-10.2909099717908
omegapdb_1hwk,rmsd187-opt.mol,76,8277.367933213298,8482.289844192785,,,1169448.4551938735,8494.984297722343,-14.0073,-12.6944535295588
omegapdb_1hwk,rmsd226-opt.mol,76,8278.725842421476,8483.233632991183,,,1169449.4491647528,8495.756724228058,-14.046,-12.5230912368752
omegapdb_1hwk,rmsd237-opt.mol,76,8277.935181663357,8482.687740459034,,,1169449.0647794765,,-14.0101
omegapdb_1hwk,rmsd131-opt.mol,76,8272.834073766333,8478.478336868191,,,1169439.6053933192,8492.087952466976,-13.0418,-13.6096155987852
omegapdb_1hwk,rmsd64-opt.mol,76,8276.641599297242,8481.569437359727,,,1169435.3177601395,,-14.8274
omegapdb_1hwk,rmsd139-opt.mol,76,8277.037796287246,8481.578470231902,,,1169442.2360592766,8494.060691635275,-13.9425,-12.4822214033738
omegapdb_1hwk,rmsd98-opt.mol,76,,8483.929892171624,,,1169443.3223768766,,-15.6056
astex_1n2v,rmsd24-opt.mol,27,2788.192469758893,2864.176737015341,451460.8981087036,451088.50614050287,451461.905816901,2873.1273291753932,-2.918,-8.95059216005211
astex_1n2v,rmsd12-opt.mol,27,2788.354154848921,2864.314483321949,451460.7066081543,451088.50614050287,451462.26842458406,2873.1883042704976,-2.9436,-8.87382094854866
astex_1n2v,rmsd35-opt.mol,27,2787.913266054687,2863.961295845377,451460.6300079346,451088.2380397339,451461.5583572217,2872.9140010562987,-2.9229,-8.95270521092152
astex_1n2v,rmsd63-opt.mol,27,2787.474071122453,2863.746120382984,451459.51930474857,451087.3571372071,451460.8242120133,2872.931872525957,-2.7919,-9.18575214297289
astex_1n2v,rmsd36-opt.mol,27,2787.8142490024825,2863.961584787746,451460.5917078247,451088.2380397339,451461.4236241417,2872.8931865671802,-2.9348,-8.93160177943446
astex_1n2v,rmsd8-opt.mol,27,2788.2898270026835,2864.2902905634637,451460.7066081543,451088.50614050287,451462.26503965975,2873.158491295589,-2.9451,-8.86820073212539
astex_1n2v,rmsd22-opt.mol,27,2788.175709805493,2864.1390060444646,451460.78320837405,451088.4295402832,451461.8693494839,2873.0868359893384,-2.916,-8.94782994487377
astex_1n2v,rmsd59-opt.mol,27,2787.557893335955,2863.8489976499877,451459.5576048584,451087.39543731685,451460.92456286453,2873.0412348762206,-2.7919,-9.19223722623292
astex_1n2v,rmsd64-opt.mol,27,2787.8494609916474,2864.024249071181,451460.0172061768,451087.8550386353,451460.86701915064,2873.1728424371863,-2.7866,-9.14859336600512
astex_1n2v,rmsd65-opt.mol,27,2787.740137791682,2863.9383049081257,451459.940605957,451087.7784384156,451460.8026494842,2873.086635186292,-2.7878,-9.14833027816621
omegacsd_DAFTOT,rmsd147-opt.mol,42,4548.893477252434,4668.348107330887,632549.1795576783,631969.7754956664,632550.5735965073,4675.3346629904245,-7.069,-6.98655565953777
omegacsd_DAFTOT,rmsd179-opt.mol,42,4549.469838385738,4668.8696112098805,632548.68165625,631969.6605953369,632550.0002539068,4675.75616110075,-7.1164,-6.8865498908699
omegacsd_DAFTOT,rmsd110-opt.mol,42,4549.652237400778,4668.913895773615,632547.9156540527,631969.5073948975,632549.0920469121,4675.313095489987,-7.5501,-6.3991997163721
omegacsd_DAFTOT,rmsd182-opt.mol,42,4549.882223229334,4669.243162557911,632545.0814459228,631966.9795876466,632548.5404912555,4675.776831262648,-7.3731,-6.53366870473656
omegacsd_DAFTOT,rmsd159-opt.mol,42,4549.203728798626,4668.732533253002,632548.5667559204,631969.8520958864,632549.7487035344,4675.61135701567,-7.1389,-6.87882376266862
omegacsd_DAFTOT,rmsd193-opt.mol,42,4549.661589124863,4668.684894262726,632547.4943528443,631968.9328932496,632548.4624322818,4675.013089487952,-7.5726,-6.32819522522641
omegacsd_DAFTOT,rmsd66-opt.mol,42,4545.833364092091,4665.231757439004,632545.8091480102,631968.3966917114,632544.7980179087,4671.844392572886,-7.5177,-6.61263513388258
omegacsd_DAFTOT,rmsd201-opt.mol,42,4549.755386221916,4668.8411961698885,632547.7624536133,631969.3924945679,632548.9278687304,4675.200482640664,-7.5575,-6.35928647077526
omegacsd_DAFTOT,rmsd235-opt.mol,42,4549.694019867166,4669.125753510036,632547.6475532837,631968.85629303,632548.776818819,4675.889161732701,-7.1893,-6.76340822266502
omegacsd_DAFTOT,rmsd138-opt.mol,42,4549.235156634597,4668.645399629362,632548.988057129,631969.622295227,632550.67563047,4675.600940358497,-7.079,-6.95554072913456
omegacsd_CMANPQ,rmsd24-opt.mol,45,5010.527447518191,5143.536525001622,,,1020714.3476627264,5156.126564061014,-7.0523,-12.5900390593915
omegacsd_CMANPQ,rmsd238-opt.mol,45,5010.104483410792,5142.739647386742,,,1020712.5780205365,5155.30584442649,-7.0568,-12.5661970397478
omegacsd_CMANPQ,rmsd195-opt.mol,45,5009.599690698209,5142.408851930425,,,1020713.0279910598,5155.037847682464,-7.0525,-12.6289957520394
omegacsd_CMANPQ,rmsd230-opt.mol,45,5010.22163072956,5142.753133834002,,,1020712.8835987896,5155.319411181271,-7.0681,-12.5662773472686
omegacsd_CMANPQ,rmsd54-opt.mol,45,5011.087388551658,5143.174454049772,,,1020713.3364867064,5155.758674084632,-7.0659,-12.5842200348598
omegacsd_CMANPQ,rmsd233-opt.mol,45,5010.666624526975,5143.250541004178,,,1020713.8398866714,5155.840802524024,-7.0701,-12.5902615198465
omegacsd_CMANPQ,rmsd187-opt.mol,45,5010.385629584402,5143.196429360491,,,1020713.8221765977,5155.767716496048,-7.0512,-12.5712871355572
omegacsd_CMANPQ,rmsd244-opt.mol,45,5010.698675769106,5143.765187014218,,,1020714.4612540548,5156.320408011118,-7.0764,-12.5552209969001
omegacsd_CMANPQ,rmsd201-opt.mol,45,5010.921291295669,5143.4349230615035,,,1020714.0084035405,5155.984194712749,-7.0948,-12.5492716512454
omegacsd_CMANPQ,rmsd234-opt.mol,45,5010.735748719793,5143.112921780163,,,1020713.1803126556,5155.655712331036,-7.0768,-12.5427905508732
omegapdb_2j34,rmsd185-opt.mol,52,5335.4499228051145,5503.675341015503,,,1589986.498271131,5514.099277401223,-9.0483,-10.4239363857196
omegapdb_2j34,rmsd73-opt.mol,52,5336.3995121436765,5504.515016405128,,,1589987.6563079841,5514.739619438828,-9.2085,-10.2246030337001
omegapdb_2j34,rmsd119-opt.mol,52,5339.573218013714,5506.762883170614,,,1589991.1877752456,5517.421055251124,-8.9518,-10.6581720805098
omegapdb_2j34,rmsd18-opt.mol,52,5337.903440323513,5505.210187402201,,,1589984.9029244932,5514.4975388357425,-10.1286,-9.28735143354152
omegapdb_2j34,rmsd250-opt.mol,52,5336.822013445051,5503.898571301084,,,1589982.536544452,5514.192801412481,-9.4615,-10.2942301113962
omegapdb_2j34,rmsd138-opt.mol,52,5338.214926165636,5505.238023907838,,,1589984.4442765943,5514.6697839100525,-10.0785,-9.43176000221411
omegapdb_2j34,rmsd213-opt.mol,52,5340.156519989595,5507.472257834419,,,1589992.302163406,5518.369924869336,-8.7556,-10.8976670349166
omegapdb_2j34,rmsd80-opt.mol,52,5338.087003550565,5505.467267719146,,,1589985.0744709629,5514.8747975287215,-10.0524,-9.40752980957586
omegapdb_2j34,rmsd65-opt.mol,52,5336.504434750742,5504.348400641893,,,1589983.5596518626,5514.023857038168,-9.7385,-9.67545639627497
omegapdb_2j34,rmsd139-opt.mol,52,5338.837232156126,5506.021257068733,,,1589989.4112322985,5515.383274726488,-9.9724,-9.36201765775513
omegacsd_GEJLAI,rmsd207-opt.mol,32,3451.3361119847314,3545.1075657626984,502994.46193194576,502542.1759345703,502993.5829690168,3552.9744332603223,-4.1267,-7.86686749762384
omegacsd_GEJLAI,rmsd228-opt.mol,32,3451.6093945874018,3545.355985719859,502995.3811345825,502542.55893566896,502994.7959127092,3553.2286436212926,-4.1159,-7.87265790143374
omegacsd_GEJLAI,rmsd206-opt.mol,32,3451.3091627453423,3545.218294952245,502995.0747337036,502542.63553588866,502993.9945552461,3553.137573172008,-4.0918,-7.91927821976333
omegacsd_GEJLAI,rmsd184-opt.mol,32,3452.211506022335,3545.405880060113,502995.1896340332,502542.5972357788,502994.3823347978,3553.231988246776,-4.1519,-7.82610818666308
omegacsd_GEJLAI,rmsd241-opt.mol,32,3451.523370593159,3545.3626230393306,502994.9215332642,502542.3674351197,502993.98893552367,3553.1346301526173,-4.1771,-7.77200711328669
omegacsd_GEJLAI,rmsd248-opt.mol,32,3451.737208328377,3545.318037348287,502994.7683328247,502542.25253479,502993.8511167392,3553.1214461787017,-4.1791,-7.80340883041481
omegacsd_GEJLAI,rmsd1-opt.mol,32,3451.4426784634497,3545.3051351605964,502995.26623425295,502542.4823354493,502994.60296267073,3553.1253053619307,-4.1429,-7.82017020133435
omegacsd_GEJLAI,rmsd244-opt.mol,32,3451.417043293466,3545.199783625597,502994.6534324953,502542.29083489993,502993.73252282897,3553.076196470881,-4.124,-7.87641284528399
omegacsd_GEJLAI,rmsd245-opt.mol,32,3451.2228030774627,3545.127425712001,502995.0747337036,502542.52063555905,502993.90475189406,3553.086456250705,-4.0689,-7.95903053870416
omegacsd_GEJLAI,rmsd174-opt.mol,32,3451.568552109557,3545.311926356733,502995.0747337036,502542.3674351197,502994.2760837056,3553.0628744448436,-4.1904,-7.75094808811082
omegacsd_FUNXUH,rmsd34-opt.mol,31,3583.451493636281,3678.414910160234,528587.0166437988,528108.0737699586,528589.8238581928,3687.942162286047,-3.9426,-9.52725212581299
omegacsd_FUNXUH,rmsd24-opt.mol,31,3583.475644418779,3678.3999482153968,528587.0549439087,528107.958869629,528589.7854364961,3687.947565142581,-3.9411,-9.54761692718421
omegacsd_FUNXUH,rmsd35-opt.mol,31,3583.394820528313,3678.358098684537,528586.9017434693,528107.958869629,528589.6817568244,3687.888880457071,-3.9446,-9.53078177253428
omegacsd_FUNXUH,rmsd45-opt.mol,31,3583.037966257913,3678.2287313437128,528586.8634433594,528107.8439692993,528589.854490823,3687.759494279605,-3.9472,-9.5307629358922
omegacsd_FUNXUH,rmsd15-opt.mol,31,3583.381756627735,3678.4051898094813,528587.246444458,528108.1120700685,528590.0349297322,3687.947740845229,-3.9396,-9.54255103574769
omegacsd_FUNXUH,rmsd14-opt.mol,31,3583.074167269731,3678.180479639439,528586.9017434693,528107.8056691894,528589.818266522,3687.7243098237323,-3.9438,-9.54383018429326
omegacsd_FUNXUH,rmsd7-opt.mol,31,3583.0107587876973,3678.202759355592,528586.6719428101,528107.8056691894,528589.6995230019,3687.706287751753,-3.9518,-9.50352839616062
omegacsd_FUNXUH,rmsd29-opt.mol,31,3583.479269587396,3678.4526407295393,528587.3996448974,528108.1503701783,528590.1028993871,3688.019540478701,-3.9359,-9.56689974916162
omegacsd_FUNXUH,rmsd38-opt.mol,31,3583.3953625904574,3678.397032489455,528587.0549439087,528108.0354698487,528589.8182945739,3687.928162549817,-3.9431,-9.5311300603621
omegacsd_FUNXUH,rmsd28-opt.mol,31,3583.25160009145,3678.2784553138813,528586.8634433594,528107.9205695189,528589.7603581339,3687.7937751219106,-3.9455,-9.51531980802929
omegacsd_SPIRIL,rmsd113-opt.mol,57,6056.620183883048,6208.176232004968,,,797185.5400200345,6216.346496233234,-8.3273,-8.1702642282653
omegacsd_SPIRIL,rmsd94-opt.mol,57,6051.486015947625,6203.58779985297,,,797180.5822466391,6209.498912104483,-9.4739,-5.91111225151235
omegacsd_SPIRIL,rmsd12-opt.mol,57,6056.200526533519,6206.8912578369955,,,797185.4791287987,6213.820670218942,-9.104,-6.92941238194635
omegacsd_SPIRIL,rmsd109-opt.mol,57,6056.139813489547,6207.8648260490345,,,797183.6073030363,6215.86230992695,-8.3974,-7.99748387791533
omegacsd_SPIRIL,rmsd44-opt.mol,57,6050.9753766835665,6203.253418845181,,,797179.4967518938,6209.245781059657,-9.4607,-5.99236221447609
omegacsd_SPIRIL,rmsd36-opt.mol,57,6057.268471777004,6208.984919654338,,,797183.8372908796,6216.325531141865,-8.8062,-7.34061148752699
