method1, method2,norm, mean mare, med mare, sem mare, std mare, low ci mare, high ci mare, mean rsq, med rsq, sem rsq, std rsq, low ci rsq, high ci rsq, mean spearman, med spearman, sem spearman, std spearman, low ci spearman, high ci spearman
dlpno,bob,---,3.298491436,1.921899311,0.162523019,4.165791839,0.195574799,0.239733818,0.389706327,0.319393775,0.012462755,0.319445468,0.046926523,0.073777685,0.052279635,0.1,0.022347672,0.572815768,0.1,0.1
dlpno,bob,natoms,4.211894845,1.944159556,0.266558514,6.832430837,0.181559038,0.229544675,0.405019891,0.357847521,0.012192589,0.312520574,0.040458637,0.063981711,0.059574468,0.1,0.023011805,0.589838833,0.1,0.1
dlpno,bob,molwt,4.41805957,2.202436272,0.250563106,6.422436349,0.268945709,0.20717012,0.385614089,0.323485754,0.012534352,0.32128064,0.056799294,0.047558171,0.034650456,0.1,0.022642199,0.580365111,0.2,0
dlpno,bob,nelec,4.099499237,2.05808289,0.232616047,5.962417136,0.307801025,0.22461874,0.391366202,0.315557228,0.012616487,0.323385932,0.039527177,0.056040112,0.034802432,0,0.022406152,0.574314742,0.1,0.1
dlpno,bob,nbonds,12.48378677,5.091613251,0.760108543,19.48311071,0.631125768,0.683877935,0.360971562,0.271936054,0.012185275,0.312333107,0.032904652,0.047676276,0.014285714,0,0.02220146,0.569068073,0.1,0.1
dlpno,bat,---,2.198487261,1.177408562,0.118362624,3.033872104,0.12435697,0.120351406,0.382566304,0.313741177,0.012370234,0.317073979,0.033833977,0.05994915,0.156079027,0.2,0.021902239,0.561398444,0.1,0.1
dlpno,bat,natoms,2.977592715,1.356046705,0.175916451,4.509092458,0.16474453,0.136542858,0.398010261,0.342913102,0.012368894,0.317039627,0.063787413,0.058636914,0.105319149,0.1,0.022532693,0.577558248,0,0.2
dlpno,bat,molwt,3.050291722,1.402693362,0.194731986,4.991372449,0.130686384,0.14622159,0.380667224,0.309634983,0.0122568,0.314166434,0.03911009,0.054990509,0.136778116,0.2,0.021978638,0.563356703,0.1,0.1
dlpno,bat,nelec,2.778070346,1.275431572,0.165612348,4.244977552,0.117978431,0.179005448,0.388197228,0.324873202,0.012439822,0.318857648,0.045861358,0.051184606,0.143465046,0.15,0.022239519,0.570043591,0.05,0.15
dlpno,bat,nbonds,3.884047829,1.616824085,0.251713634,6.451926694,0.166271406,0.189784052,0.393302742,0.35210462,0.012149751,0.311422549,0.048227639,0.047034279,0.080699088,0.1,0.022812928,0.584741231,0.1,0.1
dlpno,batty,---,2.915833127,0.510205683,0.296035052,7.587973772,0.039735011,0.091136862,0.422564049,0.396070934,0.013008255,0.333427741,0.055476483,0.046079918,0.284042553,0.4,0.021058052,0.539760229,0.1,0.1
dlpno,batty,natoms,1.868775137,0.415192634,0.197815785,5.070416415,0.040119384,0.063930947,0.473849199,0.466526157,0.013112506,0.336099907,0.063191836,0.073108429,0.337082067,0.5,0.02111908,0.541324501,0.1,0.1
dlpno,batty,molwt,4.439641482,0.691368144,0.806584876,20.67439261,0.085718919,0.102740933,0.435751693,0.411215404,0.012646298,0.324150044,0.059085001,0.063908056,0.26899696,0.4,0.021597368,0.553583982,0.1,0.1
dlpno,batty,nelec,3.980716302,0.627911165,0.722781826,18.5263519,0.082788729,0.085944827,0.442012934,0.417035683,0.012693643,0.325363588,0.066130554,0.060334711,0.28100304,0.4,0.021576205,0.553041518,0.1,0.1
dlpno,batty,nbonds,2.164933916,0.423390495,0.211993806,5.433827611,0.053240908,0.075737626,0.475851198,0.478793917,0.013266119,0.340037303,0.07163626,0.06443985,0.329787234,0.5,0.021590332,0.55340363,0.1,0.1
