name,geom,natoms,dlpno,wb97,pbe,pbeSVP,b3lypTZ,b3lypSVP
omegacsd_FAHXIV,rmsd126-opt.mol,38,4139.0434144310075,4259.413568513847,4416.190067040956,4495.547873961531,4200.42521242729,4275.227590234949
omegacsd_FAHXIV,rmsd118-opt.mol,38,4139.132161122945,4259.596286721016,4416.4108813480325,4495.726513357197,4200.691019163315,4275.427031569535
omegacsd_FAHXIV,rmsd149-opt.mol,38,4139.109499414872,4259.47679009285,4416.239533612473,4495.559144031688,4200.518836840142,4275.259517916806
omegacsd_FAHXIV,rmsd104-opt.mol,38,4139.073133546874,4259.531860323876,4416.552754963922,4495.853006716,4200.785823293906,4275.553882608662
omegacsd_FAHXIV,rmsd150-opt.mol,38,4139.191281054079,4259.510267723112,4416.357649719854,4495.730642369497,4200.6121349479545,4275.4226766537895
omegacsd_FAHXIV,rmsd132-opt.mol,38,4139.083911506995,4259.322090183512,4416.032449212627,4495.407462442794,4200.314839786764,4275.075707843151
omegacsd_FAHXIV,rmsd151-opt.mol,38,4139.132100622997,4259.534803343266,4416.365882644055,4495.695746567995,4200.64154631677,4275.372017814335
omegacsd_FAHXIV,rmsd201-opt.mol,38,4139.12026031813,4259.660688017901,4416.49144728882,4495.799593110002,4200.7819892110765,4275.496139187318
omegacsd_FAHXIV,rmsd42-opt.mol,38,4139.565644936523,4260.959576142906,4419.547280350789,4497.797558158849,4205.061616339752,4278.668783136935
omegacsd_FAHXIV,rmsd189-opt.mol,38,4139.1020222102525,4259.361529153607,4416.100866570017,4495.52222764952,4200.365868856886,4275.227929090046
astex_1tow,rmsd103-opt.mol,34,3819.0860331181552,3923.872167074493,4067.083393711333,4132.153175729565,3877.51132091942,3939.1982074690313
astex_1tow,rmsd160-opt.mol,34,3819.320958971751,3923.895303348563,4066.8592724293712,4132.129273893906,3877.24383873321,3939.1699507176986
astex_1tow,rmsd102-opt.mol,34,3819.331257121847,3923.904113581506,4066.880017892394,4132.205510019276,3877.246719001675,3939.2273239084475
astex_1tow,rmsd110-opt.mol,34,3819.4011218994865,3923.899608063511,4066.8195259796066,4132.122685044463,3877.1912220642284,3939.1529765865084
astex_1tow,rmsd186-opt.mol,34,3819.2741089472215,3923.928329171934,4066.994651322241,4132.250345570876,3877.3942339276005,3939.3003158098572
astex_1tow,rmsd109-opt.mol,34,3819.161436774411,3923.850191692863,4066.9618137517177,4132.140023131076,3877.3389315181007,3939.1578209596
astex_1tow,rmsd154-opt.mol,34,3819.122756190928,3923.8426113784567,4066.944281137157,4132.119967928446,3877.339703354789,3939.1550661930573
astex_1tow,rmsd155-opt.mol,34,3819.3355596254823,3923.8578222079955,4066.7667775336745,4132.089119562948,3877.1289731248894,3939.1102808422543
astex_1tow,rmsd187-opt.mol,34,3819.2851422297276,3924.0089766888746,4067.1154782704666,4132.390299007694,3877.5281444482894,3939.456697444622
astex_1tow,rmsd158-opt.mol,34,3819.37094133212,3923.8587007212354,4066.8368389658935,4132.124366769818,3877.170382474782,3939.12244197578
omegacsd_DUMTAG,rmsd124-opt.mol,40,4788.010103072349,4929.972795520395,5141.579136857738,5230.949603136952,4874.053856241105,4958.80882376557
omegacsd_DUMTAG,rmsd100-opt.mol,40,4788.18551945766,4930.188677602985,5141.775277492467,5231.20666866606,4874.255161278794,4959.0575496938545
omegacsd_DUMTAG,rmsd110-opt.mol,40,4788.151811668263,4930.229704172083,5141.79796195986,5231.261400041989,4874.27642129949,4959.1069660645735
omegacsd_DUMTAG,rmsd18-opt.mol,40,4788.277591209348,4930.2809842459055,5141.884370013659,5231.441394858042,4874.322034962807,4959.228991555837
omegacsd_DUMTAG,rmsd182-opt.mol,40,4787.954733746477,4930.06975828356,5141.706904060846,5231.017876167263,4874.262779243656,4958.9604049530135
omegacsd_DUMTAG,rmsd140-opt.mol,40,4788.137756477147,4930.191363343502,5141.757286796058,5231.246132736554,4874.225800110633,4959.110913099054
omegacsd_DUMTAG,rmsd128-opt.mol,40,4788.09942205486,4930.061895589883,5141.652373487964,5231.069771200283,4874.135721126454,4958.920112569935
omegacsd_DUMTAG,rmsd117-opt.mol,40,4788.160084013995,4930.150443451028,5141.708705012952,5231.10491800563,4874.192228354091,4958.955064847405
omegacsd_DUMTAG,rmsd116-opt.mol,40,4788.136840273787,4930.2277275171855,5141.811183584374,5231.184341879133,4874.3523122946635,4959.0913410788135
omegacsd_DUMTAG,rmsd120-opt.mol,40,4788.210592539127,4930.169431887642,5141.712871675851,5231.103449633449,4874.229891472335,4958.988981734215
omegacsd_SAVYET,rmsd157-opt.mol,35,3984.7370207390113,4102.465075579405,4264.549423680401,4329.0151274741365,4055.076999897484,4116.103942564174
omegacsd_SAVYET,rmsd161-opt.mol,35,3984.707510509821,4102.3931002432855,4264.345319950542,4328.922663953796,4054.8984107026154,4116.000541553886
omegacsd_SAVYET,rmsd169-opt.mol,35,3984.9590253655992,4102.855794350257,4264.819158625679,4329.246810245134,4055.475355458569,4116.2327326076
omegacsd_SAVYET,rmsd162-opt.mol,35,3984.9339691232663,4102.572166345443,4264.601086534946,4329.179409453034,4055.0796542625744,4116.258222042191
omegacsd_SAVYET,rmsd159-opt.mol,35,3984.744501044048,4102.623389943298,4264.698413253606,4329.230250270308,4055.249232421454,4116.254682888832
omegacsd_SAVYET,rmsd200-opt.mol,35,3984.9675459959967,4102.852656802992,4264.886571967835,4329.452175269098,4055.4708562157452,4116.454030096852
omegacsd_SAVYET,rmsd132-opt.mol,35,3984.074842990093,4101.937340115953,4263.970339117101,4328.62577667387,4054.4650652134615,4115.707707985065
omegacsd_SAVYET,rmsd129-opt.mol,35,3985.3539963941325,4103.005398882803,4265.066202828535,4329.589907322488,4055.599426630755,4116.627260360884
omegacsd_SAVYET,rmsd116-opt.mol,35,3984.874042631694,4102.483016075159,4264.419893175784,4329.006241939998,4055.0490318004504,4116.067339936846
omegacsd_SAVYET,rmsd91-opt.mol,35,3985.5735888705817,4103.4103621186305,4265.478100044003,4330.008656941229,4056.026358973184,4117.029625707447
omegacsd_COKBOT,rmsd178-opt.mol,49,5444.744037071168,5612.143507327816,5832.625038547735,5913.192339823681,5539.706934525648,5614.344965299573
omegacsd_COKBOT,rmsd60-opt.mol,49,5445.047446429199,5612.46066943886,5832.91367407809,5913.399919956045,5540.000144600164,5614.579327536059
omegacsd_COKBOT,rmsd25-opt.mol,49,5445.080045418094,5612.4984204085,5832.9972646144915,5913.550409276859,5540.061747204737,5614.675794566708
omegacsd_COKBOT,rmsd62-opt.mol,49,5443.091894678063,5611.022536962657,5831.944197048976,5911.415414985214,5539.075729025883,5612.659901572306
omegacsd_COKBOT,rmsd1-opt.mol,49,5445.061737315971,5612.418576103675,5832.869039329607,5913.395207359976,5539.9055538228195,5614.519532158765
omegacsd_COKBOT,rmsd22-opt.mol,49,5445.119809615004,5612.510889021624,5832.998130577532,5913.549486837992,5540.035561234582,5614.671960483878
omegacsd_COKBOT,rmsd59-opt.mol,49,5444.873124501285,5612.256791612305,5832.724078367249,5913.340149679148,5539.706413692732,5614.344557418452
omegacsd_COKBOT,rmsd20-opt.mol,49,5442.966285343339,5610.907978834006,5831.871336924446,5911.220491718965,5539.071267433515,5612.576329861275
omegacsd_COKBOT,rmsd152-opt.mol,49,5445.087979747541,5612.415689560111,5832.836935945245,5913.307456435847,5539.945432049463,5614.504584883198
omegacsd_COKBOT,rmsd21-opt.mol,49,5444.892177201152,5612.442973671779,5832.940067126461,5913.464158100481,5539.956746045246,5614.555576302721
omegacsd_DEBBER,rmsd168-opt.mol,48,nan,5691.7418735424835,5934.056611098258,6033.79366247105,5637.635843533687,5732.447013966954
omegacsd_DEBBER,rmsd243-opt.mol,48,5534.298914517675,5693.020762940758,5934.633825683284,6033.952554143685,5638.320318312228,5732.920112180901
omegacsd_DEBBER,rmsd217-opt.mol,48,5533.477093397524,5691.976813087712,5933.2757257648955,6032.379187101903,5636.79437843607,5730.940162928861
omegacsd_DEBBER,rmsd170-opt.mol,48,5534.132073272612,5692.994369892385,5934.766223906237,6034.38559842834,5638.279523921604,5732.9335910842865
omegacsd_DEBBER,rmsd109-opt.mol,48,5533.59710475736,5690.764584020349,5932.083777803678,6031.583586671447,5635.133392247181,5729.94510861362
omegacsd_DEBBER,rmsd250-opt.mol,48,5530.640704680957,5689.248125812297,5931.331067645423,6030.138087234082,5634.52143246276,5728.551014752072
omegacsd_DEBBER,rmsd111-opt.mol,48,nan,5689.074035860395,5931.036006418002,6029.898842974049,5634.846168612897,5728.904584962425
omegacsd_DEBBER,rmsd151-opt.mol,48,nan,5692.366370966054,5934.515389546177,6034.239658551147,5638.137386751813,5732.957066213525
omegacsd_DEBBER,rmsd80-opt.mol,48,5532.4938896733165,5691.207618255685,5933.407421177113,6033.1984069888185,5636.639302021037,5731.594586278991
omegacsd_DEBBER,rmsd199-opt.mol,48,5533.154387041559,5692.057046448432,5933.961135532645,6033.803307291607,5636.858346751291,5731.831615430769
omegapdb_2byi,rmsd229-opt.mol,43,4620.273327109663,4780.475336170446,4998.813213046266,5049.458421478377,4707.593758238857,4753.199239792396
omegapdb_2byi,rmsd78-opt.mol,43,4622.442105173337,4783.647189458076,5002.047214871641,5054.298151008767,4710.332121710255,4757.498313439604
omegapdb_2byi,rmsd68-opt.mol,43,4611.296906664489,4773.652764569139,4992.434529093281,5041.090507408005,4701.1403881088345,4744.871461227825
omegapdb_2byi,rmsd114-opt.mol,43,4612.77976744688,4773.985821494873,4991.973202956894,5043.254423611119,4700.559389641634,4746.833708437755
omegapdb_2byi,rmsd235-opt.mol,43,4620.130258525775,4780.356636479296,4998.523868430149,5049.035492646397,4707.36722732062,4752.8394007623965
omegapdb_2byi,rmsd89-opt.mol,43,4619.99785486475,4780.150254889899,4998.176535664014,5049.006646036123,4706.882099750099,4752.699955608153
omegapdb_2byi,rmsd203-opt.mol,43,4617.992684772304,4778.468253408844,4996.537731934832,5047.092033069891,4705.451026755671,4751.130454024913
omegapdb_2byi,rmsd180-opt.mol,43,4619.237562094811,4779.981021861145,4997.235164783985,5048.375252283368,4705.926421654241,4752.1598268327725
omegapdb_2byi,rmsd129-opt.mol,43,4617.295577606822,4778.7938053213675,4997.131625721362,5048.029513391265,4705.748861574719,4751.789144439393
omegapdb_2byi,rmsd164-opt.mol,43,4616.567155954311,4778.032015101098,4996.64624714714,5047.582099139928,4705.167059895617,4751.299549001332
omegacsd_GASPUL,rmsd178-opt.mol,53,5870.050820832442,6018.770179055127,6215.738580946269,6312.939211961422,5942.9254023883805,6035.1762656660885
omegacsd_GASPUL,rmsd194-opt.mol,53,5870.256660000714,6019.059090689724,6216.002367101771,6313.098486414922,5943.183898638928,6035.412064899187
