name,conf,dlpno,b3lypd3,pm7hof,pm7,gfn,gfn2,mmff
CHG_jobs/astex_1gm8,rmsd1-mmff,nan,4582.348227,-183.459070,4380.968627,6994.6,8108.03,79.223180
CHG_jobs/astex_1gm8,rmsd112-mmff,nan,4585.075355,-186.340950,4386.470365,6996.03,8107.47,75.807234
CHG_jobs/astex_1gm8,rmsd112-pm7,nan,4592.158016,-204.715020,4403.749024,7003.92,8118.72,90.362783
CHG_jobs/astex_1gm8,rmsd112-opt,4404.50100929,4603.661215,-204.715210,4403.749716,7003.92,8118.72,90.359833
CHG_jobs/astex_1gm8,rmsd114-mmff,nan,4586.902414,-187.784130,4387.352654,6995.41,8109.52,74.871226
CHG_jobs/astex_1gm8,rmsd114-pm7,nan,4593.455180,-204.823130,4403.74718,7004.19,8119.05,89.750644
CHG_jobs/astex_1gm8,rmsd114-opt,4412.74984605,4603.851841,-195.121460,4394.033699,7005.08,8121.11,90.065029
CHG_jobs/astex_1gm8,rmsd115-mmff,nan,4586.743003,-187.734550,4387.272635,6995.31,8109.4,74.954616
CHG_jobs/astex_1gm8,rmsd115-pm7,nan,4593.508020,-204.827580,4403.688837,7004.17,8119.05,89.719726
CHG_jobs/astex_1gm8,rmsd115-opt,4405.59067721,4603.186751,-204.827290,4403.687684,7004.17,8119.04,89.718982
CHG_jobs/astex_1gm8,rmsd125-mmff,nan,4585.255144,-186.696940,4386.894445,6996.08,8107.9,75.139093
CHG_jobs/astex_1gm8,rmsd125-pm7,nan,4592.313808,-204.724130,4403.65563,7004.03,8118.9,90.465637
CHG_jobs/astex_1gm8,rmsd125-opt,4404.62457608,4603.743133,-204.723600,4403.653555,7004.03,8118.9,90.479666
CHG_jobs/astex_1gm8,rmsd141-mmff,nan,4585.697110,-186.898130,4385.018947,6994.59,8107.28,77.583457
CHG_jobs/astex_1gm8,rmsd141-pm7,nan,4592.749577,-204.885210,4403.764936,7003.99,8118.6,89.861731
CHG_jobs/astex_1gm8,rmsd141-opt,4405.03853852,4603.673224,-204.885060,4403.765628,7003.99,8118.6,89.873908
CHG_jobs/astex_1gm8,rmsd162-mmff,nan,4584.762651,-186.419760,4386.631557,6995.98,8107.55,75.694749
CHG_jobs/astex_1gm8,rmsd162-pm7,nan,4592.303548,-204.771000,4403.815669,7003.98,8118.68,90.645576
CHG_jobs/astex_1gm8,rmsd162-opt,4404.58571993,4603.758870,-204.771090,4403.815438,7003.98,8118.68,90.650066
CHG_jobs/astex_1gm8,rmsd163-mmff,nan,4585.177750,-186.618230,4386.851322,6995.93,8107.91,75.230400
CHG_jobs/astex_1gm8,rmsd163-pm7,nan,4592.255769,-204.719810,4403.75871,7003.91,8118.57,89.500291
CHG_jobs/astex_1gm8,rmsd163-opt,4404.7250222,4603.702071,-204.719900,4403.758479,7003.91,8118.56,89.506588
CHG_jobs/astex_1gm8,rmsd176-mmff,nan,4587.839091,-189.219240,4388.508439,6997.98,8111.48,73.774732
