name, len, mare, rsq, spearman, slope, intercept
astex_1g9v,44,0.0,1.0,1.0,1.0,0.0
astex_1gkc,50,0.0,1.0,1.0,1.0,0.0
astex_1hp0,32,0.0,1.0,1.0,1.0,0.0
astex_1hq2,32,0.0,1.0,1.0,1.0,0.0
astex_1jje,40,0.0,1.0,1.0,1.0,0.0
astex_1jla,50,0.0,1.0,1.0,1.0,0.0
astex_1k3u,36,0.0,1.0,1.0,1.0,0.0
astex_1l7f,34,0.0,1.0,1.0,1.0,0.0
astex_1lrh,40,0.0,1.0,1.0,1.0,0.0
astex_1meh,46,0.0,1.0,1.0,1.0,0.0
astex_1mmv,38,0.0,1.0,1.0,1.0,0.0
astex_1mzc,36,0.0,1.0,1.0,1.0,0.0
astex_1n1m,30,0.0,1.0,1.0,1.0,0.0
astex_1n2j,34,0.0,1.0,1.0,1.0,0.0
astex_1n2v,32,0.0,1.0,1.0,1.0,0.0
astex_1n46,36,0.0,1.0,1.0,1.0,0.0
astex_1of1,34,0.0,1.0,1.0,1.0,0.0
astex_1of6,34,0.0,1.0,1.0,1.0,0.0
astex_1owe,32,0.0,1.0,1.0,1.0,0.0
astex_1p2y,30,0.0,1.0,1.0,1.0,0.0
astex_1q4g,32,0.0,1.0,1.0,1.0,0.0
astex_1r55,40,0.0,1.0,1.0,1.0,0.0
astex_1s3v,44,0.0,1.0,1.0,1.0,0.0
astex_1sg0,30,0.0,1.0,1.0,1.0,0.0
astex_1sq5,32,0.0,1.0,1.0,1.0,0.0
astex_1t46,42,0.0,1.0,1.0,1.0,0.0
astex_1tow,46,0.0,1.0,1.0,1.0,0.0
astex_1tt1,40,0.0,1.0,1.0,1.0,0.0
astex_1tz8,50,0.0,1.0,1.0,1.0,0.0
astex_1u1c,48,0.0,1.0,1.0,1.0,0.0
astex_1uml,32,0.0,1.0,1.0,1.0,0.0
astex_1unl,50,0.0,1.0,1.0,1.0,0.0
astex_1vcj,50,0.0,1.0,1.0,1.0,0.0
astex_1w2g,32,0.0,1.0,1.0,1.0,0.0
astex_1xm6,44,0.0,1.0,1.0,1.0,0.0
astex_1xoz,30,0.0,1.0,1.0,1.0,0.0
astex_2bm2,48,0.0,1.0,1.0,1.0,0.0
astex_2br1,44,0.0,1.0,1.0,1.0,0.0
omegacsd_ABXBPC,32,0.0,1.0,1.0,1.0,0.0
omegacsd_ACPIXZ,36,0.0,1.0,1.0,1.0,0.0
omegacsd_ADPRTR,32,0.0,1.0,1.0,1.0,0.0
omegacsd_AOPCHY,46,0.0,1.0,1.0,1.0,0.0
omegacsd_APRTAM,40,0.0,1.0,1.0,1.0,0.0
omegacsd_AURMIN,32,0.0,1.0,1.0,1.0,0.0
omegacsd_AZLNPR,38,0.0,1.0,1.0,1.0,0.0
omegacsd_BAFJEX10,44,0.0,1.0,1.0,1.0,0.0
omegacsd_BAJZOB10,48,0.0,1.0,1.0,1.0,0.0
omegacsd_BATXID,46,0.0,1.0,1.0,1.0,0.0
omegacsd_BEWLIY10,46,0.0,1.0,1.0,1.0,0.0
omegacsd_BEWLOE10,36,0.0,1.0,1.0,1.0,0.0
omegacsd_BEXVOP,38,0.0,1.0,1.0,1.0,0.0
omegacsd_BHMPET,48,0.0,1.0,1.0,1.0,0.0
omegacsd_BIBHID,36,0.0,1.0,1.0,1.0,0.0
omegacsd_BTHYDX,44,0.0,1.0,1.0,1.0,0.0
omegacsd_BUDCUY,48,0.0,1.0,1.0,1.0,0.0
omegacsd_BUFXOP,44,0.0,1.0,1.0,1.0,0.0
omegacsd_BUNFUL,34,0.0,1.0,1.0,1.0,0.0
