name, len, mare, rsq, spearman, slope, intercept
astex_1g9v,10,0.0,1.0,1.0,1.0,0.0
astex_1gkc,10,0.0,1.0,1.0,1.0,0.0
astex_1gm8,10,0.0,1.0,1.0,1.0,0.0
astex_1hnn,8,0.0,1.0,1.0,1.0,0.0
astex_1hp0,10,0.0,1.0,1.0,1.0,0.0
astex_1hq2,10,0.0,1.0,1.0,1.0,0.0
astex_1hvy,10,0.0,1.0,1.0,1.0,0.0
astex_1hwi,10,0.0,1.0,1.0,1.0,0.0
astex_1ia1,10,0.0,1.0,1.0,1.0,0.0
astex_1ig3,10,0.0,1.0,1.0,1.0,0.0
astex_1j3j,10,0.0,1.0,1.0,1.0,0.0
astex_1jd0,10,0.0,1.0,1.0,1.0,0.0
astex_1jje,10,0.0,1.0,1.0,1.0,0.0
astex_1jla,10,0.0,1.0,1.0,1.0,0.0
astex_1k3u,10,0.0,1.0,1.0,1.0,0.0
astex_1ke5,10,0.0,1.0,1.0,1.0,0.0
astex_1kzk,10,0.0,1.0,1.0,1.0,0.0
astex_1l2s,10,0.0,1.0,1.0,1.0,0.0
astex_1l7f,10,0.0,1.0,1.0,1.0,0.0
astex_1lpz,10,0.0,1.0,1.0,1.0,0.0
astex_1lrh,10,0.0,1.0,1.0,1.0,0.0
astex_1m2z,10,0.0,1.0,1.0,1.0,0.0
astex_1meh,10,0.0,1.0,1.0,1.0,0.0
astex_1mmv,10,0.0,1.0,1.0,1.0,0.0
astex_1n1m,10,0.0,1.0,1.0,1.0,0.0
astex_1n2j,10,0.0,1.0,1.0,1.0,0.0
astex_1n2v,10,0.0,1.0,1.0,1.0,0.0
astex_1n46,10,0.0,1.0,1.0,1.0,0.0
astex_1nav,10,0.0,1.0,1.0,1.0,0.0
astex_1of1,10,0.0,1.0,1.0,1.0,0.0
astex_1of6,10,0.0,1.0,1.0,1.0,0.0
astex_1opk,10,0.0,1.0,1.0,1.0,0.0
astex_1oq5,8,0.0,1.0,1.0,1.0,0.0
astex_1owe,10,0.0,1.0,1.0,1.0,0.0
astex_1oyt,10,0.0,1.0,1.0,1.0,0.0
astex_1p2y,10,0.0,1.0,1.0,1.0,0.0
astex_1p62,10,0.0,1.0,1.0,1.0,0.0
astex_1pmn,10,0.0,1.0,1.0,1.0,0.0
astex_1q1g,10,0.0,1.0,1.0,1.0,0.0
astex_1q4g,10,0.0,1.0,1.0,1.0,0.0
astex_1r1h,10,0.0,1.0,1.0,1.0,0.0
astex_1r55,10,0.0,1.0,1.0,1.0,0.0
astex_1r58,10,0.0,1.0,1.0,1.0,0.0
astex_1r9o,10,0.0,1.0,1.0,1.0,0.0
astex_1s3v,10,0.0,1.0,1.0,1.0,0.0
astex_1sg0,10,0.0,1.0,1.0,1.0,0.0
astex_1sj0,10,0.0,1.0,1.0,1.0,0.0
astex_1sq5,10,0.0,1.0,1.0,1.0,0.0
