name, len, mare, rsq, spearman, slope, intercept
astex_1g9v,10,1.1523897637259695,1.0,-1.0,1.0,0.0
astex_1gkc,10,5.648171712090226,1.0,-1.0,1.0,0.0
astex_1gm8,10,0.693429180491529,1.0,-1.0,1.0,0.0
astex_1hnn,8,2.286391844497947,1.0,-1.0,1.0,0.0
astex_1hp0,10,2.5531868774486215,1.0,-1.0,1.0,0.0
astex_1hq2,10,1.1842448250530424,1.0,-1.0,1.0,0.0
astex_1hvy,10,7.180044101645578,1.0,-1.0,1.0,0.0
astex_1hwi,10,17.10449306232504,1.0,-1.0,1.0,0.0
astex_1ia1,10,3.1089895702063983,1.0,-1.0,1.0,0.0
astex_1ig3,10,4.894921284514249,1.0,-1.0,1.0,0.0
astex_1j3j,10,0.3610793077141352,1.0,-1.0,1.0,0.0
astex_1jd0,10,0.13272184572753076,1.0,-1.0,1.0,0.0
astex_1jje,10,109.27657761935532,1.0,-1.0,1.0,0.0
astex_1jla,10,0.5590122065554404,1.0,-1.0,1.0,0.0
astex_1k3u,10,2.583231375299422,1.0,-1.0,1.0,0.0
astex_1ke5,10,0.5029293614690055,1.0,-1.0,1.0,0.0
astex_1kzk,10,251.13211965905506,1.0,-1.0,1.0,0.0
astex_1l2s,10,5.1857867283005445,1.0,-1.0,1.0,0.0
astex_1l7f,10,11.232924534088994,1.0,-1.0,1.0,0.0
astex_1lpz,10,0.7177128976790274,1.0,-1.0,1.0,0.0
astex_1lrh,10,0.3239154929916864,1.0,-1.0,1.0,0.0
astex_1m2z,10,290.6031487687503,1.0,-1.0,1.0,0.0
astex_1meh,10,4.079530072256739,1.0,-1.0,1.0,0.0
astex_1mmv,10,2.526095139308913,1.0,-1.0,1.0,0.0
astex_1mzc,10,7.94250656182146,1.0,-1.0,1.0,0.0
astex_1n1m,10,7.526120215944564,1.0,-1.0,1.0,0.0
astex_1n2j,10,2.6860909072818044,1.0,-1.0,1.0,0.0
astex_1n2v,10,0.5088999258532496,1.0,-1.0,1.0,0.0
astex_1n46,10,0.7955590976992312,1.0,-1.0,1.0,0.0
astex_1nav,10,1.1873832378970577,1.0,-1.0,1.0,0.0
astex_1of1,10,4.722576405784466,1.0,-1.0,1.0,0.0
astex_1of6,10,0.12086542593987062,1.0,-1.0,1.0,0.0
astex_1opk,10,489.5710225038109,1.0,-1.0,1.0,0.0
astex_1oq5,8,5.387433697825159,1.0,-1.0,1.0,0.0
astex_1owe,10,1.3852255261843198,1.0,-1.0,1.0,0.0
astex_1oyt,10,1.0951755600591693,1.0,-1.0,1.0,0.0
astex_1p2y,10,2.7531219630184167,1.0,-1.0,1.0,0.0
astex_1p62,10,13.314101564731427,1.0,-1.0,1.0,0.0
astex_1pmn,10,1.1926079681742068,1.0,-1.0,1.0,0.0
astex_1q1g,10,8.437941063231511,1.0,-1.0,1.0,0.0
astex_1q4g,10,0.12245957630310897,1.0,-1.0,1.0,0.0
astex_1r1h,10,306.37757340024854,1.0,-1.0,1.0,0.0
astex_1r55,10,5.638275267490246,1.0,-1.0,1.0,0.0
astex_1r58,10,459.5926003192567,1.0,-1.0,1.0,0.0
astex_1r9o,10,0.08485974735791046,1.0,-1.0,1.0,0.0
astex_1s3v,10,0.41159893565208705,1.0,-1.0,1.0,0.0
astex_1sg0,10,0.2234679835618568,1.0,-1.0,1.0,0.0
astex_1sj0,10,1.6226966618344818,1.0,-1.0,1.0,0.0
astex_1sq5,10,4.06934798749147,1.0,-1.0,1.0,0.0
astex_1t40,10,2.3593386055582073,1.0,-1.0,1.0,0.0
astex_1t46,10,14.840639022190441,1.0,-1.0,1.0,0.0
astex_1t9b,10,378.8864827369262,1.0,-1.0,1.0,0.0
astex_1tow,10,0.2988972824344966,1.0,-1.0,1.0,0.0
astex_1tt1,10,2.1685694879263884,1.0,-1.0,1.0,0.0
astex_1tz8,10,0.18199513669537523,1.0,-1.0,1.0,0.0
astex_1u1c,10,6.6495918920206005,1.0,-1.0,1.0,0.0
astex_1uml,10,6.636886941139831,1.0,-1.0,1.0,0.0
astex_1unl,10,6.236111426179332,1.0,-1.0,1.0,0.0
astex_1uou,10,1.875818990955078,1.0,-1.0,1.0,0.0
astex_1v0p,10,3.5982559247291817,1.0,-1.0,1.0,0.0
astex_1v48,10,205.85089624831508,1.0,-1.0,1.0,0.0
astex_1v4s,10,0.4021919538845459,1.0,-1.0,1.0,0.0
astex_1vcj,10,4.582941460408238,1.0,-1.0,1.0,0.0
astex_1w2g,10,6.663679109971345,1.0,-1.0,1.0,0.0
astex_1xm6,10,1.450596848374041,1.0,-1.0,1.0,0.0
astex_1xoq,10,8.334811875527777,1.0,-1.0,1.0,0.0
astex_1xoz,10,0.44602065334911173,1.0,-1.0,1.0,0.0
astex_1y6b,10,7.447465499436663,1.0,-1.0,1.0,0.0
astex_1ygc,10,10.549045085555559,1.0,-1.0,1.0,0.0
astex_1yqy,10,0.9750452034169641,1.0,-1.0,1.0,0.0
astex_1yvf,10,1.9042428084085572,1.0,-1.0,1.0,0.0
astex_1ywr,10,330.92183157519366,1.0,-1.0,1.0,0.0
astex_1z95,10,3.406018947349864,1.0,-1.0,1.0,0.0
astex_2bm2,10,0.4624573505470508,1.0,-1.0,1.0,0.0
astex_2br1,10,38.66532170029342,1.0,-1.0,1.0,0.0
astex_2bsm,10,20.26786142960183,1.0,-1.0,1.0,0.0
omegacsd_ABHYTZ,10,0.7813325312863043,1.0,-1.0,1.0,0.0
omegacsd_ABIMAZ,10,0.3343620104467334,1.0,-1.0,1.0,0.0
omegacsd_ABSBPP,10,468.2185368200553,1.0,-1.0,1.0,0.0
omegacsd_ABVPRO,10,0.32125641782599457,1.0,-1.0,1.0,0.0
omegacsd_ABXBPC,10,1.9176196877607539,1.0,-1.0,1.0,0.0
omegacsd_ABZNPS,10,1.0640734716290126,1.0,-1.0,1.0,0.0
omegacsd_ACENHT,10,4.556841669230212,1.0,-1.0,1.0,0.0
omegacsd_ACPIXZ,10,0.570047207940928,1.0,-1.0,1.0,0.0
omegacsd_ACTHBZ,10,1.3215157505789121,1.0,-1.0,1.0,0.0
omegacsd_ADPRTR,10,5.305227273165158,1.0,-1.0,1.0,0.0
omegacsd_AMOCMS10,10,230.01381649116587,1.0,-1.0,1.0,0.0
omegacsd_AMPDAM,10,476.48530290258185,1.0,-1.0,1.0,0.0
omegacsd_ANOPPS,10,4.529205332980868,1.0,-1.0,1.0,0.0
omegacsd_ANTZOA,10,0.18317023017739587,1.0,-1.0,1.0,0.0
omegacsd_ANTZOB,10,0.5233235965308125,1.0,-1.0,1.0,0.0
omegacsd_AOPCHY,10,0.5737850176026683,1.0,-1.0,1.0,0.0
omegacsd_APRTAM,10,5.1463370346255575,1.0,-1.0,1.0,0.0
omegacsd_AURMIN,10,0.24706891245979817,1.0,-1.0,1.0,0.0
omegacsd_AZLNPR,10,107.64990812431446,1.0,-1.0,1.0,0.0
omegacsd_BAFJEX10,10,7.987213150033784,1.0,-1.0,1.0,0.0
omegacsd_BAFREF,10,0.33480829564597914,1.0,-1.0,1.0,0.0
omegacsd_BAFYOW,10,0.29619693812682046,1.0,-1.0,1.0,0.0
omegacsd_BAJZOB10,10,50.37677683765754,1.0,-1.0,1.0,0.0
omegacsd_BATROD,10,0.5098064856508955,1.0,-1.0,1.0,0.0
omegacsd_BATXID,10,0.1917703315254357,1.0,-1.0,1.0,0.0
omegacsd_BAXOZO,10,0.9433691908809436,1.0,-1.0,1.0,0.0
omegacsd_BBSPRT10,10,1.436520846853355,1.0,-1.0,1.0,0.0
omegacsd_BEDLUR,10,0.6538700363487748,1.0,-1.0,1.0,0.0
omegacsd_BEHHOL10,10,0.7137123066603379,1.0,-1.0,1.0,0.0
omegacsd_BEKDIE,10,4.062252883210822,1.0,-1.0,1.0,0.0
omegacsd_BELWOE,10,0.899983837824933,1.0,-1.0,1.0,0.0
omegacsd_BENPRL,10,3144.45624673096,1.0,-1.0,1.0,0.0
omegacsd_BESCEH,10,1.224420755100421,1.0,-1.0,1.0,0.0
omegacsd_BETFAH,10,0.2024408479516623,1.0,-1.0,1.0,0.0
omegacsd_BEWLIY10,10,0.8940682448944927,1.0,-1.0,1.0,0.0
omegacsd_BEWLOE10,10,0.19521819132746715,1.0,-1.0,1.0,0.0
omegacsd_BEXVOP,10,0.2706366660540652,1.0,-1.0,1.0,0.0
omegacsd_BHMPET,10,0.8521892386128969,1.0,-1.0,1.0,0.0
omegacsd_BIBHID,10,1.6139613729225304,1.0,-1.0,1.0,0.0
omegacsd_BIBSEK,10,1.7569839806298915,1.0,-1.0,1.0,0.0
omegacsd_BSBTHP,10,0.2911191591925963,1.0,-1.0,1.0,0.0
omegacsd_BTHYDX,10,0.6125944562752977,1.0,-1.0,1.0,0.0
omegacsd_BUDCUY,10,0.7369708264844235,1.0,-1.0,1.0,0.0
omegacsd_BUFXOP,10,1.4432362950068751,1.0,-1.0,1.0,0.0
omegacsd_BUHNIB,10,456.8549647691801,1.0,-1.0,1.0,0.0
omegacsd_BUNFUL,10,1.7289618130308313,1.0,-1.0,1.0,0.0
omegacsd_BUSNIM,10,5.94614165662334,1.0,-1.0,1.0,0.0
omegacsd_BUTDID,10,0.9662121807944771,1.0,-1.0,1.0,0.0
omegacsd_BUVYIA,10,408.7993002525029,1.0,-1.0,1.0,0.0
omegacsd_BUYZIE,10,19.334620616374544,1.0,-1.0,1.0,0.0
omegacsd_BZAPCX10,10,0.487827614304598,1.0,-1.0,1.0,0.0
omegacsd_BZAPUC20,10,1.407923900913795,1.0,-1.0,1.0,0.0
omegacsd_CABCUD,10,1.8003107791502544,1.0,-1.0,1.0,0.0
omegacsd_CAFGIZ,10,0.41770789124887814,1.0,-1.0,1.0,0.0
omegacsd_CAGXEN,10,0.8500999744751269,1.0,-1.0,1.0,0.0
omegacsd_CALLEG,10,3.0404109035174343,1.0,-1.0,1.0,0.0
omegacsd_CANPUC,10,0.9945341453968808,1.0,-1.0,1.0,0.0
omegacsd_CARNID,10,0.5075264381845652,1.0,-1.0,1.0,0.0
omegacsd_CATXIE,10,0.5564771984293756,1.0,-1.0,1.0,0.0
omegacsd_CAVNUI,10,2.1510052521044742,1.0,-1.0,1.0,0.0
omegacsd_CBMHZP,6,10.207723867378263,1.0,-1.0,1.0,0.0
omegacsd_CBSTHP,10,258.3193134793384,1.0,-1.0,1.0,0.0
omegacsd_CBZHYX,10,1.5346491740261314,1.0,-1.0,1.0,0.0
