name, len, mare, rsq, spearman, slope, intercept
astex_1g9v,44,1.71036241952,0.962551744111,0.8,1.94886447545,390149.792169
astex_1gkc,50,13.5201869102,0.39253284316,-0.6,-1.47223966837,-1034948.07561
astex_1gm8,32,0.586222348206,0.883751292868,-1.0,-0.215345222525,-82621.9349848
astex_1hnn,24,0.4645209648,0.432701692677,-0.5,-3.56595788332,-1582768.66657
astex_1hp0,32,0.501451571427,0.873717172021,0.3,1.50197870762,1448531.1382
astex_1hq2,32,0.499196303106,0.354567590817,-0.1,-3.45991744119,-4298655.58657
astex_1hvy,34,8.64319787149,0.754129852335,0.5,2.88219405488,2594925.27014
astex_1hwi,44,2.23468985195,0.476923151894,0.5,2.90128630801,531699.858518
astex_1ia1,32,0.101609691092,0.849643553226,0.7,0.906121895418,889386.894433
astex_1ig3,34,0.384806831107,0.0528053254287,0.1,0.18714801343,183995.47791
astex_1j3j,30,0.113063231461,0.000931583682562,-0.1,-0.0133447420279,-9876.56947915
astex_1jd0,36,0.0927701152133,0.111705294744,0.6,0.379600089257,345420.218715
astex_1jje,40,0.984433068001,0.523065529667,-0.6,-0.874004554039,76377.7110834
astex_1jla,50,0.606047439046,0.874981606529,0.8,1.276135055,597951.424429
astex_1k3u,36,0.973989494173,0.326518728969,0.8,0.562302143848,251460.470855
astex_1ke5,42,0.347540505124,0.543150996416,-0.8,-1.44222837822,-982807.794625
astex_1kzk,48,9.98649665806,0.00566197113778,-0.1,-0.308676570772,-193612.488582
astex_1l2s,40,0.226533504655,0.989944580202,1.0,1.13076641656,104389.94316
astex_1l7f,34,2.25265862453,0.9763733851,1.0,1.68699108467,1625372.46061
astex_1lrh,40,0.0898006213115,0.560109470546,-0.9,-0.461495718899,15925.7740944
astex_1m2z,42,0.794579517245,0.480415149221,0.6,7.21916485041,-613027.064258
astex_1meh,46,0.55751660397,0.172343686398,0.6,0.92400595926,-70945.1245221
astex_1mmv,38,3.22805852447,0.219819173959,0.6,2.04461062961,2023383.87381
astex_1n1m,30,10.1945255158,0.855448083917,1.0,33.0480082124,16286664.6829
astex_1n2j,34,0.557267223824,0.98701700504,1.0,0.502331388868,-24750.3622568
astex_1n2v,32,0.817309826199,0.900027874844,0.7,2.68980519884,2661459.89861
astex_1n46,36,0.694688801225,0.210443549483,0.1,-0.282574732376,-194280.566361
astex_1nav,46,0.914298816078,0.0141086209606,0.1,0.227780232406,-26214.7905756
astex_1of1,34,0.921710554223,0.383169659584,0.1,0.691044800109,316924.148158
astex_1of6,34,0.111242523472,0.619753837009,0.4,1.94089029529,416278.055678
astex_1oq5,24,1.5688891324,0.777618761113,0.5,1.05250179442,689081.321373
astex_1owe,32,0.229609102004,0.584145929796,0.6,0.415646926037,314049.272139
astex_1p2y,30,3.61236937518,0.935956218814,-0.3,-1.06980779388,-538495.898261
astex_1p62,32,3.6128109296,0.118071904197,0.0,-1.25577336947,-847798.460834
astex_1q1g,34,1.25275698521,0.504872764434,0.3,0.847223213244,799242.90544
astex_1q4g,32,0.0956063418047,0.953207553938,1.0,0.623993053141,-14795.3136676
astex_1r55,40,5.14241362883,0.00747400628689,0.3,0.119285098045,87737.532389
