name, len, mare, rsq, spearman, slope, intercept
astex_1g9v,44,56.5071011924,0.666010992036,-0.6,-33.8350136384,-6683492.08349
astex_1gkc,50,274.687873002,0.590062050284,0.478787878788,43.2583460994,30554712.9885
astex_1gm8,32,104.173854519,0.727946372422,0.854545454545,17.9813378233,7268356.65212
astex_1hnn,24,8.86661155107,0.755567396711,0.666666666667,6.86681381579,3053511.82975
astex_1hp0,32,31.2981791969,0.570455567978,-0.854545454545,-15.3864298272,-14802184.3311
astex_1hq2,32,20.2060100693,0.169447585696,0.333333333333,11.3909277297,14161173.7027
astex_1hvy,34,277.341285129,0.240714356518,0.466666666667,15.6351442832,14046333.6384
astex_1hwi,44,113005.153447,0.0935493854437,0.539393939394,-7266.87683558,-1316604698.94
astex_1ia1,32,13.1842171358,0.856227536209,-0.781818181818,-30.8865526184,-30199605.5096
astex_1ig3,34,24.6563702633,0.0101601713988,-0.345454545455,5.34264826631,5158020.86455
astex_1j3j,30,5.56339279826,0.0819259575463,0.163636363636,10.324693096,10065354.6013
astex_1jd0,36,2.03396371271,0.68321677438,-0.442424242424,-12.261082499,-11100712.774
astex_1jje,40,133053.99182,0.182700311288,-0.345454545455,21088.4046093,-1727795925.85
astex_1jla,50,24.1539964118,0.796925633588,-0.442424242424,-13.8950660183,-6449853.26835
astex_1k3u,36,32.6335306029,0.0256836448636,-0.127272727273,-2.29303871527,-1009248.71671
astex_1ke5,42,4.47540901529,0.328961378769,-0.6,-7.12424941146,-4874173.38906
astex_1kzk,48,151675.543613,0.0134187995809,-0.406060606061,-2713.52825043,-1775340598.52
astex_1l2s,40,20.4566937094,0.853798526908,-0.818181818182,-8.04446577498,-721299.607173
astex_1l7f,34,142.128536101,0.0235561481589,-0.418181818182,-2.46403731423,-2365526.2227
astex_1lpz,36,24.7598561138,0.376699862654,0.587878787879,33.0123784264,30377872.9376
astex_1lrh,40,18.7336745596,0.00895053731376,-0.0909090909091,11.9365132592,-340419.144107
astex_1m2z,42,15925.9023907,0.0159322001989,0.212121212121,-7492.93519156,642411043.664
astex_1meh,46,20.5874404969,0.0444367234534,-0.224242424242,-3.16555509498,259281.969889
astex_1mmv,38,63.0254697802,0.148289143244,-0.236363636364,-37.9371947092,-37485170.4683
astex_1mzc,36,401.473271328,0.585721434594,0.818181818182,49.0055864328,60674941.1647
astex_1n1m,30,136373.14887,0.207306586599,0.781818181818,44923.0115102,22135104683.9
astex_1n2j,34,35.6947216956,0.767795656799,0.442424242424,25.3010784026,-1353008.9719
astex_1n2v,32,11.9604186546,0.0214623894875,-0.0181818181818,-7.03806482446,-6955568.12158
astex_1n46,36,17.483845945,0.675188680316,-0.527272727273,-30.5362847561,-21557502.9115
astex_1nav,46,17.5752277618,0.60416043315,-0.624242424242,-19.1582560159,2557657.07319
astex_1of1,34,269.265878018,0.317303516807,0.587878787879,26.9071367176,12204826.9582
astex_1of6,34,4.38548236964,0.00354476313741,0.10303030303,2.85713241535,609385.812963
astex_1opk,40,11797.6163492,0.257468780868,-0.745454545455,-9373.44817344,-8513464696.3
astex_1oq5,24,8.17403067241,0.172360532808,-0.642857142857,-0.814240294046,-528665.296293
astex_1owe,32,11.9897962614,0.804062006843,-0.975757575758,-22.3945015808,-16695725.5308
astex_1oyt,50,11.5417082189,0.603416790583,-0.757575757576,-13.8164966864,-13399061.4632
astex_1p2y,30,14.1934325514,0.109372417354,-0.466666666667,-2.07924865087,-1050791.01586
astex_1p62,32,194.702934756,0.239733072151,-0.175757575758,34.4399462653,23334841.7619
astex_1pmn,32,22.7919261316,0.010416219006,-0.2,-6.176402066,-8894609.10106
astex_1q1g,34,40.2101755966,0.874276054553,-0.854545454545,-17.7735319536,-16689955.078
astex_1q4g,32,7.63252128579,0.437621834067,-0.684848484848,-18.9677387142,556107.250246
astex_1r1h,40,7790.57562025,0.00501737191284,-0.672727272727,69.7253275288,20004777.8932
astex_1r55,40,211.966757784,0.00410211834864,-0.272727272727,-2.44617101518,-1695397.41373
astex_1r58,40,11348.9637854,0.215864927386,0.187878787879,533.254380334,343985601.905
astex_1r9o,40,3.03005558293,0.0226984234218,-0.139393939394,-3.88898099646,174385.304028
astex_1s3v,44,3.27398827541,0.0834717764293,-0.393939393939,-5.95466382432,-7305594.24452
