name, len, mare, rsq, spearman, slope, intercept
astex_1g9v,44,3.6349193012,0.259756936243,0.7,19.5188307724,-94736.7011328
astex_1gkc,50,15.6666294078,0.384758503113,-0.2,-20.2426815131,102752.953668
astex_1gm8,32,0.0795929428052,0.813397136724,0.7,1.70781401251,-3116.11309007
astex_1hnn,24,0.474420351169,0.745046969455,-1.0,-3.90706787,12418.7716663
astex_1hp0,32,0.911903835699,0.0219485219846,-0.4,-1.63244155317,8989.48935147
astex_1hq2,32,0.2498541985,0.985917822868,0.3,1.64508251972,-1538.21239772
astex_1hvy,34,12.4807336006,0.400697844266,-0.7,-8.64217182963,56052.1036205
astex_1hwi,44,2.309477081,0.635956591992,0.5,8.89236983188,-47219.7568185
astex_1ia1,32,0.547705362702,0.129983889999,-0.3,-1.58691279529,8741.52080238
astex_1ig3,34,0.2263382796,0.204661522188,0.2,1.67347477591,-2228.85315781
astex_1j3j,30,0.0692039235977,0.0230984341769,0.0,0.217994364124,2459.53707576
astex_1jd0,36,0.130597572598,0.403950146847,-0.461690258438,-3.06646502777,7263.96916961
astex_1jje,40,0.869885404801,0.00336134041436,-0.1,-0.191530637627,5677.36542619
astex_1jla,50,0.987193669703,0.452508152993,-0.1,-17.6900812532,102746.314805
astex_1k3u,36,1.3246598926,0.000216978798859,-0.1,-0.0776682976534,4144.36827266
astex_1ke5,42,0.289467114198,0.363169427016,-0.8,-6.37488609753,30560.4233297
astex_1kzk,48,10.7176015294,0.273365261921,0.2,5.41897679374,-36381.619511
astex_1l2s,40,2.2629510885,0.694374393156,-0.6,-32.664572171,98237.7123782
astex_1l7f,34,4.03699901117,0.631775394502,0.5,7.09402983874,-29355.5090458
astex_1lrh,40,0.029528566302,0.0963308858227,0.6,0.536344106562,1285.78268783
astex_1m2z,42,0.756315971899,0.224473924509,-0.2,-1.33806638088,13713.3584046
astex_1meh,46,0.969205146199,0.124372334452,0.3,3.34606772067,-10618.1677009
astex_1mmv,38,3.43371137599,0.250423864569,-0.4,-10.8520100139,35778.2439386
astex_1n1m,30,10.5175126966,0.298437269303,-0.6,-96.5011713329,266475.977681
astex_1n2j,34,1.0206488189,0.367274705778,-0.5,-1.64898454726,5556.32379793
astex_1n2v,32,1.2354047644,0.489302798994,-0.9,-22.6176518479,65260.1269783
