name, len, mare, rsq, spearman, slope, intercept
astex_1g9v,44,11.1473925012,0.0364651750949,0.2,21.2268151717,-103474.998156
astex_1gkc,50,13.6846228962,0.0627085855714,0.3,7.59781115228,-31808.481008
astex_1gm8,32,1.2152856748,0.313247769965,-0.3,-8.90261206939,43609.0088605
astex_1hnn,24,0.900439540833,0.969587868954,1.0,10.7447069616,-24645.5516672
astex_1hp0,32,8.5796016359,0.602185586369,-0.8,-53.7712295999,186828.138727
astex_1hq2,32,3.3454629443,0.967359810286,-0.5,-3.35442248848,10375.6961464
astex_1hvy,34,4.3200136374,0.834111281607,0.9,5.3603124291,-25324.072454
astex_1hwi,44,1.638294196,0.970839627408,1.0,5.16543476201,-24886.2995433
astex_1ia1,32,2.4022365627,0.232836432819,0.0,-8.61283889801,32400.4617637
astex_1ig3,34,3.2903460048,0.0171658276431,-0.2,-2.83163063167,12936.1701207
astex_1j3j,30,2.0304381236,0.538037013383,-0.4,-16.5052038201,54049.2520644
astex_1jd0,36,0.582522742196,0.774966428307,0.71818484646,27.3119030648,-47820.9455984
astex_1jje,40,3.8651752048,0.805192838542,-0.9,-12.7731377419,65374.2279199
astex_1jla,50,1.5143856019,0.116443217349,0.4,11.2933447328,-56507.4072618
astex_1k3u,36,8.5553170698,0.313100017004,-0.5,-21.7220252673,87016.470455
astex_1ke5,42,0.892465386999,0.000630493165237,-0.1,-0.675536187236,6929.55872497
astex_1kzk,48,18.2872837578,0.0177620096098,-0.4,-3.01498821002,33226.097233
astex_1l2s,40,1.8020979993,0.835029002229,-0.9,-32.7040250615,98352.45219
astex_1l7f,34,0.893895041835,0.932965376784,-1.0,-0.915096492058,9377.06213851
astex_1lrh,40,0.5335345491,0.0069021860182,-0.2,1.4798445007,-1301.81181963
astex_1m2z,42,1.9302984337,0.0211526362107,0.1,1.22912396514,-1268.13943196
astex_1meh,46,3.1667474234,0.0375407053114,-0.2,5.66206018025,-21131.4965762
astex_1mmv,38,5.2531130484,0.391881559817,0.9,29.2178258303,-84831.3617575
astex_1n1m,30,1.0211255134,0.0962139414144,-0.1,-6.19929926529,19752.3737284
astex_1n2j,34,6.7870941811,0.00381741522872,0.0,0.690642088413,682.34504203
astex_1n2v,32,2.943000162,0.289877726114,0.1,125.59275929,-344106.89724
astex_1n46,36,3.3502241807,0.508858385924,-0.7,-45.3705014409,240416.652118
astex_1nav,46,4.8982644436,0.584739137623,0.9,95.758271589,-396265.528917
astex_1of1,34,1.5262946596,0.633926830349,-0.7,-10.8868497171,41575.7647022
astex_1of6,34,1.0188773919,0.706747301123,-0.35909242323,-19.1683501066,48764.2456716
astex_1oq5,24,12.3226785018,0.95873740291,-0.5,-1.12835010547,9170.84268143
astex_1owe,32,1.8519640338,0.0105010336221,-0.4,-5.7238269988,27758.4711877
astex_1p2y,30,3.3660509771,0.356108729548,-0.4,-1.28320602372,5852.90099398
astex_1p62,32,9.1346459824,0.666916651967,0.6,17.2123259104,-48088.3345624
astex_1q1g,34,6.0610027092,0.019516143747,0.1,2.08983259566,-3857.79999162
astex_1q4g,32,0.772699496796,0.0252368121601,-0.3,-14.4590319393,53556.8625072
astex_1r55,40,5.5227160829,0.0291832629652,-0.1,-0.789978755855,8941.40926582
