name, len, mare, rsq, spearman, slope, intercept
astex_1gkc,50,0.0,1.0,1.0,1.0,0.0
astex_1gm8,32,0.0,1.0,1.0,1.0,0.0
astex_1hnn,24,0.0,1.0,1.0,1.0,0.0
astex_1hp0,32,0.0,1.0,1.0,1.0,0.0
astex_1hq2,32,0.0,1.0,1.0,1.0,0.0
astex_1hvy,34,0.0,1.0,1.0,1.0,0.0
astex_1hwi,44,0.0,1.0,1.0,1.0,0.0
astex_1ia1,32,0.0,1.0,1.0,1.0,0.0
astex_1ig3,34,0.0,1.0,1.0,1.0,0.0
astex_1j3j,30,0.0,1.0,1.0,1.0,0.0
astex_1jd0,36,0.0,1.0,1.0,1.0,0.0
astex_1jje,40,0.0,1.0,1.0,1.0,0.0
astex_1jla,50,0.0,1.0,1.0,1.0,0.0
astex_1k3u,36,0.0,1.0,1.0,1.0,0.0
astex_1ke5,42,0.0,1.0,1.0,1.0,0.0
astex_1kzk,48,0.0,1.0,1.0,1.0,0.0
astex_1l2s,40,0.0,1.0,1.0,1.0,0.0
astex_1l7f,34,0.0,1.0,1.0,1.0,0.0
astex_1lpz,36,0.0,1.0,1.0,1.0,0.0
astex_1lrh,40,0.0,1.0,1.0,1.0,0.0
astex_1m2z,42,0.0,1.0,1.0,1.0,0.0
astex_1meh,46,0.0,1.0,1.0,1.0,0.0
astex_1mmv,38,0.0,1.0,1.0,1.0,0.0
astex_1mzc,36,0.0,1.0,1.0,1.0,0.0
astex_1n1m,30,0.0,1.0,1.0,1.0,0.0
astex_1n2j,34,0.0,1.0,1.0,1.0,0.0
astex_1n2v,32,0.0,1.0,1.0,1.0,0.0
astex_1n46,36,0.0,1.0,1.0,1.0,0.0
astex_1nav,46,0.0,1.0,1.0,1.0,0.0
astex_1of1,34,0.0,1.0,1.0,1.0,0.0
astex_1of6,34,0.0,1.0,1.0,1.0,0.0
astex_1opk,40,0.0,1.0,1.0,1.0,0.0
astex_1oq5,24,0.0,1.0,1.0,1.0,0.0
astex_1owe,32,0.0,1.0,1.0,1.0,0.0
astex_1oyt,50,0.0,1.0,1.0,1.0,0.0
astex_1p2y,30,0.0,1.0,1.0,1.0,0.0
astex_1p62,32,0.0,1.0,1.0,1.0,0.0
astex_1pmn,32,0.0,1.0,1.0,1.0,0.0
astex_1q1g,34,0.0,1.0,1.0,1.0,0.0
astex_1q4g,32,0.0,1.0,1.0,1.0,0.0
astex_1r1h,40,0.0,1.0,1.0,1.0,0.0
astex_1r55,40,0.0,1.0,1.0,1.0,0.0
astex_1r58,40,0.0,1.0,1.0,1.0,0.0
astex_1r9o,40,0.0,1.0,1.0,1.0,0.0
astex_1s3v,44,0.0,1.0,1.0,1.0,0.0
astex_1sg0,30,0.0,1.0,1.0,1.0,0.0
astex_1sj0,40,0.0,1.0,1.0,1.0,0.0
astex_1sq5,32,0.0,1.0,1.0,1.0,0.0
astex_1t40,42,0.0,1.0,1.0,1.0,0.0
astex_1t46,42,0.0,1.0,1.0,1.0,0.0
astex_1t9b,32,0.0,1.0,1.0,1.0,0.0
astex_1tow,46,0.0,1.0,1.0,1.0,0.0
astex_1tt1,40,0.0,1.0,1.0,1.0,0.0
astex_1tz8,50,0.0,1.0,1.0,1.0,0.0
astex_1u1c,48,0.0,1.0,1.0,1.0,0.0
astex_1uml,32,0.0,1.0,1.0,1.0,0.0
astex_1unl,50,0.0,1.0,1.0,1.0,0.0
astex_1uou,32,0.0,1.0,1.0,1.0,0.0
astex_1v0p,42,0.0,1.0,1.0,1.0,0.0
astex_1v48,42,0.0,1.0,1.0,1.0,0.0
astex_1v4s,42,0.0,1.0,1.0,1.0,0.0
astex_1vcj,50,0.0,1.0,1.0,1.0,0.0
astex_1w2g,32,0.0,1.0,1.0,1.0,0.0
astex_1xm6,44,0.0,1.0,1.0,1.0,0.0
astex_1xoq,36,0.0,1.0,1.0,1.0,0.0
astex_1xoz,30,0.0,1.0,1.0,1.0,0.0
astex_1y6b,30,0.0,1.0,1.0,1.0,0.0
astex_1ygc,40,0.0,1.0,1.0,1.0,0.0
astex_1yqy,34,0.0,1.0,1.0,1.0,0.0
astex_1yvf,36,0.0,1.0,1.0,1.0,0.0
astex_1ywr,38,0.0,1.0,1.0,1.0,0.0
astex_1z95,50,0.0,1.0,1.0,1.0,0.0
astex_2bm2,48,0.0,1.0,1.0,1.0,0.0
astex_2br1,44,0.0,1.0,1.0,1.0,0.0
astex_2bsm,38,0.0,1.0,1.0,1.0,0.0
omegacsd_ABHYTZ,48,0.0,1.0,1.0,1.0,0.0
omegacsd_ABIMAZ,46,0.0,1.0,1.0,1.0,0.0
omegacsd_ABSBPP,40,0.0,1.0,1.0,1.0,0.0
omegacsd_ABVPRO,42,0.0,1.0,1.0,1.0,0.0
omegacsd_ABXBPC,32,0.0,1.0,1.0,1.0,0.0
omegacsd_ABZNPS,34,0.0,1.0,1.0,1.0,0.0
omegacsd_ACENHT,50,0.0,1.0,1.0,1.0,0.0
omegacsd_ACPIXZ,36,0.0,1.0,1.0,1.0,0.0
omegacsd_ACTHBZ,38,0.0,1.0,1.0,1.0,0.0
omegacsd_ADPRTR,32,0.0,1.0,1.0,1.0,0.0
omegacsd_AMOCMS10,42,0.0,1.0,1.0,1.0,0.0
omegacsd_AMPDAM,32,0.0,1.0,1.0,1.0,0.0
omegacsd_ANOPPS,34,0.0,1.0,1.0,1.0,0.0
omegacsd_ANTZOA,38,0.0,1.0,1.0,1.0,0.0
