method1,method2,method name,type,mean mare,med mare,sem mare,std mare,low ci mare,high ci mare,mean rsq,med rsq,sem rsq,std rsq,low ci rsq,high ci rsq,mean spearman,med spearman,sem spearman,std spearman,low ci spearman,high ci spearman,mean time,med time,sem time,std time,low ci time,high ci time
dlpno,dlpno,DLPNO-CCSD(T) cc-pVTZ,Coupled Cluster,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,24091.2691078795,21901.384,149.216154219149,12248.4559868386,312.435899999997,241.466500000002
dlpno,mp2,RI-MP2 cc-pVTZ,MP2,0.218662169,0.114898632,0.011128148,0.290186587,0.009606541,0.012423968,0.913682031,0.963911229,0.005555863,0.144879191,0.004384394,0.00657467,0.916456255,0.951515152,0.004922532,0.128363921,0,0.012121212,2574.58629762804,2118.825,26.4196324953161,2149.26592619417,46.4043374999997,38.1247750000002
dlpno,wb97,ωB97X-D def2-TZVP,DFT,0.233574411,0.160058096,0.008250649,0.216883801,0.010545798,0.011912824,0.833741604,0.928986937,0.00833711,0.219156595,0.015448645,0.010146864,0.842765496,0.915151515,0.007593198,0.199601475,0.012121212,0.012121212,2872.24710016323,2524.828,20.6027073654948,1691.17985714441,41.6309999999999,29.7129750000004
dlpno,b973c,B973c,DFT,0.299439654,0.198125814,0.011950896,0.314151765,0.018419557,0.026112261,0.804246528,0.901762336,0.009163468,0.240878975,0.014220114,0.013605978,0.819019155,0.903030303,0.008754082,0.230117495,0.022077922,0.012121212,167.139351017982,137.451,1.52228068456436,124.864139411272,2.0710875,2.25367500000002
dlpno,pbe,PBE-D3BJ def2-TZVP,DFT,0.324154569,0.207543571,0.01262299,0.332059028,0.017172542,0.019066711,0.784610986,0.884679526,0.009506795,0.250084721,0.01639369,0.019790355,0.801900264,0.890909091,0.009611489,0.252838789,0.012121212,0.012121212,396.497657515952,358.647,2.50100822700768,205.296064300346,6.48006250000003,7.39433750000001
dlpno,pbeSVP,PBE-D3BJ def2-SVP,DFT,0.446543516,0.2647705,0.020262195,0.533015143,0.022432853,0.033418426,0.737545482,0.834864434,0.010235718,0.269259693,0.020743516,0.029499259,0.752468407,0.854545455,0.010847641,0.285356884,0.012121212,0.024242424,161.96723712717,149.025,0.91084560040599,74.7670539142379,2.17172500000001,2.29922500000001
dlpno,pbeh3c,PBEH-3c,DFT,0.345965311,0.206897569,0.014499464,0.381421341,0.027794776,0.022768545,0.781462505,0.879286924,0.009377252,0.24667699,0.021776102,0.015562123,0.801183761,0.878787879,0.008960259,0.235707604,0.012121212,0.024242424,534.50688354507,453.038,4.5766536309393,372.118810547285,8.88999999999999,10.027
dlpno,b3lypTZ,B3LYP-D3BJ def2-TZVP,DFT,0.242799194,0.168047354,0.008464935,0.222677681,0.016996335,0.017249686,0.830966248,0.920057802,0.008595626,0.22611563,0.010906329,0.012653715,0.839507318,0.915151515,0.008077354,0.212482006,0.012121212,0.012121212,1876.1713905624,1672.794,13.2225947539911,1085.38094098179,20.8797,20.4508874999999
dlpno,b3lypSVP,B3LYP-D3BJ def2-SVP,DFT,0.403431028,0.228280592,0.018954923,0.498626186,0.017170033,0.035448792,0.774272128,0.868016079,0.009670733,0.254397263,0.024735891,0.02534355,0.7860007,0.878787879,0.009715026,0.25556243,0.012121212,0.012121212,370.452013800267,330.938,2.54101243475706,208.579822553404,3.23932500000012,5.46952499999992
dlpno,gfn0,GFN0-xTB,Semiempirical,0.845656653,0.439281708,0.040494409,1.065241575,0.04493784,0.046822718,0.43175595,0.404722487,0.012488817,0.328529495,0.055888185,0.071790323,0.391862415,0.527272727,0.018270746,0.4708042,0.072727273,0.036515152,0.07017219466832,0.065,0.000344688594501,0.027684739036708,0.001,0
dlpno,gfn1,GFN-xTB,Semiempirical,0.666243307,0.350201651,0.030745737,0.808794057,0.037317647,0.05629131,0.562561297,0.622385986,0.012168299,0.320097976,0.047157742,0.036247001,0.566615741,0.696969697,0.015133091,0.398089474,0.036363636,0.036363636,2.92478260869565,2.66,0.01988315624202,1.63211527186354,0.05,0.05
dlpno,gfn2,GFN2-xTB,Semiempirical,0.658214625,0.38930802,0.029703965,0.781389315,0.055765251,0.040265782,0.575254265,0.637136781,0.012155398,0.3197586,0.047737313,0.042211928,0.585438119,0.717328542,0.014825679,0.390002712,0.036474333,0.028126004,4.83143789879804,2.6,0.07948642377289,6.52466864749486,0.07,0.06
