Method,MARE,R2,Spearman,CPU Time
DLPNO-CCSD(T),0,1,1,2.10E+04
RI-MP2,0.115,0.964,0.952,1.98E+03
wB97X-D3,0.16,0.929,0.915,2.40E+03
B3LYP (TZ),0.168,0.92,0.915,1.58E+03
B97-3c,0.198,0.902,0.903,1.36E+02
PBE (TZ),0.208,0.885,0.891,3.41E+02
PBEh-3c,0.207,0.879,0.879,4.55E+02
B3LYP (SVP),0.228,0.868,0.879,7.88E+02
PBE (SVP),0.265,0.835,0.855,1.48E+02
ANI-1ccx,0.439,0.638,0.713,1.57E+00
GFN2,0.389,0.637,0.717,2.62E+00
ANI-2x,0.455,0.633,0.690,4.55E+00
GFN1,0.35,0.622,0.697,2.58E+00
ANI-1x,0.449,0.594,0.654,1.58E+00
BATTY/n,0.415,0.467,0.5,1.40E-01
GFN0,0.44,0.405,0.527,6.50E-02
GAFF,1.658,0.353,0.479,5.02E-03
MMFF94,0.704,0.334,0.467,3.97E-03
BOB,1.922,0.319,0.1,1.40E-01
PM7,0.617,0.315,0.333,4.70E-02
BAT,1.177,0.314,0.2,1.40E-01
UFF,5.205,0.29,0.321,1.34E-03
