mol,geom,seconds
astex_1g9v,rmsd111-opt,1.5153178659999997
astex_1g9v,rmsd116-opt,1.579675772
astex_1g9v,rmsd117-opt,1.5257413829999997
astex_1g9v,rmsd147-opt,1.5847377349999998
astex_1g9v,rmsd152-opt,1.5738539499999997
astex_1g9v,rmsd176-opt,1.557702981
astex_1g9v,rmsd203-opt,1.535125872
astex_1g9v,rmsd209-opt,1.50230603
astex_1g9v,rmsd232-opt,1.5216622530000001
astex_1g9v,rmsd75-opt,1.5239549829999999
astex_1gkc,rmsd144-opt,1.5454017209999997
astex_1gkc,rmsd193-opt,1.611381988
astex_1gkc,rmsd209-opt,1.537799959
astex_1gkc,rmsd216-opt,1.575601372
astex_1gkc,rmsd222-opt,1.525819131
astex_1gkc,rmsd224-opt,1.5455218190000002
astex_1gkc,rmsd66-opt,1.5724420330000002
astex_1gkc,rmsd78-opt,1.547284924
astex_1gkc,rmsd79-opt,1.5476661409999997
astex_1gkc,rmsd91-opt,1.607579282
astex_1hp0,rmsd1-opt,1.51575198
astex_1hp0,rmsd10-opt,1.4963368080000001
astex_1hp0,rmsd11-opt,1.4858314040000002
astex_1hp0,rmsd22-opt,1.537323287
astex_1hp0,rmsd27-opt,1.5754115479999997
astex_1hp0,rmsd3-opt,1.572955961
astex_1hp0,rmsd33-opt,1.577509508
astex_1hp0,rmsd34-opt,1.5896394600000001
astex_1hp0,rmsd35-opt,1.5147728809999998
astex_1hp0,rmsd9-opt,1.4849648449999997
astex_1hq2,rmsd1-opt,1.497003822
astex_1hq2,rmsd11-opt,1.4899887760000001
astex_1hq2,rmsd2-opt,1.5336972169999998
astex_1hq2,rmsd3-opt,1.4745618209999998
astex_1hq2,rmsd4-opt,1.50278232
astex_1hq2,rmsd5-opt,1.4697031150000002
astex_1hq2,rmsd6-opt,1.478683711
astex_1hq2,rmsd7-opt,1.5643123140000001
astex_1hq2,rmsd8-opt,1.596654298
astex_1hq2,rmsd9-opt,1.556524074
astex_1jje,rmsd117-opt,2.00752755
astex_1jje,rmsd148-opt,2.084026892
astex_1jje,rmsd208-opt,2.0930298
astex_1jje,rmsd214-opt,1.6612881750000001
astex_1jje,rmsd45-opt,1.4909663739999999
astex_1jje,rmsd58-opt,1.5312701030000002
astex_1jje,rmsd79-opt,1.541444018
astex_1jje,rmsd83-opt,1.474013166
astex_1jje,rmsd84-opt,1.483138162
astex_1jje,rmsd90-opt,1.555110784
astex_1jla,rmsd103-opt,1.556295908
astex_1jla,rmsd151-opt,1.58636418
astex_1jla,rmsd180-opt,1.536296186
astex_1jla,rmsd206-opt,1.654045986
astex_1jla,rmsd221-opt,1.522145864
astex_1jla,rmsd238-opt,1.572547091
astex_1jla,rmsd26-opt,1.5580482800000002
astex_1jla,rmsd44-opt,1.61001439
astex_1jla,rmsd47-opt,1.5508069469999999
astex_1jla,rmsd90-opt,1.535281253
astex_1k3u,rmsd111-opt,1.5072455599999999
astex_1k3u,rmsd114-opt,1.495962845
astex_1k3u,rmsd118-opt,1.564141263
astex_1k3u,rmsd128-opt,1.4803078369999998
astex_1k3u,rmsd130-opt,1.604365822
astex_1k3u,rmsd135-opt,1.479569634
astex_1k3u,rmsd136-opt,1.499775821
astex_1k3u,rmsd173-opt,1.5349089509999998
astex_1k3u,rmsd239-opt,1.5624102069999999
astex_1k3u,rmsd85-opt,1.4913474600000003
astex_1lrh,rmsd108-opt,1.449196608
astex_1lrh,rmsd11-opt,1.466466927
astex_1lrh,rmsd111-opt,1.4858825460000002
astex_1lrh,rmsd116-opt,1.469129545
astex_1lrh,rmsd117-opt,1.47850485
astex_1lrh,rmsd127-opt,1.483463216
astex_1lrh,rmsd13-opt,1.497297606
astex_1lrh,rmsd14-opt,1.50657808
astex_1lrh,rmsd17-opt,1.4510461450000003
astex_1lrh,rmsd20-opt,1.4575798130000002
astex_1meh,rmsd11-opt,1.512073097
astex_1meh,rmsd148-opt,1.632662236
astex_1meh,rmsd149-opt,1.5135481039999998
astex_1meh,rmsd173-opt,1.565611511
astex_1meh,rmsd18-opt,1.495826515
astex_1meh,rmsd229-opt,1.545778803
astex_1meh,rmsd54-opt,1.4885012839999998
astex_1meh,rmsd75-opt,1.5183042300000003
astex_1meh,rmsd80-opt,1.5146442400000002
astex_1meh,rmsd88-opt,1.507628357
astex_1n2j,rmsd21-opt,1.4954099730000001
astex_1n2j,rmsd37-opt,1.499593139
astex_1n2j,rmsd49-opt,1.48483325
astex_1n2j,rmsd5-opt,1.449023988
astex_1n2j,rmsd50-opt,1.489589043
astex_1n2j,rmsd52-opt,1.5526530159999998
astex_1n2j,rmsd67-opt,2.2455327900000004
astex_1n2j,rmsd80-opt,1.995707769
astex_1n2j,rmsd83-opt,1.9176263740000001
astex_1n2j,rmsd84-opt,1.941063018
astex_1n2v,rmsd12-opt,2.0186892560000005
astex_1n2v,rmsd22-opt,1.453931806
astex_1n2v,rmsd24-opt,1.475953035
astex_1n2v,rmsd35-opt,1.496715011
astex_1n2v,rmsd36-opt,1.469569395
astex_1n2v,rmsd59-opt,1.49406303
astex_1n2v,rmsd63-opt,1.4809485139999998
astex_1n2v,rmsd64-opt,1.452463672
astex_1n2v,rmsd65-opt,1.482363162
astex_1n2v,rmsd8-opt,1.5068313880000002
astex_1n46,rmsd101-opt,1.5004906589999998
astex_1n46,rmsd22-opt,1.4912988250000003
astex_1n46,rmsd29-opt,1.527964481
astex_1n46,rmsd3-opt,1.508713663
astex_1n46,rmsd34-opt,1.5221041960000001
astex_1n46,rmsd35-opt,1.5498978219999997
