mol,geom,seconds
astex_1g9v,rmsd111-opt,1.4922862519999998
astex_1g9v,rmsd116-opt,1.464904033
astex_1g9v,rmsd117-opt,1.483779712
astex_1g9v,rmsd147-opt,1.4833188950000002
astex_1g9v,rmsd152-opt,1.4601010030000001
astex_1g9v,rmsd176-opt,1.470626399
astex_1g9v,rmsd203-opt,1.4829387950000001
astex_1g9v,rmsd209-opt,1.510561348
astex_1g9v,rmsd232-opt,1.458239768
astex_1g9v,rmsd75-opt,1.4851971760000002
astex_1gkc,rmsd144-opt,2.2707115160000004
astex_1gkc,rmsd193-opt,2.7325572769999997
astex_1gkc,rmsd209-opt,1.748171508
astex_1gkc,rmsd216-opt,2.7563277459999997
astex_1gkc,rmsd222-opt,2.724044228
astex_1gkc,rmsd224-opt,1.7896022709999997
astex_1gkc,rmsd66-opt,1.8980141019999999
astex_1gkc,rmsd78-opt,1.7063395790000002
astex_1gkc,rmsd79-opt,1.808850605
astex_1gkc,rmsd91-opt,1.7702801300000002
astex_1hp0,rmsd1-opt,1.8217811050000003
astex_1hp0,rmsd10-opt,1.706428291
astex_1hp0,rmsd11-opt,1.941748772
astex_1hp0,rmsd22-opt,1.708623959
astex_1hp0,rmsd27-opt,1.8410417790000002
astex_1hp0,rmsd3-opt,1.9447640419999996
astex_1hp0,rmsd33-opt,1.459175981
astex_1hp0,rmsd34-opt,1.473410073
astex_1hp0,rmsd35-opt,1.9605167650000002
astex_1hp0,rmsd9-opt,1.572146296
astex_1hq2,rmsd1-opt,1.6213048090000002
astex_1hq2,rmsd11-opt,1.5717436909999996
astex_1hq2,rmsd2-opt,1.4808588120000001
astex_1hq2,rmsd3-opt,1.6431211669999999
astex_1hq2,rmsd4-opt,1.5774536840000004
astex_1hq2,rmsd5-opt,1.583254346
astex_1hq2,rmsd6-opt,1.61922269
astex_1hq2,rmsd7-opt,1.572883543
astex_1hq2,rmsd8-opt,1.5475676260000002
astex_1hq2,rmsd9-opt,1.440536899
astex_1jje,rmsd117-opt,2.546447307
astex_1jje,rmsd148-opt,1.8198270559999998
astex_1jje,rmsd208-opt,1.4549406310000002
astex_1jje,rmsd214-opt,1.471740739
astex_1jje,rmsd45-opt,1.6466993569999997
