mol,geom,seconds
astex_1gm8,rmsd112-opt,390.046
astex_1gm8,rmsd114-opt,388.529
astex_1gm8,rmsd115-opt,388.325
astex_1gm8,rmsd125-opt,387.465
astex_1gm8,rmsd141-opt,385.368
astex_1gm8,rmsd162-opt,385.151
astex_1gm8,rmsd163-opt,386.159
astex_1gm8,rmsd176-opt,386.674
astex_1gm8,rmsd35-opt,385.654
astex_1gm8,rmsd48-opt,386.09
astex_1hnn,rmsd1-opt,147.447
astex_1hnn,rmsd2-opt,146.921
astex_1hnn,rmsd3-opt,135.102
astex_1hnn,rmsd4-opt,135.854
astex_1hnn,rmsd5-opt,134.707
astex_1hnn,rmsd6-opt,134.681
astex_1hnn,rmsd7-opt,135.099
astex_1hnn,rmsd8-opt,134.565
astex_1ia1,rmsd2-opt,227.059
astex_1ia1,rmsd40-opt,226.006
astex_1ia1,rmsd41-opt,226.776
astex_1ia1,rmsd42-opt,226.231
astex_1ia1,rmsd43-opt,226.277
astex_1ia1,rmsd44-opt,226.23
astex_1ia1,rmsd46-opt,225.092
astex_1ia1,rmsd47-opt,224.542
astex_1ia1,rmsd48-opt,223.428
astex_1ia1,rmsd49-opt,223.369
astex_1ig3,rmsd121-opt,237.615
astex_1ig3,rmsd152-opt,237.058
astex_1ig3,rmsd167-opt,236.785
astex_1ig3,rmsd171-opt,236.451
astex_1ig3,rmsd182-opt,236.304
astex_1ig3,rmsd197-opt,235.758
astex_1ig3,rmsd222-opt,235.501
astex_1ig3,rmsd242-opt,235.074
astex_1ig3,rmsd24-opt,235.2
astex_1ig3,rmsd56-opt,235.067
astex_1j3j,rmsd12-opt,215.694
astex_1j3j,rmsd13-opt,214.958
astex_1j3j,rmsd15-opt,213.875
astex_1j3j,rmsd1-opt,214.084
astex_1j3j,rmsd2-opt,216.364
astex_1j3j,rmsd3-opt,213.986
astex_1j3j,rmsd4-opt,215.048
astex_1j3j,rmsd7-opt,216.621
astex_1j3j,rmsd8-opt,215.408
astex_1j3j,rmsd9-opt,215.005
astex_1jd0,rmsd12-opt,84.485
astex_1jd0,rmsd18-opt,81.845
astex_1jd0,rmsd19-opt,82.032
astex_1jd0,rmsd22-opt,82.082
astex_1jd0,rmsd3-opt,82.488
astex_1jd0,rmsd44-opt,82.227
astex_1jd0,rmsd47-opt,82.068
astex_1jd0,rmsd54-opt,81.959
astex_1jd0,rmsd56-opt,81.796
astex_1jd0,rmsd9-opt,81.687
astex_1l7f,rmsd103-opt,502.145
astex_1l7f,rmsd124-opt,484.84
astex_1l7f,rmsd15-opt,496.48
astex_1l7f,rmsd171-opt,490.286
astex_1l7f,rmsd197-opt,503.384
astex_1l7f,rmsd215-opt,503.168
astex_1l7f,rmsd246-opt,495.952
astex_1l7f,rmsd76-opt,509.246
astex_1l7f,rmsd82-opt,500.49
astex_1l7f,rmsd97-opt,484.501
astex_1lpz,rmsd111-opt,779.15
astex_1lpz,rmsd112-opt,777.61
astex_1lpz,rmsd119-opt,778.541
astex_1lpz,rmsd11-opt,775.237
astex_1lpz,rmsd120-opt,774.913
astex_1lpz,rmsd122-opt,777.829
astex_1lpz,rmsd200-opt,779.433
astex_1lpz,rmsd204-opt,772.363
astex_1lpz,rmsd221-opt,767.448
astex_1lpz,rmsd242-opt,761.063
astex_1mmv,rmsd113-opt,186.996
astex_1mmv,rmsd137-opt,189.84
astex_1mmv,rmsd138-opt,193.693
astex_1mmv,rmsd146-opt,176.47
astex_1mmv,rmsd15-opt,189.666
astex_1mmv,rmsd172-opt,193.446
astex_1mmv,rmsd22-opt,192.336
astex_1mmv,rmsd44-opt,195.194
astex_1mmv,rmsd50-opt,190.512
astex_1mmv,rmsd91-opt,191.235
astex_1mzc,rmsd10-opt,1055.072
astex_1mzc,rmsd118-opt,1096.821
astex_1mzc,rmsd145-opt,1100.926
astex_1mzc,rmsd14-opt,1087.611
astex_1mzc,rmsd152-opt,1082.047
astex_1mzc,rmsd201-opt,1066.012
astex_1mzc,rmsd202-opt,1043.805
astex_1mzc,rmsd221-opt,1030.919
astex_1mzc,rmsd22-opt,1065.435
astex_1mzc,rmsd250-opt,1105.724
astex_1n1m,rmsd13-opt,154.504
astex_1n1m,rmsd20-opt,152.521
astex_1n1m,rmsd29-opt,153.822
astex_1n1m,rmsd34-opt,152.954
astex_1n1m,rmsd37-opt,149.324
astex_1n1m,rmsd38-opt,145.348
astex_1n1m,rmsd39-opt,145.259
astex_1n1m,rmsd40-opt,151.032
astex_1n1m,rmsd42-opt,152.571
astex_1n1m,rmsd5-opt,153.628
astex_1of6,rmsd100-opt,122.341
astex_1of6,rmsd102-opt,110.221
astex_1of6,rmsd103-opt,109.689
astex_1of6,rmsd104-opt,110.579
astex_1of6,rmsd105-opt,110.571
astex_1of6,rmsd106-opt,109.91
astex_1of6,rmsd107-opt,110.12
astex_1of6,rmsd135-opt,110.58
astex_1of6,rmsd142-opt,110.107
astex_1of6,rmsd143-opt,109.586
astex_1oq5,rmsd1-opt,373.801
astex_1oq5,rmsd2-opt,359.081
astex_1oq5,rmsd3-opt,362.807
astex_1oq5,rmsd4-opt,362.29
astex_1oq5,rmsd5-opt,362.519
astex_1oq5,rmsd6-opt,355.19
astex_1oq5,rmsd7-opt,362.947
astex_1oq5,rmsd8-opt,363.964
astex_1owe,rmsd103-opt,298.4
astex_1owe,rmsd122-opt,286.823
astex_1owe,rmsd129-opt,287.176
astex_1owe,rmsd130-opt,285.805
astex_1owe,rmsd131-opt,287.885
astex_1owe,rmsd137-opt,286.509
astex_1owe,rmsd146-opt,287.54
astex_1owe,rmsd148-opt,286.431
astex_1owe,rmsd149-opt,286.338
astex_1owe,rmsd153-opt,286.957
astex_1oyt,rmsd111-opt,717.132
astex_1oyt,rmsd124-opt,702.763
astex_1oyt,rmsd125-opt,699.408
astex_1oyt,rmsd207-opt,698.672
astex_1oyt,rmsd214-opt,700.804
astex_1oyt,rmsd31-opt,702.777
astex_1oyt,rmsd35-opt,705.309
astex_1oyt,rmsd42-opt,701.414
astex_1oyt,rmsd43-opt,701.652
astex_1oyt,rmsd97-opt,697.81
astex_1p2y,rmsd11-opt,132.761
astex_1p2y,rmsd12-opt,120.773
astex_1p2y,rmsd1-opt,120.564
astex_1p2y,rmsd3-opt,120.835
astex_1p2y,rmsd4-opt,120.556
astex_1p2y,rmsd5-opt,120.647
astex_1p2y,rmsd6-opt,121.302
astex_1p2y,rmsd7-opt,121.145
astex_1p2y,rmsd8-opt,120.44
astex_1p2y,rmsd9-opt,120.016
astex_1pmn,rmsd121-opt,831.595
astex_1pmn,rmsd122-opt,829.431
astex_1pmn,rmsd146-opt,841.564
