mol,geom,seconds
astex_1gm8,rmsd112-opt,2063.767
astex_1gm8,rmsd114-opt,2069.593
astex_1gm8,rmsd115-opt,1925.796
astex_1gm8,rmsd125-opt,1778.879
astex_1gm8,rmsd141-opt,1774.155
astex_1gm8,rmsd162-opt,1777.865
astex_1gm8,rmsd163-opt,1772.493
astex_1gm8,rmsd176-opt,1839.529
astex_1gm8,rmsd35-opt,1941.655
astex_1gm8,rmsd48-opt,1943.804
astex_1hnn,rmsd1-opt,636.373
astex_1hnn,rmsd2-opt,638.745
astex_1hnn,rmsd3-opt,637.638
astex_1hnn,rmsd4-opt,637.947
astex_1hnn,rmsd5-opt,639.608
astex_1hnn,rmsd6-opt,639.801
astex_1hnn,rmsd7-opt,638.039
astex_1hnn,rmsd8-opt,638.67
astex_1ia1,rmsd2-opt,1165.421
astex_1ia1,rmsd40-opt,1161.358
astex_1ia1,rmsd41-opt,1164.999
astex_1ia1,rmsd42-opt,1166.549
astex_1ia1,rmsd43-opt,1160.786
astex_1ia1,rmsd44-opt,1159.315
astex_1ia1,rmsd46-opt,1154.098
astex_1ia1,rmsd47-opt,1154.181
astex_1ia1,rmsd48-opt,1146.135
astex_1ia1,rmsd49-opt,1123.004
astex_1ig3,rmsd121-opt,1139.062
astex_1ig3,rmsd152-opt,1132.086
astex_1ig3,rmsd167-opt,1140.724
astex_1ig3,rmsd171-opt,1137.644
astex_1ig3,rmsd182-opt,1130.242
astex_1ig3,rmsd197-opt,1128.275
astex_1ig3,rmsd222-opt,1131.977
astex_1ig3,rmsd242-opt,1129.846
astex_1ig3,rmsd24-opt,1127.433
astex_1ig3,rmsd56-opt,1104.053
astex_1j3j,rmsd12-opt,1016.543
astex_1j3j,rmsd13-opt,1014.745
astex_1j3j,rmsd15-opt,1008.717
astex_1j3j,rmsd1-opt,1009.52
astex_1j3j,rmsd2-opt,1020.618
astex_1j3j,rmsd3-opt,1002.79
astex_1j3j,rmsd4-opt,1007.25
astex_1j3j,rmsd7-opt,1015.817
astex_1j3j,rmsd8-opt,1008.419
astex_1j3j,rmsd9-opt,1008.822
astex_1jd0,rmsd12-opt,418.268
astex_1jd0,rmsd18-opt,418.785
astex_1jd0,rmsd19-opt,419.191
astex_1jd0,rmsd22-opt,418.753
astex_1jd0,rmsd3-opt,417.437
astex_1jd0,rmsd44-opt,416.785
astex_1jd0,rmsd47-opt,418.957
astex_1jd0,rmsd54-opt,418.919
astex_1jd0,rmsd56-opt,418.267
astex_1jd0,rmsd9-opt,417.963
astex_1l7f,rmsd103-opt,2236.139
astex_1l7f,rmsd124-opt,2182.16
astex_1l7f,rmsd15-opt,2211.85
astex_1l7f,rmsd171-opt,2158.865
astex_1l7f,rmsd197-opt,2206.608
astex_1l7f,rmsd215-opt,2081.037
astex_1l7f,rmsd246-opt,2033.429
astex_1l7f,rmsd76-opt,2072.07
astex_1l7f,rmsd82-opt,2048.53
astex_1l7f,rmsd97-opt,1989.464
astex_1lpz,rmsd111-opt,3800.468
astex_1lpz,rmsd112-opt,3746.943
astex_1lpz,rmsd119-opt,3660.978
astex_1lpz,rmsd11-opt,3668.51
astex_1lpz,rmsd120-opt,3654.068
astex_1lpz,rmsd122-opt,3675.133
astex_1lpz,rmsd200-opt,3667.598
astex_1lpz,rmsd204-opt,3672.711
astex_1lpz,rmsd221-opt,3658.796
astex_1lpz,rmsd242-opt,3665.299
astex_1mmv,rmsd113-opt,778.806
astex_1mmv,rmsd137-opt,797.909
astex_1mmv,rmsd138-opt,812.382
astex_1mmv,rmsd146-opt,741.057
astex_1mmv,rmsd15-opt,802.663
astex_1mmv,rmsd172-opt,810.648
astex_1mmv,rmsd22-opt,806.055
astex_1mmv,rmsd44-opt,810.0
astex_1mmv,rmsd50-opt,777.784
astex_1mmv,rmsd91-opt,765.385
astex_1mzc,rmsd10-opt,5144.806
astex_1mzc,rmsd118-opt,5205.596
astex_1mzc,rmsd145-opt,5163.786
astex_1mzc,rmsd14-opt,5119.784
astex_1mzc,rmsd152-opt,5079.337
astex_1mzc,rmsd201-opt,5038.945
astex_1mzc,rmsd202-opt,4995.784
astex_1mzc,rmsd221-opt,4946.919
astex_1mzc,rmsd22-opt,5280.295
astex_1mzc,rmsd250-opt,5075.383
astex_1n1m,rmsd13-opt,613.868
astex_1n1m,rmsd20-opt,616.084
astex_1n1m,rmsd29-opt,618.091
astex_1n1m,rmsd34-opt,615.634
astex_1n1m,rmsd37-opt,617.826
astex_1n1m,rmsd38-opt,615.572
astex_1n1m,rmsd39-opt,615.659
astex_1n1m,rmsd40-opt,614.574
astex_1n1m,rmsd42-opt,612.884
astex_1n1m,rmsd5-opt,615.494
astex_1of6,rmsd100-opt,511.912
astex_1of6,rmsd102-opt,514.189
astex_1of6,rmsd103-opt,512.629
astex_1of6,rmsd104-opt,512.15
astex_1of6,rmsd105-opt,509.738
astex_1of6,rmsd106-opt,513.893
astex_1of6,rmsd107-opt,512.41
astex_1of6,rmsd135-opt,511.9
astex_1of6,rmsd142-opt,512.649
astex_1of6,rmsd143-opt,510.856
astex_1oq5,rmsd1-opt,1921.504
astex_1oq5,rmsd2-opt,1906.791
astex_1oq5,rmsd3-opt,1911.874
astex_1oq5,rmsd4-opt,1911.047
astex_1oq5,rmsd5-opt,1911.984
astex_1oq5,rmsd6-opt,1724.933
astex_1oq5,rmsd7-opt,1917.307
astex_1oq5,rmsd8-opt,1920.797
astex_1owe,rmsd103-opt,1454.363
astex_1owe,rmsd122-opt,1436.402
astex_1owe,rmsd129-opt,1433.6
astex_1owe,rmsd130-opt,1445.276
astex_1owe,rmsd131-opt,1433.879
astex_1owe,rmsd137-opt,1321.542
astex_1owe,rmsd146-opt,1430.339
astex_1owe,rmsd148-opt,1437.293
astex_1owe,rmsd149-opt,1440.639
astex_1owe,rmsd153-opt,1444.257
astex_1oyt,rmsd111-opt,3520.003
astex_1oyt,rmsd124-opt,3508.724
astex_1oyt,rmsd125-opt,3497.896
astex_1oyt,rmsd207-opt,3478.028
astex_1oyt,rmsd214-opt,3340.148
astex_1oyt,rmsd31-opt,3322.519
astex_1oyt,rmsd35-opt,3333.427
astex_1oyt,rmsd42-opt,3310.041
astex_1oyt,rmsd43-opt,3322.871
astex_1oyt,rmsd97-opt,3322.576
astex_1p2y,rmsd11-opt,551.328
astex_1p2y,rmsd12-opt,544.988
astex_1p2y,rmsd1-opt,542.891
astex_1p2y,rmsd3-opt,544.422
astex_1p2y,rmsd4-opt,545.374
astex_1p2y,rmsd5-opt,519.167
astex_1p2y,rmsd6-opt,518.748
astex_1p2y,rmsd7-opt,516.713
astex_1p2y,rmsd8-opt,547.022
astex_1p2y,rmsd9-opt,545.503
astex_1pmn,rmsd121-opt,3969.991
astex_1pmn,rmsd122-opt,3978.706
astex_1pmn,rmsd146-opt,4024.539
astex_1pmn,rmsd179-opt,3976.41
astex_1pmn,rmsd194-opt,4012.137
astex_1pmn,rmsd210-opt,3982.67
astex_1pmn,rmsd53-opt,3940.969
astex_1pmn,rmsd71-opt,3858.299
astex_1pmn,rmsd74-opt,3795.075
astex_1pmn,rmsd90-opt,3853.672
astex_1q1g,rmsd14-opt,1413.907
astex_1q1g,rmsd28-opt,1440.897
astex_1q1g,rmsd30-opt,1384.946
astex_1q1g,rmsd33-opt,1408.458
astex_1q1g,rmsd34-opt,1405.818
astex_1q1g,rmsd37-opt,1448.079
astex_1q1g,rmsd48-opt,1391.375
astex_1q1g,rmsd52-opt,1403.293
astex_1q1g,rmsd57-opt,1405.983
astex_1q1g,rmsd9-opt,1409.985
astex_1r1h,rmsd129-opt,2871.327
astex_1r1h,rmsd150-opt,2870.031
astex_1r1h,rmsd192-opt,2934.454
astex_1r1h,rmsd199-opt,2870.87
astex_1r1h,rmsd22-opt,2860.423
astex_1r1h,rmsd234-opt,2687.652
astex_1r1h,rmsd248-opt,2676.019
astex_1r1h,rmsd44-opt,2864.191
astex_1r1h,rmsd51-opt,2838.389
astex_1r1h,rmsd64-opt,2679.338
astex_1s3v,rmsd117-opt,2744.921
astex_1s3v,rmsd118-opt,2745.913
astex_1s3v,rmsd132-opt,2738.99
astex_1s3v,rmsd133-opt,2735.811
astex_1s3v,rmsd134-opt,2739.376
astex_1s3v,rmsd141-opt,2725.889
astex_1s3v,rmsd142-opt,2719.587
astex_1s3v,rmsd184-opt,2723.259
astex_1s3v,rmsd185-opt,2722.966
astex_1s3v,rmsd248-opt,2734.309
astex_1sj0,rmsd105-opt,4396.928
astex_1sj0,rmsd109-opt,4381.983
astex_1sj0,rmsd116-opt,4329.621
astex_1sj0,rmsd119-opt,4374.798
astex_1sj0,rmsd123-opt,4306.541
astex_1sj0,rmsd124-opt,4360.146
astex_1sj0,rmsd213-opt,4208.641
astex_1sj0,rmsd238-opt,4206.719
astex_1sj0,rmsd60-opt,4197.39
astex_1sj0,rmsd97-opt,4249.277
astex_1t46,rmsd110-opt,5528.796
astex_1t46,rmsd118-opt,5434.671
astex_1t46,rmsd12-opt,4765.149
astex_1t46,rmsd157-opt,5385.855
astex_1t46,rmsd181-opt,4718.578
astex_1t46,rmsd1-opt,5342.836
astex_1t46,rmsd211-opt,4690.189
astex_1t46,rmsd225-opt,4511.062
astex_1t46,rmsd53-opt,5383.409
astex_1t46,rmsd8-opt,5048.113
astex_1tt1,rmsd127-opt,834.812
astex_1tt1,rmsd191-opt,829.724
astex_1tt1,rmsd192-opt,830.791
astex_1tt1,rmsd193-opt,827.329
astex_1tt1,rmsd245-opt,827.91
astex_1tt1,rmsd247-opt,831.873
astex_1tt1,rmsd52-opt,828.732
astex_1tt1,rmsd6-opt,828.492
astex_1tt1,rmsd74-opt,833.442
astex_1tt1,rmsd97-opt,830.661
astex_1uou,rmsd13-opt,858.862
astex_1uou,rmsd20-opt,854.317
astex_1uou,rmsd31-opt,855.847
astex_1uou,rmsd40-opt,853.116
astex_1uou,rmsd46-opt,853.857
astex_1uou,rmsd4-opt,857.716
astex_1uou,rmsd54-opt,857.052
astex_1uou,rmsd65-opt,852.967
astex_1uou,rmsd66-opt,857.772
astex_1uou,rmsd67-opt,852.591
astex_1vcj,rmsd110-opt,2722.68
astex_1vcj,rmsd115-opt,2457.891
astex_1vcj,rmsd13-opt,2695.816
astex_1vcj,rmsd158-opt,2412.516
astex_1vcj,rmsd169-opt,2623.956
astex_1vcj,rmsd176-opt,2393.059
astex_1vcj,rmsd182-opt,2396.056
astex_1vcj,rmsd221-opt,2638.251
astex_1vcj,rmsd65-opt,2600.494
astex_1vcj,rmsd90-opt,2386.986
astex_1y6b,rmsd135-opt,3365.714
astex_1y6b,rmsd175-opt,3367.149
astex_1y6b,rmsd19-opt,3468.947
astex_1y6b,rmsd212-opt,3845.2
astex_1y6b,rmsd33-opt,3268.846
astex_1y6b,rmsd36-opt,3667.431
astex_1y6b,rmsd57-opt,3684.394
astex_1y6b,rmsd61-opt,3751.176
astex_1y6b,rmsd78-opt,3302.051
astex_1y6b,rmsd84-opt,3252.621
astex_1ygc,rmsd10-opt,5104.24
astex_1ygc,rmsd115-opt,4635.292
astex_1ygc,rmsd117-opt,4521.914
astex_1ygc,rmsd124-opt,4501.354
astex_1ygc,rmsd151-opt,4480.574
astex_1ygc,rmsd159-opt,4751.758
astex_1ygc,rmsd203-opt,4897.738
astex_1ygc,rmsd5-opt,4493.372
astex_1ygc,rmsd95-opt,4816.164
astex_1ygc,rmsd97-opt,4193.061
astex_1ywr,rmsd106-opt,4212.768
astex_1ywr,rmsd124-opt,4213.734
astex_1ywr,rmsd129-opt,4217.828
astex_1ywr,rmsd160-opt,3935.757
astex_1ywr,rmsd169-opt,3930.386
astex_1ywr,rmsd16-opt,3949.568
astex_1ywr,rmsd222-opt,4488.484
astex_1ywr,rmsd32-opt,3863.764
astex_1ywr,rmsd59-opt,4996.548
astex_1ywr,rmsd63-opt,4524.543
astex_2bm2,rmsd166-opt,3789.979
astex_2bm2,rmsd183-opt,4137.366
astex_2bm2,rmsd197-opt,3792.256
astex_2bm2,rmsd200-opt,4132.572
astex_2bm2,rmsd205-opt,4126.857
astex_2bm2,rmsd208-opt,3807.069
astex_2bm2,rmsd238-opt,4121.441
astex_2bm2,rmsd249-opt,3781.835
astex_2bm2,rmsd71-opt,3783.18
astex_2bm2,rmsd91-opt,4148.52
omegacsd_ABXBPC,rmsd146-opt,1766.535
omegacsd_ABXBPC,rmsd170-opt,1820.141
omegacsd_ABXBPC,rmsd172-opt,1821.062
omegacsd_ABXBPC,rmsd17-opt,1763.205
omegacsd_ABXBPC,rmsd235-opt,1759.475
omegacsd_ABXBPC,rmsd42-opt,1739.652
omegacsd_ABXBPC,rmsd44-opt,1728.215
omegacsd_ABXBPC,rmsd65-opt,1762.941
omegacsd_ABXBPC,rmsd95-opt,1738.282
omegacsd_ABXBPC,rmsd9-opt,1759.322
omegacsd_AURMIN,rmsd27-opt,1413.11
omegacsd_AURMIN,rmsd31-opt,1418.356
omegacsd_AURMIN,rmsd33-opt,1410.07
omegacsd_AURMIN,rmsd34-opt,1413.13
omegacsd_AURMIN,rmsd35-opt,1400.357
omegacsd_AURMIN,rmsd37-opt,1410.508
omegacsd_AURMIN,rmsd38-opt,1378.464
omegacsd_AURMIN,rmsd39-opt,1372.982
omegacsd_AURMIN,rmsd40-opt,1398.9
omegacsd_AURMIN,rmsd4-opt,1416.665
omegacsd_BAFJEX10,rmsd106-opt,1574.064
omegacsd_BAFJEX10,rmsd109-opt,1571.755
omegacsd_BAFJEX10,rmsd115-opt,1569.4
omegacsd_BAFJEX10,rmsd178-opt,1570.953
omegacsd_BAFJEX10,rmsd189-opt,1576.396
omegacsd_BAFJEX10,rmsd18-opt,1572.305
omegacsd_BAFJEX10,rmsd227-opt,1547.513
omegacsd_BAFJEX10,rmsd229-opt,1535.748
omegacsd_BAFJEX10,rmsd37-opt,1603.31
omegacsd_BAFJEX10,rmsd92-opt,1581.814
omegacsd_BATROD,rmsd102-opt,1134.58
omegacsd_BATROD,rmsd110-opt,1128.089
omegacsd_BATROD,rmsd111-opt,1131.742
omegacsd_BATROD,rmsd138-opt,1130.68
omegacsd_BATROD,rmsd146-opt,1130.223
omegacsd_BATROD,rmsd206-opt,1129.91
omegacsd_BATROD,rmsd34-opt,1128.593
omegacsd_BATROD,rmsd64-opt,1129.836
omegacsd_BATROD,rmsd73-opt,1130.153
omegacsd_BATROD,rmsd86-opt,1130.814
omegacsd_BUSNIM,rmsd19-opt,1475.548
omegacsd_BUSNIM,rmsd20-opt,1472.406
omegacsd_BUSNIM,rmsd27-opt,1466.824
omegacsd_BUSNIM,rmsd28-opt,1466.883
omegacsd_BUSNIM,rmsd29-opt,1470.272
omegacsd_BUSNIM,rmsd31-opt,1369.414
omegacsd_BUSNIM,rmsd35-opt,1446.118
omegacsd_BUSNIM,rmsd36-opt,1452.959
omegacsd_BUSNIM,rmsd42-opt,1435.828
omegacsd_BUSNIM,rmsd6-opt,1491.031
omegacsd_CAGXEN,rmsd10-opt,1020.859
omegacsd_CAGXEN,rmsd11-opt,1016.386
omegacsd_CAGXEN,rmsd12-opt,1025.507
omegacsd_CAGXEN,rmsd13-opt,1020.937
omegacsd_CAGXEN,rmsd14-opt,1019.2
omegacsd_CAGXEN,rmsd15-opt,1020.835
omegacsd_CAGXEN,rmsd18-opt,1019.833
omegacsd_CAGXEN,rmsd36-opt,1023.236
omegacsd_CAGXEN,rmsd37-opt,1021.603
omegacsd_CAGXEN,rmsd5-opt,1019.74
omegacsd_CALLEG,rmsd129-opt,1139.132
omegacsd_CALLEG,rmsd132-opt,1136.007
omegacsd_CALLEG,rmsd139-opt,1136.394
omegacsd_CALLEG,rmsd140-opt,1133.145
omegacsd_CALLEG,rmsd161-opt,1139.558
omegacsd_CALLEG,rmsd187-opt,1137.843
omegacsd_CALLEG,rmsd18-opt,1141.917
omegacsd_CALLEG,rmsd190-opt,1136.453
omegacsd_CALLEG,rmsd197-opt,1139.468
omegacsd_CALLEG,rmsd61-opt,1135.49
omegacsd_CATXIE,rmsd118-opt,1808.594
omegacsd_CATXIE,rmsd129-opt,1813.366
omegacsd_CATXIE,rmsd168-opt,1804.824
omegacsd_CATXIE,rmsd186-opt,1802.709
omegacsd_CATXIE,rmsd213-opt,1832.295
omegacsd_CATXIE,rmsd23-opt,1793.301
omegacsd_CATXIE,rmsd47-opt,1756.532
omegacsd_CATXIE,rmsd71-opt,1747.922
omegacsd_CATXIE,rmsd80-opt,1727.199
omegacsd_CATXIE,rmsd82-opt,1707.597
omegacsd_CIXTOS,rmsd119-opt,1836.182
omegacsd_CIXTOS,rmsd137-opt,1757.755
omegacsd_CIXTOS,rmsd157-opt,1894.839
omegacsd_CIXTOS,rmsd166-opt,1750.324
omegacsd_CIXTOS,rmsd181-opt,1830.178
omegacsd_CIXTOS,rmsd187-opt,1875.273
omegacsd_CIXTOS,rmsd224-opt,1828.327
omegacsd_CIXTOS,rmsd233-opt,1521.633
omegacsd_CIXTOS,rmsd29-opt,1814.945
omegacsd_CIXTOS,rmsd78-opt,1792.864
omegacsd_CMPEPI,rmsd180-opt,1104.15
omegacsd_CMPEPI,rmsd189-opt,1106.263
omegacsd_CMPEPI,rmsd35-opt,1100.04
omegacsd_CMPEPI,rmsd42-opt,1097.673
omegacsd_CMPEPI,rmsd47-opt,1109.919
omegacsd_CMPEPI,rmsd4-opt,1110.117
