mol,geom,seconds
astex_1gm8,rmsd112-opt,430.74
astex_1gm8,rmsd114-opt,461.779
astex_1gm8,rmsd115-opt,463.275
astex_1gm8,rmsd125-opt,446.016
astex_1gm8,rmsd141-opt,431.672
astex_1gm8,rmsd162-opt,440.327
astex_1gm8,rmsd163-opt,422.723
astex_1gm8,rmsd176-opt,418.037
astex_1gm8,rmsd35-opt,429.17
astex_1gm8,rmsd48-opt,423.934
astex_1hnn,rmsd1-opt,56.216
astex_1hnn,rmsd2-opt,58.736
astex_1hnn,rmsd3-opt,63.769
astex_1hnn,rmsd4-opt,58.664
astex_1hnn,rmsd5-opt,63.654
astex_1hnn,rmsd6-opt,63.849
astex_1hnn,rmsd7-opt,63.774
astex_1hnn,rmsd8-opt,63.773
astex_1ia1,rmsd2-opt,105.546
astex_1ia1,rmsd40-opt,102.144
astex_1ia1,rmsd41-opt,101.349
astex_1ia1,rmsd42-opt,102.236
astex_1ia1,rmsd43-opt,100.987
astex_1ia1,rmsd44-opt,103.404
astex_1ia1,rmsd46-opt,104.904
astex_1ia1,rmsd47-opt,103.766
astex_1ia1,rmsd48-opt,100.636
astex_1ia1,rmsd49-opt,102.456
astex_1ig3,rmsd121-opt,189.441
astex_1ig3,rmsd152-opt,183.53
astex_1ig3,rmsd167-opt,182.822
astex_1ig3,rmsd171-opt,188.806
astex_1ig3,rmsd182-opt,245.975
astex_1ig3,rmsd197-opt,183.243
astex_1ig3,rmsd222-opt,186.652
astex_1ig3,rmsd242-opt,190.111
astex_1ig3,rmsd24-opt,248.732
astex_1ig3,rmsd56-opt,183.859
astex_1j3j,rmsd12-opt,88.426
astex_1j3j,rmsd13-opt,87.981
astex_1j3j,rmsd15-opt,87.71
astex_1j3j,rmsd1-opt,87.663
astex_1j3j,rmsd2-opt,88.407
astex_1j3j,rmsd3-opt,87.775
astex_1j3j,rmsd4-opt,88.029
astex_1j3j,rmsd7-opt,88.409
astex_1j3j,rmsd8-opt,87.982
astex_1j3j,rmsd9-opt,88.137
astex_1jd0,rmsd12-opt,44.959
astex_1jd0,rmsd18-opt,44.477
astex_1jd0,rmsd19-opt,44.55
astex_1jd0,rmsd22-opt,43.473
astex_1jd0,rmsd3-opt,44.601
astex_1jd0,rmsd44-opt,44.603
astex_1jd0,rmsd47-opt,44.787
astex_1jd0,rmsd54-opt,44.669
astex_1jd0,rmsd56-opt,44.854
astex_1jd0,rmsd9-opt,44.753
astex_1l7f,rmsd103-opt,200.784
astex_1l7f,rmsd124-opt,191.03
astex_1l7f,rmsd15-opt,211.499
astex_1l7f,rmsd171-opt,198.232
astex_1l7f,rmsd197-opt,204.113
astex_1l7f,rmsd215-opt,201.975
astex_1l7f,rmsd246-opt,206.042
astex_1l7f,rmsd76-opt,214.357
astex_1l7f,rmsd82-opt,213.173
astex_1l7f,rmsd97-opt,204.844
astex_1lpz,rmsd111-opt,293.595
astex_1lpz,rmsd112-opt,294.886
astex_1lpz,rmsd119-opt,294.809
astex_1lpz,rmsd11-opt,295.439
astex_1lpz,rmsd120-opt,294.725
astex_1lpz,rmsd122-opt,294.379
astex_1lpz,rmsd200-opt,287.066
astex_1lpz,rmsd204-opt,285.747
astex_1lpz,rmsd221-opt,286.465
astex_1lpz,rmsd242-opt,284.385
astex_1mmv,rmsd113-opt,69.183
astex_1mmv,rmsd137-opt,67.841
astex_1mmv,rmsd138-opt,70.003
astex_1mmv,rmsd146-opt,62.094
astex_1mmv,rmsd15-opt,68.425
astex_1mmv,rmsd172-opt,69.946
astex_1mmv,rmsd22-opt,69.504
astex_1mmv,rmsd44-opt,69.795
astex_1mmv,rmsd50-opt,68.69
astex_1mmv,rmsd91-opt,67.547
astex_1mzc,rmsd10-opt,340.766
astex_1mzc,rmsd118-opt,383.493
astex_1mzc,rmsd145-opt,386.701
astex_1mzc,rmsd14-opt,378.322
astex_1mzc,rmsd152-opt,375.853
astex_1mzc,rmsd201-opt,337.393
astex_1mzc,rmsd202-opt,361.208
astex_1mzc,rmsd221-opt,339.595
astex_1mzc,rmsd22-opt,363.118
astex_1mzc,rmsd250-opt,335.489
astex_1n1m,rmsd13-opt,52.371
astex_1n1m,rmsd20-opt,52.424
astex_1n1m,rmsd29-opt,52.751
astex_1n1m,rmsd34-opt,52.522
astex_1n1m,rmsd37-opt,52.413
astex_1n1m,rmsd38-opt,52.456
astex_1n1m,rmsd39-opt,52.419
astex_1n1m,rmsd40-opt,52.458
astex_1n1m,rmsd42-opt,52.447
astex_1n1m,rmsd5-opt,52.645
astex_1of6,rmsd100-opt,44.26
astex_1of6,rmsd102-opt,44.297
astex_1of6,rmsd103-opt,44.169
astex_1of6,rmsd104-opt,44.381
astex_1of6,rmsd105-opt,44.138
astex_1of6,rmsd106-opt,44.298
astex_1of6,rmsd107-opt,44.234
astex_1of6,rmsd135-opt,44.127
astex_1of6,rmsd142-opt,44.163
astex_1of6,rmsd143-opt,44.105
astex_1oq5,rmsd1-opt,141.024
astex_1oq5,rmsd2-opt,133.179
