mol,geom,seconds
astex_1gm8,rmsd162-opt,0.179188967
astex_1gm8,rmsd163-opt,0.179237127
astex_1gm8,rmsd176-opt,0.179096699
astex_1gm8,rmsd35-opt,0.179198503
astex_1gm8,rmsd48-opt,0.178943872
astex_1hnn,rmsd6-opt,0.179213762
astex_1hnn,rmsd7-opt,0.179213762
astex_1hnn,rmsd8-opt,0.179154634
astex_1ia1,rmsd44-opt,0.179132938
astex_1ia1,rmsd46-opt,0.179346323
astex_1ia1,rmsd47-opt,0.179559231
astex_1ia1,rmsd48-opt,0.179120779
astex_1ia1,rmsd49-opt,0.179359436
astex_1ig3,rmsd197-opt,0.17914629
astex_1ig3,rmsd222-opt,0.179029942
astex_1ig3,rmsd24-opt,0.179108143
astex_1ig3,rmsd242-opt,0.178970098
astex_1ig3,rmsd56-opt,0.178892374
astex_1j3j,rmsd3-opt,0.179056406
astex_1j3j,rmsd4-opt,0.179355145
astex_1j3j,rmsd7-opt,0.179527998
astex_1j3j,rmsd8-opt,0.179248571
astex_1j3j,rmsd9-opt,0.179448605
astex_1jd0,rmsd44-opt,0.179558516
astex_1jd0,rmsd47-opt,0.179050207
astex_1jd0,rmsd54-opt,0.179233551
astex_1jd0,rmsd56-opt,0.179685593
astex_1jd0,rmsd9-opt,0.179207802
astex_1l7f,rmsd215-opt,0.179267406
astex_1l7f,rmsd246-opt,0.179321289
astex_1l7f,rmsd76-opt,0.178988695
astex_1mmv,rmsd172-opt,0.17904377
astex_1mmv,rmsd22-opt,0.179135323
astex_1mmv,rmsd44-opt,0.179204226
astex_1mmv,rmsd50-opt,0.179223061
astex_1mmv,rmsd91-opt,0.179386377
astex_1n1m,rmsd38-opt,0.17936635
astex_1n1m,rmsd39-opt,0.179093361
astex_1n1m,rmsd40-opt,0.17915082
astex_1n1m,rmsd42-opt,0.179344654
astex_1n1m,rmsd5-opt,0.179145098
astex_1of6,rmsd106-opt,0.179220676
astex_1of6,rmsd107-opt,0.179591656
astex_1of6,rmsd135-opt,0.179224014
astex_1of6,rmsd142-opt,0.180087328
astex_1of6,rmsd143-opt,0.179570436
astex_1oq5,rmsd6-opt,0.179228306
astex_1oq5,rmsd7-opt,0.17954874
astex_1oq5,rmsd8-opt,0.179733515
astex_1owe,rmsd137-opt,0.179593086
astex_1owe,rmsd146-opt,0.179451466
astex_1owe,rmsd148-opt,0.179312468
astex_1owe,rmsd149-opt,0.179206133
astex_1owe,rmsd153-opt,0.17942071
astex_1oyt,rmsd31-opt,0.17907548
astex_1p2y,rmsd5-opt,0.179185152
astex_1p2y,rmsd6-opt,0.179275036
astex_1p2y,rmsd7-opt,0.179453611
astex_1p2y,rmsd8-opt,0.179350853
astex_1p2y,rmsd9-opt,0.179483891
astex_1q1g,rmsd37-opt,0.179251671
astex_1q1g,rmsd48-opt,0.179862976
astex_1q1g,rmsd52-opt,0.179008007
astex_1q1g,rmsd57-opt,0.179059744
astex_1q1g,rmsd9-opt,0.179257393
astex_1r1h,rmsd234-opt,0.179039001
astex_1r1h,rmsd248-opt,0.179459095
astex_1s3v,rmsd141-opt,0.178974152
astex_1vcj,rmsd176-opt,0.179451466
astex_1y6b,rmsd36-opt,0.17967391
omegacsd_ABXBPC,rmsd42-opt,0.179616928
omegacsd_ABXBPC,rmsd44-opt,0.179470062
omegacsd_ABXBPC,rmsd65-opt,0.179022312
omegacsd_ABXBPC,rmsd9-opt,0.179187775
omegacsd_ABXBPC,rmsd95-opt,0.179311752
omegacsd_AURMIN,rmsd37-opt,0.179130077
omegacsd_AURMIN,rmsd38-opt,0.179274082
omegacsd_AURMIN,rmsd39-opt,0.179339409
omegacsd_AURMIN,rmsd4-opt,0.180586576
omegacsd_AURMIN,rmsd40-opt,0.179361582
omegacsd_BAFJEX10,rmsd189-opt,0.179091692
omegacsd_BAFJEX10,rmsd227-opt,0.179033279
omegacsd_BAFJEX10,rmsd229-opt,0.179346323
omegacsd_BAFJEX10,rmsd37-opt,0.179215193
omegacsd_BAFJEX10,rmsd92-opt,0.179221869
omegacsd_BATROD,rmsd206-opt,0.179454565
omegacsd_BATROD,rmsd34-opt,0.179149151
omegacsd_BATROD,rmsd64-opt,0.17920804
omegacsd_BATROD,rmsd73-opt,0.179159164
omegacsd_BATROD,rmsd86-opt,0.179412603
omegacsd_BUSNIM,rmsd31-opt,0.17939496
omegacsd_BUSNIM,rmsd35-opt,0.179404974
omegacsd_BUSNIM,rmsd36-opt,0.17941308
omegacsd_BUSNIM,rmsd42-opt,0.17913723
omegacsd_BUSNIM,rmsd6-opt,0.179087162
omegacsd_CAGXEN,rmsd15-opt,0.179220676
omegacsd_CAGXEN,rmsd18-opt,0.179299116
omegacsd_CAGXEN,rmsd36-opt,0.179341316
omegacsd_CAGXEN,rmsd37-opt,0.179354668
omegacsd_CAGXEN,rmsd5-opt,0.179182768
omegacsd_CALLEG,rmsd18-opt,0.179286003
omegacsd_CALLEG,rmsd187-opt,0.179307699
omegacsd_CALLEG,rmsd190-opt,0.179259777
omegacsd_CALLEG,rmsd197-opt,0.179422855
omegacsd_CALLEG,rmsd61-opt,0.180005312
omegacsd_CATXIE,rmsd23-opt,0.179294109
omegacsd_CATXIE,rmsd47-opt,0.178987265
omegacsd_CATXIE,rmsd71-opt,0.179115295
omegacsd_CATXIE,rmsd80-opt,0.179251432
omegacsd_CATXIE,rmsd82-opt,0.179138899
omegacsd_CIXTOS,rmsd187-opt,0.178966999
omegacsd_CIXTOS,rmsd224-opt,0.179182291
omegacsd_CIXTOS,rmsd233-opt,0.179273129
omegacsd_CIXTOS,rmsd29-opt,0.180042267
omegacsd_CIXTOS,rmsd78-opt,0.179257154
omegacsd_CMPEPI,rmsd47-opt,0.179037333
omegacsd_CMPEPI,rmsd51-opt,0.179188728
omegacsd_CMPEPI,rmsd91-opt,0.179346085
omegacsd_CMPEPI,rmsd96-opt,0.179472923
omegacsd_CMPEPI,rmsd97-opt,0.179486036
omegacsd_CYCLIZ10,rmsd34-opt,0.178975344
omegacsd_CYCLIZ10,rmsd35-opt,0.179070234
omegacsd_CYCLIZ10,rmsd37-opt,0.179835558
omegacsd_CYCLIZ10,rmsd38-opt,0.179288864
omegacsd_DIPJAN10,rmsd203-opt,0.179323912
omegacsd_DIPJAN10,rmsd215-opt,0.179152489
omegacsd_DIPJAN10,rmsd238-opt,0.179459333
omegacsd_DIPJAN10,rmsd56-opt,0.179033995
omegacsd_DIPJAN10,rmsd61-opt,0.179395676
omegacsd_DIZREJ,rmsd26-opt,0.179712534
omegacsd_DIZREJ,rmsd27-opt,0.179117203
omegacsd_DIZREJ,rmsd28-opt,0.180145502
omegacsd_DIZREJ,rmsd29-opt,0.179741144
omegacsd_DIZREJ,rmsd4-opt,0.179311752
omegacsd_DIZWAK,rmsd116-opt,0.179035902
omegacsd_DIZWAK,rmsd121-opt,0.179038286
omegacsd_DIZWAK,rmsd132-opt,0.179132938
omegacsd_DIZWAK,rmsd133-opt,0.179067612
omegacsd_DIZWAK,rmsd245-opt,0.178950787
omegacsd_DUZRAR,rmsd234-opt,0.17910862
omegacsd_DUZRAR,rmsd250-opt,0.179175615
omegacsd_FAJVAN,rmsd247-opt,0.179193258
omegacsd_FAJVAN,rmsd7-opt,0.179182529
omegacsd_FAJVAN,rmsd80-opt,0.179035187
omegacsd_FAJVAN,rmsd9-opt,0.179102898
omegacsd_FAJVAN,rmsd98-opt,0.179312944
omegacsd_FEKYEZ,rmsd15-opt,0.179143906
omegacsd_FEKYEZ,rmsd172-opt,0.179454088
omegacsd_FEKYEZ,rmsd175-opt,0.179077387
omegacsd_FEKYEZ,rmsd214-opt,0.179879427
omegacsd_FEKYEZ,rmsd238-opt,0.179927826
omegacsd_FEVZUB,rmsd18-opt,0.179215908
omegacsd_FEVZUB,rmsd24-opt,0.17924428
omegacsd_FEVZUB,rmsd25-opt,0.179327965
omegacsd_FEVZUB,rmsd32-opt,0.179221869
omegacsd_FEVZUB,rmsd33-opt,0.179216146
omegacsd_FOLYIO,rmsd233-opt,0.179148912
omegacsd_FOLYIO,rmsd5-opt,0.17939043
omegacsd_FOLYIO,rmsd62-opt,0.179065943
omegacsd_FOPMIG,rmsd27-opt,0.179261208
omegacsd_FOPMIG,rmsd28-opt,0.179197073
omegacsd_FOPMIG,rmsd29-opt,0.179266691
omegacsd_FOPMIG,rmsd31-opt,0.179489851
omegacsd_FOPMIG,rmsd32-opt,0.17915082
