mol,geom,seconds
astex_1gm8,rmsd162-opt,0.145197868
astex_1gm8,rmsd163-opt,0.144624472
astex_1gm8,rmsd176-opt,0.145306587
astex_1gm8,rmsd35-opt,0.144582033
astex_1gm8,rmsd48-opt,0.144076347
astex_1hnn,rmsd6-opt,0.144580364
astex_1hnn,rmsd7-opt,0.145004272
astex_1hnn,rmsd8-opt,0.144494772
astex_1ia1,rmsd44-opt,0.144517899
astex_1ia1,rmsd46-opt,0.144784927
astex_1ia1,rmsd47-opt,0.143984079
astex_1ia1,rmsd48-opt,0.1447227
astex_1ia1,rmsd49-opt,0.143975973
astex_1ig3,rmsd197-opt,0.144611835
astex_1ig3,rmsd222-opt,0.144441366
astex_1ig3,rmsd24-opt,0.143666506
astex_1ig3,rmsd242-opt,0.144959688
astex_1ig3,rmsd56-opt,0.144380808
astex_1j3j,rmsd3-opt,0.143964529
astex_1j3j,rmsd4-opt,0.144373655
astex_1j3j,rmsd7-opt,0.143882275
astex_1j3j,rmsd8-opt,0.14408946
astex_1j3j,rmsd9-opt,0.145087481
astex_1jd0,rmsd44-opt,0.144849539
astex_1jd0,rmsd47-opt,0.145303726
astex_1jd0,rmsd54-opt,0.144678831
astex_1jd0,rmsd56-opt,0.146936655
astex_1jd0,rmsd9-opt,0.145380735
astex_1l7f,rmsd215-opt,0.144273043
astex_1l7f,rmsd246-opt,0.144771814
astex_1l7f,rmsd76-opt,0.143687963
astex_1mmv,rmsd172-opt,0.144919157
astex_1mmv,rmsd22-opt,0.144659281
astex_1mmv,rmsd44-opt,0.143954039
astex_1mmv,rmsd50-opt,0.144731283
astex_1mmv,rmsd91-opt,0.143565416
astex_1n1m,rmsd38-opt,0.144499302
astex_1n1m,rmsd39-opt,0.144515514
astex_1n1m,rmsd40-opt,0.144616365
astex_1n1m,rmsd42-opt,0.145278454
astex_1n1m,rmsd5-opt,0.144216061
astex_1of6,rmsd106-opt,0.145035744
astex_1of6,rmsd107-opt,0.14464736
astex_1of6,rmsd135-opt,0.144014597
astex_1of6,rmsd142-opt,0.144483566
astex_1of6,rmsd143-opt,0.144423723
astex_1oq5,rmsd6-opt,0.144870758
astex_1oq5,rmsd7-opt,0.145097733
astex_1oq5,rmsd8-opt,0.143750191
astex_1owe,rmsd137-opt,0.144812584
astex_1owe,rmsd146-opt,0.144328117
astex_1owe,rmsd148-opt,0.146765709
astex_1owe,rmsd149-opt,0.144611835
astex_1owe,rmsd153-opt,0.144942999
astex_1oyt,rmsd31-opt,0.143462181
astex_1p2y,rmsd5-opt,0.144523382
astex_1p2y,rmsd6-opt,0.144257307
astex_1p2y,rmsd7-opt,0.144157648
astex_1p2y,rmsd8-opt,0.145081758
astex_1p2y,rmsd9-opt,0.144287825
astex_1q1g,rmsd37-opt,0.145035982
astex_1q1g,rmsd48-opt,0.144757271
astex_1q1g,rmsd52-opt,0.144951344
astex_1q1g,rmsd57-opt,0.145120621
astex_1q1g,rmsd9-opt,0.143887043
astex_1r1h,rmsd234-opt,0.145222902
astex_1r1h,rmsd248-opt,0.144751549
astex_1s3v,rmsd141-opt,0.143620491
astex_1vcj,rmsd176-opt,0.144760132
astex_1y6b,rmsd36-opt,0.144724369
omegacsd_ABXBPC,rmsd42-opt,0.143761635
omegacsd_ABXBPC,rmsd44-opt,0.144633055
omegacsd_ABXBPC,rmsd65-opt,0.144096136
omegacsd_ABXBPC,rmsd9-opt,0.14463973
omegacsd_ABXBPC,rmsd95-opt,0.145628214
omegacsd_AURMIN,rmsd37-opt,0.144230127
omegacsd_AURMIN,rmsd38-opt,0.14438796
omegacsd_AURMIN,rmsd39-opt,0.144247293
omegacsd_AURMIN,rmsd4-opt,0.143244028
omegacsd_AURMIN,rmsd40-opt,0.144432783
omegacsd_BAFJEX10,rmsd189-opt,0.143897533
omegacsd_BAFJEX10,rmsd227-opt,0.144271374
omegacsd_BAFJEX10,rmsd229-opt,0.144834995
omegacsd_BAFJEX10,rmsd37-opt,0.144560814
omegacsd_BAFJEX10,rmsd92-opt,0.145250797
omegacsd_BATROD,rmsd206-opt,0.144794464
omegacsd_BATROD,rmsd34-opt,0.143678427
omegacsd_BATROD,rmsd64-opt,0.145141363
omegacsd_BATROD,rmsd73-opt,0.145229578
omegacsd_BATROD,rmsd86-opt,0.143679142
omegacsd_BUSNIM,rmsd31-opt,0.144745827
omegacsd_BUSNIM,rmsd35-opt,0.144851208
omegacsd_BUSNIM,rmsd36-opt,0.143884182
omegacsd_BUSNIM,rmsd42-opt,0.144937515
omegacsd_BUSNIM,rmsd6-opt,0.144120216
omegacsd_CAGXEN,rmsd15-opt,0.144748449
omegacsd_CAGXEN,rmsd18-opt,0.144450188
omegacsd_CAGXEN,rmsd36-opt,0.144160271
omegacsd_CAGXEN,rmsd37-opt,0.144683123
omegacsd_CAGXEN,rmsd5-opt,0.144102573
omegacsd_CALLEG,rmsd18-opt,0.144227028
omegacsd_CALLEG,rmsd187-opt,0.144874573
omegacsd_CALLEG,rmsd190-opt,0.144790173
omegacsd_CALLEG,rmsd197-opt,0.144711494
omegacsd_CALLEG,rmsd61-opt,0.143723011
omegacsd_CATXIE,rmsd23-opt,0.144490242
omegacsd_CATXIE,rmsd47-opt,0.144490719
omegacsd_CATXIE,rmsd71-opt,0.144011259
omegacsd_CATXIE,rmsd80-opt,0.145103931
omegacsd_CATXIE,rmsd82-opt,0.145080566
omegacsd_CIXTOS,rmsd187-opt,0.144545794
omegacsd_CIXTOS,rmsd224-opt,0.144661427
omegacsd_CIXTOS,rmsd233-opt,0.144627333
omegacsd_CIXTOS,rmsd29-opt,0.145419359
omegacsd_CIXTOS,rmsd78-opt,0.144698381
omegacsd_CMPEPI,rmsd47-opt,0.144307852
omegacsd_CMPEPI,rmsd51-opt,0.144741058
omegacsd_CMPEPI,rmsd91-opt,0.144198179
omegacsd_CMPEPI,rmsd96-opt,0.144505978
omegacsd_CMPEPI,rmsd97-opt,0.143864393
omegacsd_CYCLIZ10,rmsd34-opt,0.145294666
omegacsd_CYCLIZ10,rmsd35-opt,0.144425392
omegacsd_CYCLIZ10,rmsd37-opt,0.144510984
omegacsd_CYCLIZ10,rmsd38-opt,0.145185471
omegacsd_DIPJAN10,rmsd203-opt,0.144118309
omegacsd_DIPJAN10,rmsd215-opt,0.145521402
omegacsd_DIPJAN10,rmsd238-opt,0.144891739
omegacsd_DIPJAN10,rmsd56-opt,0.144539833
omegacsd_DIPJAN10,rmsd61-opt,0.145412683
omegacsd_DIZREJ,rmsd26-opt,0.144553661
omegacsd_DIZREJ,rmsd27-opt,0.144650221
omegacsd_DIZREJ,rmsd28-opt,0.14459157
omegacsd_DIZREJ,rmsd29-opt,0.145451307
omegacsd_DIZREJ,rmsd4-opt,0.14501977
omegacsd_DIZWAK,rmsd116-opt,0.144052029
omegacsd_DIZWAK,rmsd121-opt,0.144278288
omegacsd_DIZWAK,rmsd132-opt,0.144969225
omegacsd_DIZWAK,rmsd133-opt,0.143781185
omegacsd_DIZWAK,rmsd245-opt,0.145633936
omegacsd_DUZRAR,rmsd234-opt,0.144890308
omegacsd_DUZRAR,rmsd250-opt,0.144646168
omegacsd_FAJVAN,rmsd247-opt,0.14490366
omegacsd_FAJVAN,rmsd7-opt,0.143740892
omegacsd_FAJVAN,rmsd80-opt,0.144670248
omegacsd_FAJVAN,rmsd9-opt,0.144809723
omegacsd_FAJVAN,rmsd98-opt,0.143896103
omegacsd_FEKYEZ,rmsd15-opt,0.14464879
omegacsd_FEKYEZ,rmsd172-opt,0.145666838
omegacsd_FEKYEZ,rmsd175-opt,0.144446611
omegacsd_FEKYEZ,rmsd214-opt,0.145229101
omegacsd_FEKYEZ,rmsd238-opt,0.144699335
omegacsd_FEVZUB,rmsd18-opt,0.144256115
omegacsd_FEVZUB,rmsd24-opt,0.144956589
omegacsd_FEVZUB,rmsd25-opt,0.14413929
omegacsd_FEVZUB,rmsd32-opt,0.144975424
omegacsd_FEVZUB,rmsd33-opt,0.14500308
omegacsd_FOLYIO,rmsd233-opt,0.144765139
omegacsd_FOLYIO,rmsd5-opt,0.146901131
omegacsd_FOLYIO,rmsd62-opt,0.144418001
omegacsd_FOPMIG,rmsd27-opt,0.144176483
omegacsd_FOPMIG,rmsd28-opt,0.145102262
omegacsd_FOPMIG,rmsd29-opt,0.14559412
omegacsd_FOPMIG,rmsd31-opt,0.144148588
omegacsd_FOPMIG,rmsd32-opt,0.144787312
omegacsd_FUPFIF,rmsd58-opt,0.144353867
omegacsd_FUPFIF,rmsd59-opt,0.144756794
omegacsd_FUPFIF,rmsd60-opt,0.144381046
omegacsd_FUPFIF,rmsd61-opt,0.145000458
omegacsd_FUPFIF,rmsd7-opt,0.145325899
omegacsd_GALMOV,rmsd113-opt,0.144099236
omegacsd_GALMOV,rmsd114-opt,0.144872904
omegacsd_GALMOV,rmsd154-opt,0.145758867
omegacsd_GALMOV,rmsd156-opt,0.144552231
omegacsd_GEKWAU,rmsd238-opt,0.145720243
omegacsd_GEKWAU,rmsd39-opt,0.143805027
omegacsd_GEKWAU,rmsd67-opt,0.144688129
omegacsd_GEKWAU,rmsd79-opt,0.143975973
omegacsd_GEKWAU,rmsd85-opt,0.144462109
omegacsd_HEPYAC,rmsd193-opt,0.14468646
omegacsd_HEPYAC,rmsd247-opt,0.143565178
omegacsd_HEVJAT,rmsd107-opt,0.14210248
omegacsd_HEVJAT,rmsd109-opt,0.144966602
omegacsd_HEVJAT,rmsd148-opt,0.143961191
omegacsd_HEVJAT,rmsd153-opt,0.144306421
omegacsd_HEVJAT,rmsd158-opt,0.14440465
omegacsd_JUBJOF,rmsd17-opt,0.14434576
omegacsd_JUBJOF,rmsd185-opt,0.144974232
omegacsd_JUBJOF,rmsd192-opt,0.144078493
omegacsd_JUBJOF,rmsd198-opt,0.144565344
omegacsd_JUBJOF,rmsd233-opt,0.144392252
omegacsd_KEMHOZ,rmsd21-opt,0.144513607
omegacsd_KEMHOZ,rmsd22-opt,0.145128012
omegacsd_KEMHOZ,rmsd23-opt,0.144146442
omegacsd_KEMHOZ,rmsd24-opt,0.143950462
omegacsd_PEPHEX,rmsd19-opt,0.145157814
omegacsd_PEPHEX,rmsd190-opt,0.144021034
omegacsd_PEPHEX,rmsd20-opt,0.144953728
omegacsd_PEPHEX,rmsd90-opt,0.145904779
omegacsd_PONXUL,rmsd249-opt,0.144574642
omegacsd_PONXUL,rmsd30-opt,0.145318747
omegacsd_PONXUL,rmsd49-opt,0.144145489
omegacsd_PONXUL,rmsd71-opt,0.144618034
