mol,geom,seconds
astex_1gm8,rmsd162-opt,0.140691042
astex_1gm8,rmsd163-opt,0.140936852
astex_1gm8,rmsd176-opt,0.141036034
astex_1gm8,rmsd35-opt,0.140448093
astex_1gm8,rmsd48-opt,0.140869379
astex_1hnn,rmsd6-opt,0.141011
astex_1hnn,rmsd7-opt,0.14052248
astex_1hnn,rmsd8-opt,0.141114712
astex_1ia1,rmsd44-opt,0.140825272
astex_1ia1,rmsd46-opt,0.140533447
astex_1ia1,rmsd47-opt,0.141314983
astex_1ia1,rmsd48-opt,0.140507936
astex_1ia1,rmsd49-opt,0.142001629
astex_1ig3,rmsd197-opt,0.141546965
astex_1ig3,rmsd222-opt,0.141060114
astex_1ig3,rmsd24-opt,0.141575813
astex_1ig3,rmsd242-opt,0.140875578
astex_1ig3,rmsd56-opt,0.141588211
astex_1j3j,rmsd3-opt,0.140748501
astex_1j3j,rmsd4-opt,0.140741348
astex_1j3j,rmsd7-opt,0.141610622
astex_1j3j,rmsd8-opt,0.140510321
astex_1j3j,rmsd9-opt,0.141004801
astex_1jd0,rmsd44-opt,0.140818834
astex_1jd0,rmsd47-opt,0.14105463
astex_1jd0,rmsd54-opt,0.141028404
astex_1jd0,rmsd56-opt,0.141534567
astex_1jd0,rmsd9-opt,0.141634226
astex_1l7f,rmsd215-opt,0.141396523
astex_1l7f,rmsd246-opt,0.14140892
astex_1l7f,rmsd76-opt,0.141649246
astex_1mmv,rmsd172-opt,0.140641928
astex_1mmv,rmsd22-opt,0.14170599
astex_1mmv,rmsd44-opt,0.140438795
astex_1mmv,rmsd50-opt,0.141294241
astex_1mmv,rmsd91-opt,0.141030312
astex_1n1m,rmsd38-opt,0.140664339
astex_1n1m,rmsd39-opt,0.141240358
astex_1n1m,rmsd40-opt,0.141235113
astex_1n1m,rmsd42-opt,0.140857935
astex_1n1m,rmsd5-opt,0.140838861
astex_1of6,rmsd106-opt,0.14104104
astex_1of6,rmsd107-opt,0.140643597
astex_1of6,rmsd135-opt,0.140914202
astex_1of6,rmsd142-opt,0.141371965
astex_1of6,rmsd143-opt,0.140969753
astex_1oq5,rmsd6-opt,0.140433073
astex_1oq5,rmsd7-opt,0.141849756
astex_1oq5,rmsd8-opt,0.140496969
astex_1owe,rmsd137-opt,0.141221762
astex_1owe,rmsd146-opt,0.140597582
astex_1owe,rmsd148-opt,0.141042948
astex_1owe,rmsd149-opt,0.141217232
astex_1owe,rmsd153-opt,0.140443563
astex_1oyt,rmsd31-opt,0.141789198
astex_1p2y,rmsd5-opt,0.141070604
astex_1p2y,rmsd6-opt,0.141328573
astex_1p2y,rmsd7-opt,0.141289711
astex_1p2y,rmsd8-opt,0.140891075
astex_1p2y,rmsd9-opt,0.140971422
astex_1q1g,rmsd37-opt,0.140553236
astex_1q1g,rmsd48-opt,0.141597986
astex_1q1g,rmsd52-opt,0.140735626
astex_1q1g,rmsd57-opt,0.141348124
astex_1q1g,rmsd9-opt,0.142054081
astex_1r1h,rmsd234-opt,0.141286135
astex_1r1h,rmsd248-opt,0.140981436
astex_1s3v,rmsd141-opt,0.141160727
astex_1vcj,rmsd176-opt,0.14135766
astex_1y6b,rmsd36-opt,0.140734911
omegacsd_ABXBPC,rmsd42-opt,0.141489983
omegacsd_ABXBPC,rmsd44-opt,0.141535282
omegacsd_ABXBPC,rmsd65-opt,0.140626669
omegacsd_ABXBPC,rmsd9-opt,0.141655922
omegacsd_ABXBPC,rmsd95-opt,0.140868425
omegacsd_AURMIN,rmsd37-opt,0.141177416
omegacsd_AURMIN,rmsd38-opt,0.141402245
omegacsd_AURMIN,rmsd39-opt,0.140841961
omegacsd_AURMIN,rmsd4-opt,0.141336203
omegacsd_AURMIN,rmsd40-opt,0.140534401
omegacsd_BAFJEX10,rmsd189-opt,0.141641378
omegacsd_BAFJEX10,rmsd227-opt,0.140721321
omegacsd_BAFJEX10,rmsd229-opt,0.142194986
omegacsd_BAFJEX10,rmsd37-opt,0.141395569
omegacsd_BAFJEX10,rmsd92-opt,0.141222239
omegacsd_BATROD,rmsd206-opt,0.141499043
omegacsd_BATROD,rmsd34-opt,0.140581369
omegacsd_BATROD,rmsd64-opt,0.141485691
omegacsd_BATROD,rmsd73-opt,0.140844822
omegacsd_BATROD,rmsd86-opt,0.141197205
omegacsd_BUSNIM,rmsd31-opt,0.140647888
omegacsd_BUSNIM,rmsd35-opt,0.141166925
omegacsd_BUSNIM,rmsd36-opt,0.141518593
omegacsd_BUSNIM,rmsd42-opt,0.140830994
omegacsd_BUSNIM,rmsd6-opt,0.141340017
