CHG_jobs/astex_1gm8/rmsd112-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.018 sec
CHG_jobs/astex_1gm8/rmsd114-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1gm8/rmsd115-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1gm8/rmsd125-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1gm8/rmsd141-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1gm8/rmsd162-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.017 sec
CHG_jobs/astex_1gm8/rmsd163-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.017 sec
CHG_jobs/astex_1gm8/rmsd176-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1gm8/rmsd35-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1gm8/rmsd48-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1hnn/rmsd1-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1hnn/rmsd2-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1hnn/rmsd3-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.012 sec
CHG_jobs/astex_1hnn/rmsd4-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.012 sec
CHG_jobs/astex_1hnn/rmsd5-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.012 sec
CHG_jobs/astex_1hnn/rmsd6-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.012 sec
CHG_jobs/astex_1hnn/rmsd7-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1hnn/rmsd8-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1ia1/rmsd2-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1ia1/rmsd40-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1ia1/rmsd41-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1ia1/rmsd42-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1ia1/rmsd43-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1ia1/rmsd44-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1ia1/rmsd46-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1ia1/rmsd47-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1ia1/rmsd48-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1ia1/rmsd49-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.012 sec
CHG_jobs/astex_1ig3/rmsd121-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1ig3/rmsd152-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1ig3/rmsd167-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1ig3/rmsd171-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
