mol,geom,seconds
astex_1gm8,rmsd112-opt,25762.362
astex_1gm8,rmsd114-opt,26643.368
astex_1gm8,rmsd115-opt,24452.53
astex_1gm8,rmsd125-opt,25778.204
astex_1gm8,rmsd141-opt,25867.109
astex_1gm8,rmsd162-opt,26124.915
astex_1gm8,rmsd163-opt,25613.883
astex_1gm8,rmsd176-opt,25120.31
astex_1gm8,rmsd35-opt,23475.044
astex_1gm8,rmsd48-opt,25453.742
astex_1hnn,rmsd1-opt,10643.657
astex_1hnn,rmsd2-opt,10710.013
astex_1hnn,rmsd3-opt,10712.571
astex_1hnn,rmsd4-opt,10703.925
astex_1hnn,rmsd5-opt,10177.966
astex_1hnn,rmsd6-opt,10000.514
astex_1hnn,rmsd7-opt,10117.61
astex_1hnn,rmsd8-opt,10227.607
astex_1ia1,rmsd2-opt,17153.168
astex_1ia1,rmsd40-opt,17653.404
astex_1ia1,rmsd41-opt,17578.221
astex_1ia1,rmsd42-opt,17034.139
astex_1ia1,rmsd43-opt,16850.461
astex_1ia1,rmsd44-opt,17053.38
astex_1ia1,rmsd46-opt,17243.075
astex_1ia1,rmsd47-opt,17386.065
astex_1ia1,rmsd48-opt,17893.839
astex_1ia1,rmsd49-opt,17665.885
astex_1ig3,rmsd121-opt,13748.342
astex_1ig3,rmsd152-opt,13052.124
astex_1ig3,rmsd167-opt,13482.224
astex_1ig3,rmsd171-opt,13333.219
astex_1ig3,rmsd182-opt,12946.81
astex_1ig3,rmsd197-opt,13188.271
astex_1ig3,rmsd222-opt,13107.317
astex_1ig3,rmsd242-opt,13415.308
astex_1ig3,rmsd24-opt,12985.584
astex_1ig3,rmsd56-opt,13351.357
astex_1j3j,rmsd12-opt,14934.546
astex_1j3j,rmsd13-opt,14868.479
astex_1j3j,rmsd15-opt,14771.305
astex_1j3j,rmsd1-opt,14791.932
astex_1j3j,rmsd2-opt,15030.946
astex_1j3j,rmsd3-opt,14528.603
astex_1j3j,rmsd4-opt,14954.121
astex_1j3j,rmsd7-opt,14882.433
astex_1j3j,rmsd8-opt,14779.176
astex_1j3j,rmsd9-opt,14736.062
astex_1jd0,rmsd12-opt,6454.757
astex_1jd0,rmsd18-opt,6525.099
astex_1jd0,rmsd19-opt,6472.372
astex_1jd0,rmsd22-opt,6560.6
astex_1jd0,rmsd3-opt,6535.493
astex_1jd0,rmsd44-opt,6549.401
astex_1jd0,rmsd47-opt,6513.509
astex_1jd0,rmsd54-opt,6540.401
astex_1jd0,rmsd56-opt,6460.989
astex_1jd0,rmsd9-opt,6548.1
astex_1l7f,rmsd103-opt,28054.029
astex_1l7f,rmsd124-opt,29535.84
astex_1l7f,rmsd15-opt,28586.998
astex_1l7f,rmsd171-opt,31708.337
astex_1l7f,rmsd197-opt,31549.773
astex_1l7f,rmsd215-opt,29033.133
astex_1l7f,rmsd246-opt,28800.72
astex_1l7f,rmsd76-opt,30605.063
astex_1lpz,rmsd111-opt,55830.17
astex_1lpz,rmsd112-opt,56115.935
astex_1lpz,rmsd119-opt,58049.573
astex_1lpz,rmsd11-opt,59288.256
astex_1mmv,rmsd113-opt,6644.785
astex_1mmv,rmsd137-opt,7433.253
astex_1mmv,rmsd138-opt,7579.32
astex_1mmv,rmsd146-opt,6498.627
astex_1mmv,rmsd15-opt,7115.927
astex_1mmv,rmsd172-opt,7502.186
astex_1mmv,rmsd22-opt,7414.531
astex_1mmv,rmsd44-opt,7388.223
astex_1mmv,rmsd50-opt,7173.541
astex_1mmv,rmsd91-opt,7008.056
astex_1n1m,rmsd20-opt,8195.255
astex_1n1m,rmsd29-opt,7811.735
astex_1n1m,rmsd34-opt,7849.346
astex_1n1m,rmsd37-opt,7746.498
astex_1n1m,rmsd38-opt,7355.756
astex_1n1m,rmsd39-opt,7558.784
astex_1n1m,rmsd40-opt,7574.328
astex_1n1m,rmsd42-opt,7745.244
astex_1n1m,rmsd5-opt,7862.014
astex_1of6,rmsd100-opt,7079.335
astex_1of6,rmsd102-opt,7364.428
astex_1of6,rmsd103-opt,7249.431
astex_1of6,rmsd104-opt,7169.997
astex_1of6,rmsd105-opt,7181.879
astex_1of6,rmsd106-opt,7040.475
astex_1of6,rmsd107-opt,6903.545
astex_1of6,rmsd135-opt,7313.747
astex_1of6,rmsd142-opt,7049.347
astex_1of6,rmsd143-opt,7285.804
astex_1oq5,rmsd1-opt,28248.156
astex_1oq5,rmsd2-opt,26364.263
astex_1oq5,rmsd3-opt,27377.641
astex_1oq5,rmsd4-opt,25224.284
astex_1oq5,rmsd5-opt,27999.306
astex_1oq5,rmsd6-opt,27833.238
astex_1oq5,rmsd7-opt,27947.69
astex_1oq5,rmsd8-opt,26767.879
astex_1owe,rmsd103-opt,19733.832
astex_1owe,rmsd122-opt,20014.728
astex_1owe,rmsd129-opt,19269.624
astex_1owe,rmsd130-opt,19157.065
astex_1owe,rmsd131-opt,18359.721
astex_1owe,rmsd137-opt,19717.168
astex_1owe,rmsd146-opt,21023.774
astex_1owe,rmsd148-opt,20584.178
astex_1owe,rmsd149-opt,20275.093
astex_1owe,rmsd153-opt,19796.496
astex_1oyt,rmsd111-opt,43456.934
astex_1oyt,rmsd124-opt,41284.626
astex_1oyt,rmsd125-opt,43080.2
astex_1oyt,rmsd207-opt,43632.054
astex_1oyt,rmsd214-opt,42202.627
astex_1oyt,rmsd31-opt,39420.305
astex_1p2y,rmsd11-opt,8451.211
astex_1p2y,rmsd12-opt,8262.178
astex_1p2y,rmsd1-opt,7795.224
astex_1p2y,rmsd3-opt,7817.261
astex_1p2y,rmsd4-opt,7836.224
astex_1p2y,rmsd5-opt,7993.305
astex_1p2y,rmsd6-opt,8333.353
astex_1p2y,rmsd7-opt,8558.384
astex_1p2y,rmsd8-opt,8415.184
astex_1p2y,rmsd9-opt,8742.96
astex_1pmn,rmsd121-opt,53352.062
astex_1pmn,rmsd122-opt,49490.061
astex_1pmn,rmsd146-opt,48499.412
astex_1pmn,rmsd179-opt,47615.621
astex_1pmn,rmsd194-opt,48632.289
astex_1q1g,rmsd14-opt,17856.976
astex_1q1g,rmsd28-opt,20472.917
astex_1q1g,rmsd30-opt,18057.781
astex_1q1g,rmsd33-opt,18953.571
astex_1q1g,rmsd34-opt,18771.701
astex_1q1g,rmsd37-opt,20085.215
astex_1q1g,rmsd48-opt,17914.334
astex_1q1g,rmsd52-opt,19095.091
astex_1q1g,rmsd57-opt,18793.116
astex_1q1g,rmsd9-opt,18218.338
astex_1r1h,rmsd129-opt,43026.099
astex_1r1h,rmsd150-opt,36213.448
astex_1r1h,rmsd192-opt,32958.346
astex_1r1h,rmsd199-opt,33575.237
astex_1r1h,rmsd22-opt,34568.093
astex_1r1h,rmsd234-opt,31319.085
astex_1r1h,rmsd248-opt,31242.949
astex_1s3v,rmsd117-opt,47087.062
astex_1s3v,rmsd118-opt,41147.978
astex_1s3v,rmsd132-opt,40431.057
astex_1s3v,rmsd133-opt,40072.968
astex_1s3v,rmsd134-opt,39796.953
astex_1s3v,rmsd141-opt,39509.86
astex_1sj0,rmsd105-opt,60246.53
astex_1sj0,rmsd109-opt,56783.82
astex_1sj0,rmsd116-opt,53691.512
astex_1sj0,rmsd119-opt,54379.208
astex_1tt1,rmsd127-opt,10342.886
astex_1tt1,rmsd191-opt,11632.038
astex_1tt1,rmsd192-opt,11252.18
astex_1uou,rmsd20-opt,11860.414
astex_1vcj,rmsd115-opt,34736.19
