mol,geom,seconds
omegacsd_FAHXIV,rmsd126-opt,0.011853144969791174
omegacsd_FAHXIV,rmsd118-opt,6.331899203360081e-05
omegacsd_FAHXIV,rmsd149-opt,0.0038229450583457947
omegacsd_FAHXIV,rmsd104-opt,0.003710307879373431
omegacsd_FAHXIV,rmsd150-opt,4.755007103085518e-05
omegacsd_FAHXIV,rmsd132-opt,0.003712069010362029
omegacsd_FAHXIV,rmsd151-opt,4.854006692767143e-05
omegacsd_FAHXIV,rmsd201-opt,4.7724926844239235e-05
omegacsd_FAHXIV,rmsd42-opt,0.003815686097368598
omegacsd_FAHXIV,rmsd189-opt,0.0037544940132647753
astex_1tow,rmsd103-opt,0.0037255820352584124
astex_1tow,rmsd160-opt,4.227319732308388e-05
astex_1tow,rmsd102-opt,5.911919288337231e-05
astex_1tow,rmsd110-opt,0.0037136480677872896
astex_1tow,rmsd186-opt,0.0036873100325465202
astex_1tow,rmsd109-opt,0.0037520909681916237
astex_1tow,rmsd154-opt,4.326598718762398e-05
astex_1tow,rmsd155-opt,4.320405423641205e-05
astex_1tow,rmsd187-opt,0.0037117060273885727
astex_1tow,rmsd158-opt,4.3884152546525e-05
omegacsd_DUMTAG,rmsd124-opt,0.005308099091053009
omegacsd_DUMTAG,rmsd100-opt,0.006044212030246854
omegacsd_DUMTAG,rmsd110-opt,0.004991096910089254
omegacsd_DUMTAG,rmsd18-opt,0.005144225899130106
omegacsd_DUMTAG,rmsd182-opt,0.004960722988471389
omegacsd_DUMTAG,rmsd140-opt,0.004800040973350406
omegacsd_DUMTAG,rmsd128-opt,0.004750459920614958
omegacsd_DUMTAG,rmsd117-opt,0.004986760905012488
omegacsd_DUMTAG,rmsd116-opt,5.398993380367756e-05
omegacsd_DUMTAG,rmsd120-opt,0.005060689058154821
omegacsd_SAVYET,rmsd157-opt,0.005064122145995498
omegacsd_SAVYET,rmsd161-opt,4.274514503777027e-05
omegacsd_SAVYET,rmsd169-opt,0.0043850550428032875
omegacsd_SAVYET,rmsd162-opt,0.004284668015316129
omegacsd_SAVYET,rmsd159-opt,0.0043774188961833715
omegacsd_SAVYET,rmsd200-opt,0.004400196019560099
omegacsd_SAVYET,rmsd132-opt,0.004345110850408673
omegacsd_SAVYET,rmsd129-opt,0.004365011118352413
omegacsd_SAVYET,rmsd116-opt,0.004346439149230719
omegacsd_SAVYET,rmsd91-opt,0.004274829989299178
omegacsd_COKBOT,rmsd178-opt,0.005217134021222591
omegacsd_COKBOT,rmsd60-opt,0.007310825865715742
omegacsd_COKBOT,rmsd25-opt,0.006252233171835542
omegacsd_COKBOT,rmsd62-opt,0.005835718009620905
omegacsd_COKBOT,rmsd1-opt,0.0060531808994710445
omegacsd_COKBOT,rmsd22-opt,0.0053793080151081085
omegacsd_COKBOT,rmsd59-opt,0.005066713085398078
omegacsd_COKBOT,rmsd20-opt,0.005006399005651474
omegacsd_COKBOT,rmsd152-opt,0.005490622948855162
omegacsd_COKBOT,rmsd21-opt,0.004957346012815833
omegacsd_DEBBER,rmsd168-opt,0.009378342889249325
omegacsd_DEBBER,rmsd243-opt,0.009469863027334213
omegacsd_DEBBER,rmsd217-opt,0.010929919080808759
omegacsd_DEBBER,rmsd170-opt,0.009966512909159064
omegacsd_DEBBER,rmsd109-opt,0.009484278038144112
omegacsd_DEBBER,rmsd250-opt,0.009620570112019777
omegacsd_DEBBER,rmsd111-opt,0.009605929022654891
omegacsd_DEBBER,rmsd151-opt,0.009456743951886892
omegacsd_DEBBER,rmsd80-opt,0.009842655854299664
omegacsd_DEBBER,rmsd199-opt,0.009548575850203633
omegapdb_2byi,rmsd229-opt,0.005415206076577306
omegapdb_2byi,rmsd78-opt,0.005486415000632405
omegapdb_2byi,rmsd68-opt,0.005700316978618503
omegapdb_2byi,rmsd114-opt,0.005738655803725123
omegapdb_2byi,rmsd235-opt,0.005485703004524112
omegapdb_2byi,rmsd89-opt,7.560290396213531e-05
omegapdb_2byi,rmsd203-opt,0.005491102114319801
omegapdb_2byi,rmsd180-opt,0.0054311989806592464
omegapdb_2byi,rmsd129-opt,0.00531919882632792
omegapdb_2byi,rmsd164-opt,0.005288300104439259
omegacsd_GASPUL,rmsd178-opt,0.005166550865396857
omegacsd_GASPUL,rmsd194-opt,0.005728384014219046
omegacsd_GASPUL,rmsd184-opt,0.005397198023274541
omegacsd_GASPUL,rmsd179-opt,0.00545531278476119
omegacsd_GASPUL,rmsd156-opt,0.00543525000102818
omegacsd_GASPUL,rmsd155-opt,8.701509796082973e-05
omegacsd_GASPUL,rmsd173-opt,0.005415485939010978
omegacsd_GASPUL,rmsd163-opt,0.005464606918394566
omegacsd_GASPUL,rmsd176-opt,0.005318057956174016
omegacsd_GASPUL,rmsd167-opt,0.005211970070376992
omegapdb_1eby,rmsd34-opt,0.009490292984992266
omegapdb_1eby,rmsd238-opt,0.00897301803342998
omegapdb_1eby,rmsd12-opt,0.008929067989811301
omegapdb_1eby,rmsd110-opt,0.009001742117106915
omegapdb_1eby,rmsd18-opt,0.008675204124301672
omegapdb_1eby,rmsd149-opt,0.008991208160296082
omegapdb_1eby,rmsd133-opt,0.008797834860160947
omegapdb_1eby,rmsd32-opt,0.008924926165491343
omegapdb_1eby,rmsd30-opt,0.008954326156526804
omegapdb_1eby,rmsd21-opt,0.009100646944716573
omegapdb_1hwk,rmsd34-opt,0.008492969907820225
omegapdb_1hwk,rmsd84-opt,0.008207181934267282
omegapdb_1hwk,rmsd162-opt,0.008182205958291888
omegapdb_1hwk,rmsd187-opt,0.008392454124987125
omegapdb_1hwk,rmsd226-opt,0.008846119046211243
omegapdb_1hwk,rmsd237-opt,0.00842174212448299
omegapdb_1hwk,rmsd131-opt,0.008051092037931085
omegapdb_1hwk,rmsd64-opt,0.008013420971110463
omegapdb_1hwk,rmsd139-opt,0.009659708011895418
omegapdb_1hwk,rmsd98-opt,0.009094387060031295
astex_1n2v,rmsd24-opt,0.005052763037383556
astex_1n2v,rmsd12-opt,0.004525324795395136
astex_1n2v,rmsd35-opt,0.004692424088716507
astex_1n2v,rmsd63-opt,0.004419184988364577
astex_1n2v,rmsd36-opt,0.00514635699801147
astex_1n2v,rmsd8-opt,0.004405976971611381
astex_1n2v,rmsd22-opt,0.005121130961924791
astex_1n2v,rmsd59-opt,0.005574970971792936
astex_1n2v,rmsd64-opt,3.955606371164322e-05
astex_1n2v,rmsd65-opt,3.5275937989354134e-05
omegacsd_DAFTOT,rmsd147-opt,0.00680933496914804
omegacsd_DAFTOT,rmsd179-opt,0.006286522839218378
omegacsd_DAFTOT,rmsd110-opt,0.008619860047474504
omegacsd_DAFTOT,rmsd182-opt,0.006613006815314293
omegacsd_DAFTOT,rmsd159-opt,0.006068012909963727
omegacsd_DAFTOT,rmsd193-opt,0.00653906399384141
omegacsd_DAFTOT,rmsd66-opt,0.006548766978085041
omegacsd_DAFTOT,rmsd201-opt,0.006517824018374085
omegacsd_DAFTOT,rmsd235-opt,0.005928059108555317
omegacsd_DAFTOT,rmsd138-opt,0.006104446016252041
omegacsd_CMANPQ,rmsd24-opt,0.006027171853929758
omegacsd_CMANPQ,rmsd238-opt,0.005108455894514918
omegacsd_CMANPQ,rmsd195-opt,0.00510018621571362
omegacsd_CMANPQ,rmsd230-opt,0.005149191943928599
omegacsd_CMANPQ,rmsd54-opt,0.005060194991528988
