mol,geom,seconds
astex_1gm8,rmsd112-mmff,6.18
astex_1gm8,rmsd112-opt,1.28
astex_1gm8,rmsd112-pm7,1.93
astex_1gm8,rmsd114-mmff,1.89
astex_1gm8,rmsd114-opt,1.03
astex_1gm8,rmsd114-pm7,1.41
astex_1gm8,rmsd115-mmff,1.28
astex_1gm8,rmsd115-opt,1.68
astex_1gm8,rmsd115-pm7,0.94
astex_1gm8,rmsd125-mmff,1.12
astex_1gm8,rmsd125-opt,1.48
astex_1gm8,rmsd125-pm7,1.85
astex_1gm8,rmsd141-mmff,1.52
astex_1gm8,rmsd141-opt,0.94
astex_1gm8,rmsd141-pm7,1.10
astex_1gm8,rmsd162-mmff,1.08
astex_1gm8,rmsd162-opt,1.08
astex_1gm8,rmsd162-pm7,1.35
astex_1gm8,rmsd163-mmff,0.89
astex_1gm8,rmsd163-opt,1.11
astex_1gm8,rmsd163-pm7,1.25
astex_1gm8,rmsd176-mmff,0.90
astex_1gm8,rmsd176-opt,1.03
astex_1gm8,rmsd176-pm7,1.14
astex_1gm8,rmsd1-mmff,1.21
astex_1gm8,rmsd1-pm7,1.04
astex_1gm8,rmsd35-mmff,0.93
astex_1gm8,rmsd35-opt,2.17
astex_1gm8,rmsd35-pm7,1.70
astex_1gm8,rmsd48-mmff,1.36
astex_1gm8,rmsd48-opt,0.91
astex_1gm8,rmsd48-pm7,1.09
astex_1hnn,rmsd1-mmff,1.14
astex_1hnn,rmsd1-opt,0.74
astex_1hnn,rmsd1-pm7,0.84
astex_1hnn,rmsd2-mmff,0.78
astex_1hnn,rmsd2-opt,0.68
astex_1hnn,rmsd2-pm7,0.73
astex_1hnn,rmsd3-mmff,0.81
astex_1hnn,rmsd3-opt,0.75
astex_1hnn,rmsd3-pm7,2.84
astex_1hnn,rmsd4-mmff,2.86
astex_1hnn,rmsd4-opt,0.88
astex_1hnn,rmsd4-pm7,0.68
astex_1hnn,rmsd5-mmff,1.51
astex_1hnn,rmsd5-opt,0.69
astex_1hnn,rmsd5-pm7,1.41
astex_1hnn,rmsd6-mmff,0.70
astex_1hnn,rmsd6-opt,1.00
astex_1hnn,rmsd6-pm7,0.76
astex_1hnn,rmsd7-mmff,0.74
astex_1hnn,rmsd7-opt,0.83
astex_1hnn,rmsd7-pm7,1.44
astex_1hnn,rmsd8-mmff,0.59
astex_1hnn,rmsd8-opt,2.39
astex_1hnn,rmsd8-pm7,0.73
astex_1ia1,rmsd1-mmff,0.97
astex_1ia1,rmsd1-pm7,0.79
astex_1ia1,rmsd2-mmff,2.52
astex_1ia1,rmsd2-opt,0.77
astex_1ia1,rmsd2-pm7,0.81
astex_1ia1,rmsd40-mmff,0.75
astex_1ia1,rmsd40-opt,0.90
astex_1ia1,rmsd40-pm7,0.83
astex_1ia1,rmsd41-mmff,1.71
astex_1ia1,rmsd41-opt,1.01
astex_1ia1,rmsd41-pm7,1.69
astex_1ia1,rmsd42-mmff,3.72
astex_1ia1,rmsd42-opt,0.87
astex_1ia1,rmsd42-pm7,0.89
astex_1ia1,rmsd43-mmff,0.78
astex_1ia1,rmsd43-opt,1.94
astex_1ia1,rmsd43-pm7,1.72
astex_1ia1,rmsd44-mmff,0.79
astex_1ia1,rmsd44-opt,0.80
astex_1ia1,rmsd44-pm7,0.88
astex_1ia1,rmsd46-mmff,1.83
astex_1ia1,rmsd46-opt,1.02
astex_1ia1,rmsd46-pm7,0.95
astex_1ia1,rmsd47-mmff,0.87
astex_1ia1,rmsd47-opt,0.83
astex_1ia1,rmsd47-pm7,1.59
astex_1ia1,rmsd48-mmff,1.01
astex_1ia1,rmsd48-opt,0.81
astex_1ia1,rmsd48-pm7,0.81
astex_1ia1,rmsd49-mmff,0.91
astex_1ia1,rmsd49-opt,0.82
astex_1ia1,rmsd49-pm7,1.43
astex_1ig3,rmsd121-mmff,1.13
astex_1ig3,rmsd121-opt,0.94
astex_1ig3,rmsd121-pm7,0.82
astex_1ig3,rmsd152-mmff,0.82
astex_1ig3,rmsd152-opt,0.90
astex_1ig3,rmsd152-pm7,0.84
astex_1ig3,rmsd167-mmff,0.93
astex_1ig3,rmsd167-opt,1.11
astex_1ig3,rmsd167-pm7,0.78
astex_1ig3,rmsd171-mmff,2.41
astex_1ig3,rmsd171-opt,0.96
astex_1ig3,rmsd171-pm7,0.96
astex_1ig3,rmsd182-mmff,1.25
astex_1ig3,rmsd182-opt,0.84
astex_1ig3,rmsd182-pm7,0.94
astex_1ig3,rmsd197-mmff,1.03
astex_1ig3,rmsd197-opt,0.82
astex_1ig3,rmsd197-pm7,0.75
astex_1ig3,rmsd1-mmff,1.02
astex_1ig3,rmsd1-pm7,1.08
astex_1ig3,rmsd222-mmff,0.90
astex_1ig3,rmsd222-opt,0.83
astex_1ig3,rmsd222-pm7,0.86
astex_1ig3,rmsd242-mmff,2.65
astex_1ig3,rmsd242-opt,0.88
astex_1ig3,rmsd242-pm7,0.88
astex_1ig3,rmsd24-mmff,2.51
astex_1ig3,rmsd24-opt,0.78
astex_1ig3,rmsd24-pm7,0.97
astex_1ig3,rmsd37-mmff,0.74
astex_1ig3,rmsd37-pm7,0.92
astex_1ig3,rmsd56-mmff,1.48
astex_1ig3,rmsd56-opt,0.79
astex_1ig3,rmsd56-pm7,0.76
astex_1j3j,rmsd12-mmff,1.42
astex_1j3j,rmsd12-opt,1.01
astex_1j3j,rmsd12-pm7,0.80
astex_1j3j,rmsd13-mmff,2.05
astex_1j3j,rmsd13-opt,1.92
astex_1j3j,rmsd13-pm7,1.14
astex_1j3j,rmsd15-mmff,0.72
astex_1j3j,rmsd15-opt,1.44
astex_1j3j,rmsd15-pm7,0.93
astex_1j3j,rmsd1-mmff,0.78
astex_1j3j,rmsd1-opt,1.00
astex_1j3j,rmsd1-pm7,0.79
astex_1j3j,rmsd2-mmff,0.79
astex_1j3j,rmsd2-opt,0.77
astex_1j3j,rmsd2-pm7,0.84
astex_1j3j,rmsd3-mmff,0.82
astex_1j3j,rmsd3-opt,0.77
astex_1j3j,rmsd3-pm7,0.94
astex_1j3j,rmsd4-mmff,0.77
astex_1j3j,rmsd4-opt,1.03
astex_1j3j,rmsd4-pm7,1.51
astex_1j3j,rmsd7-mmff,0.75
astex_1j3j,rmsd7-opt,2.98
astex_1j3j,rmsd7-pm7,0.75
astex_1j3j,rmsd8-mmff,0.77
astex_1j3j,rmsd8-opt,0.74
astex_1j3j,rmsd8-pm7,0.84
astex_1j3j,rmsd9-mmff,0.68
astex_1j3j,rmsd9-opt,0.71
astex_1j3j,rmsd9-pm7,0.83
astex_1jd0,rmsd12-mmff,1.55
astex_1jd0,rmsd12-opt,0.75
astex_1jd0,rmsd12-pm7,0.84
astex_1jd0,rmsd18-mmff,0.71
astex_1jd0,rmsd18-opt,1.88
astex_1jd0,rmsd18-pm7,2.50
astex_1jd0,rmsd19-mmff,0.64
astex_1jd0,rmsd19-opt,0.61
astex_1jd0,rmsd19-pm7,0.68
astex_1jd0,rmsd1-mmff,0.69
astex_1jd0,rmsd1-pm7,0.85
astex_1jd0,rmsd22-mmff,0.80
astex_1jd0,rmsd22-opt,0.76
astex_1jd0,rmsd22-pm7,0.81
astex_1jd0,rmsd3-mmff,0.68
astex_1jd0,rmsd3-opt,0.80
astex_1jd0,rmsd3-pm7,0.70
astex_1jd0,rmsd44-mmff,0.73
astex_1jd0,rmsd44-opt,0.63
astex_1jd0,rmsd44-pm7,0.61
astex_1jd0,rmsd47-mmff,0.94
astex_1jd0,rmsd47-opt,0.78
astex_1jd0,rmsd47-pm7,0.65
astex_1jd0,rmsd54-mmff,1.76
astex_1jd0,rmsd54-opt,1.55
astex_1jd0,rmsd54-pm7,0.63
astex_1jd0,rmsd56-mmff,0.58
astex_1jd0,rmsd56-opt,0.60
astex_1jd0,rmsd56-pm7,0.70
astex_1jd0,rmsd5-mmff,0.72
astex_1jd0,rmsd5-pm7,0.58
astex_1jd0,rmsd6-mmff,0.76
astex_1jd0,rmsd6-pm7,0.81
astex_1jd0,rmsd9-mmff,1.86
astex_1jd0,rmsd9-opt,0.64
astex_1jd0,rmsd9-pm7,0.61
astex_1l7f,rmsd103-mmff,1.26
astex_1l7f,rmsd103-opt,1.01
astex_1l7f,rmsd103-pm7,5.04
astex_1l7f,rmsd124-mmff,0.98
astex_1l7f,rmsd124-opt,2.32
astex_1l7f,rmsd124-pm7,1.76
astex_1l7f,rmsd15-mmff,2.09
astex_1l7f,rmsd15-opt,1.86
astex_1l7f,rmsd15-pm7,0.99
astex_1l7f,rmsd171-mmff,1.09
astex_1l7f,rmsd171-opt,2.62
astex_1l7f,rmsd171-pm7,3.39
astex_1l7f,rmsd197-mmff,2.55
astex_1l7f,rmsd197-opt,1.70
astex_1l7f,rmsd197-pm7,0.96
astex_1l7f,rmsd20-mmff,1.00
astex_1l7f,rmsd20-pm7,0.92
astex_1l7f,rmsd215-mmff,0.99
astex_1l7f,rmsd215-opt,1.68
astex_1l7f,rmsd215-pm7,3.30
astex_1l7f,rmsd21-mmff,0.98
astex_1l7f,rmsd21-pm7,1.40
astex_1l7f,rmsd246-mmff,2.89
astex_1l7f,rmsd246-opt,1.06
astex_1l7f,rmsd246-pm7,0.95
astex_1l7f,rmsd76-mmff,1.00
astex_1l7f,rmsd76-opt,1.05
astex_1l7f,rmsd76-pm7,1.48
astex_1l7f,rmsd82-mmff,0.99
astex_1l7f,rmsd82-opt,1.11
astex_1l7f,rmsd82-pm7,1.31
astex_1l7f,rmsd97-mmff,0.94
astex_1l7f,rmsd97-opt,2.11
astex_1l7f,rmsd97-pm7,1.01
astex_1lpz,rmsd111-mmff,1.84
astex_1lpz,rmsd111-opt,1.79
astex_1lpz,rmsd111-pm7,1.60
astex_1lpz,rmsd112-mmff,1.42
astex_1lpz,rmsd112-opt,1.50
astex_1lpz,rmsd112-pm7,4.91
astex_1lpz,rmsd119-mmff,1.56
astex_1lpz,rmsd119-opt,1.50
astex_1lpz,rmsd119-pm7,1.79
astex_1lpz,rmsd11-mmff,1.31
astex_1lpz,rmsd11-opt,2.88
astex_1lpz,rmsd11-pm7,3.36
astex_1lpz,rmsd120-mmff,1.53
astex_1lpz,rmsd120-opt,2.08
astex_1lpz,rmsd120-pm7,3.85
astex_1lpz,rmsd122-mmff,1.46
astex_1lpz,rmsd122-opt,4.69
astex_1lpz,rmsd122-pm7,1.58
astex_1lpz,rmsd135-mmff,1.40
astex_1lpz,rmsd135-pm7,3.88
astex_1lpz,rmsd200-mmff,1.46
astex_1lpz,rmsd200-opt,2.57
astex_1lpz,rmsd200-pm7,2.92
astex_1lpz,rmsd204-mmff,1.94
astex_1lpz,rmsd204-opt,3.48
astex_1lpz,rmsd204-pm7,1.65
astex_1lpz,rmsd221-mmff,1.62
astex_1lpz,rmsd221-opt,2.46
astex_1lpz,rmsd221-pm7,1.56
astex_1lpz,rmsd233-mmff,2.34
astex_1lpz,rmsd233-pm7,1.94
astex_1lpz,rmsd242-mmff,1.46
astex_1lpz,rmsd242-opt,1.84
astex_1lpz,rmsd242-pm7,3.40
astex_1lpz,rmsd89-mmff,1.85
astex_1lpz,rmsd89-pm7,1.41
astex_1mmv,rmsd113-mmff,1.26
astex_1mmv,rmsd113-opt,0.89
astex_1mmv,rmsd113-pm7,0.73
astex_1mmv,rmsd137-mmff,0.94
astex_1mmv,rmsd137-opt,1.99
astex_1mmv,rmsd137-pm7,0.77
astex_1mmv,rmsd138-mmff,0.76
astex_1mmv,rmsd138-opt,0.67
astex_1mmv,rmsd138-pm7,0.74
astex_1mmv,rmsd146-mmff,0.72
astex_1mmv,rmsd146-opt,1.76
astex_1mmv,rmsd146-pm7,0.72
astex_1mmv,rmsd15-mmff,2.35
astex_1mmv,rmsd15-opt,0.72
astex_1mmv,rmsd15-pm7,0.67
astex_1mmv,rmsd160-mmff,2.35
astex_1mmv,rmsd160-pm7,0.72
astex_1mmv,rmsd172-mmff,0.75
astex_1mmv,rmsd172-opt,0.74
astex_1mmv,rmsd172-pm7,0.95
astex_1mmv,rmsd22-mmff,0.70
astex_1mmv,rmsd22-opt,0.66
astex_1mmv,rmsd22-pm7,0.78
astex_1mmv,rmsd26-mmff,0.68
astex_1mmv,rmsd26-pm7,0.72
astex_1mmv,rmsd44-mmff,1.58
astex_1mmv,rmsd44-opt,0.77
astex_1mmv,rmsd44-pm7,1.50
astex_1mmv,rmsd50-mmff,0.67
astex_1mmv,rmsd50-opt,0.72
astex_1mmv,rmsd50-pm7,0.66
astex_1mmv,rmsd54-mmff,0.66
astex_1mmv,rmsd54-pm7,2.42
astex_1mmv,rmsd80-mmff,0.77
astex_1mmv,rmsd80-pm7,0.81
astex_1mmv,rmsd91-mmff,0.67
astex_1mmv,rmsd91-opt,1.03
astex_1mmv,rmsd91-pm7,0.74
astex_1mzc,rmsd10-mmff,2.05
astex_1mzc,rmsd10-opt,1.58
astex_1mzc,rmsd10-pm7,1.60
astex_1mzc,rmsd118-mmff,1.58
astex_1mzc,rmsd118-opt,3.51
astex_1mzc,rmsd118-pm7,1.47
astex_1mzc,rmsd145-mmff,1.64
astex_1mzc,rmsd145-opt,1.91
astex_1mzc,rmsd145-pm7,1.77
astex_1mzc,rmsd14-mmff,5.72
astex_1mzc,rmsd14-opt,3.44
astex_1mzc,rmsd14-pm7,3.25
astex_1mzc,rmsd152-mmff,2.27
astex_1mzc,rmsd152-opt,2.15
astex_1mzc,rmsd152-pm7,1.91
astex_1mzc,rmsd197-mmff,2.72
astex_1mzc,rmsd197-pm7,1.54
astex_1mzc,rmsd1-mmff,1.38
astex_1mzc,rmsd1-pm7,2.29
astex_1mzc,rmsd201-mmff,1.38
astex_1mzc,rmsd201-opt,1.54
astex_1mzc,rmsd201-pm7,1.63
astex_1mzc,rmsd202-mmff,1.71
astex_1mzc,rmsd202-opt,2.49
astex_1mzc,rmsd202-pm7,3.50
astex_1mzc,rmsd221-mmff,1.39
astex_1mzc,rmsd221-opt,1.98
astex_1mzc,rmsd221-pm7,1.66
astex_1mzc,rmsd229-mmff,2.51
astex_1mzc,rmsd229-pm7,1.94
astex_1mzc,rmsd22-mmff,1.63
astex_1mzc,rmsd22-opt,1.36
astex_1mzc,rmsd22-pm7,1.46
astex_1mzc,rmsd250-mmff,1.45
astex_1mzc,rmsd250-opt,1.79
astex_1mzc,rmsd250-pm7,2.39
astex_1n1m,rmsd13-mmff,1.31
astex_1n1m,rmsd13-opt,0.69
astex_1n1m,rmsd13-pm7,1.54
astex_1n1m,rmsd20-mmff,0.59
astex_1n1m,rmsd20-opt,0.72
astex_1n1m,rmsd20-pm7,0.64
astex_1n1m,rmsd29-mmff,0.64
astex_1n1m,rmsd29-opt,0.61
astex_1n1m,rmsd29-pm7,1.33
astex_1n1m,rmsd34-mmff,0.66
astex_1n1m,rmsd34-opt,0.86
astex_1n1m,rmsd34-pm7,0.64
astex_1n1m,rmsd37-mmff,0.55
astex_1n1m,rmsd37-opt,0.63
astex_1n1m,rmsd37-pm7,0.64
astex_1n1m,rmsd38-mmff,1.03
astex_1n1m,rmsd38-opt,0.67
astex_1n1m,rmsd38-pm7,0.64
astex_1n1m,rmsd39-mmff,0.59
astex_1n1m,rmsd39-opt,2.60
astex_1n1m,rmsd39-pm7,0.70
astex_1n1m,rmsd40-mmff,0.75
astex_1n1m,rmsd40-opt,0.64
astex_1n1m,rmsd40-pm7,0.64
astex_1n1m,rmsd42-mmff,1.38
astex_1n1m,rmsd42-opt,0.68
astex_1n1m,rmsd42-pm7,0.61
astex_1n1m,rmsd5-mmff,0.64
astex_1n1m,rmsd5-opt,0.67
astex_1n1m,rmsd5-pm7,0.68
astex_1of6,rmsd100-mmff,1.32
astex_1of6,rmsd100-opt,0.70
astex_1of6,rmsd100-pm7,0.67
astex_1of6,rmsd102-mmff,0.63
astex_1of6,rmsd102-opt,0.57
astex_1of6,rmsd102-pm7,0.58
astex_1of6,rmsd103-mmff,0.58
astex_1of6,rmsd103-opt,0.75
astex_1of6,rmsd103-pm7,0.67
astex_1of6,rmsd104-mmff,0.57
astex_1of6,rmsd104-opt,1.78
astex_1of6,rmsd104-pm7,0.65
astex_1of6,rmsd105-mmff,0.71
astex_1of6,rmsd105-opt,0.49
astex_1of6,rmsd105-pm7,0.50
astex_1of6,rmsd106-mmff,0.60
astex_1of6,rmsd106-opt,0.69
astex_1of6,rmsd106-pm7,2.30
astex_1of6,rmsd107-mmff,0.60
astex_1of6,rmsd107-opt,0.61
astex_1of6,rmsd107-pm7,0.60
astex_1of6,rmsd135-mmff,0.59
astex_1of6,rmsd135-opt,0.73
astex_1of6,rmsd135-pm7,0.56
astex_1of6,rmsd142-mmff,0.69
astex_1of6,rmsd142-opt,0.63
astex_1of6,rmsd142-pm7,0.55
astex_1of6,rmsd143-mmff,2.11
astex_1of6,rmsd143-opt,0.52
