mol,geom,seconds
omegacsd_FAHXIV,rmsd126-opt,0.011358279967680573
omegacsd_FAHXIV,rmsd118-opt,7.313606329262257e-05
omegacsd_FAHXIV,rmsd149-opt,0.002915841992944479
omegacsd_FAHXIV,rmsd104-opt,0.0028463760390877724
omegacsd_FAHXIV,rmsd150-opt,6.372295320034027e-05
omegacsd_FAHXIV,rmsd132-opt,0.0028579120989888906
omegacsd_FAHXIV,rmsd151-opt,6.239512003958225e-05
omegacsd_FAHXIV,rmsd201-opt,6.127101369202137e-05
omegacsd_FAHXIV,rmsd42-opt,0.002849901095032692
omegacsd_FAHXIV,rmsd189-opt,0.0028505679219961166
astex_1tow,rmsd103-opt,0.002701526042073965
astex_1tow,rmsd160-opt,5.7391123846173286e-05
astex_1tow,rmsd102-opt,6.049708463251591e-05
astex_1tow,rmsd110-opt,0.0029879198409616947
astex_1tow,rmsd186-opt,0.0026787701062858105
astex_1tow,rmsd109-opt,0.002965821186080575
astex_1tow,rmsd154-opt,5.973083898425102e-05
astex_1tow,rmsd155-opt,5.752011202275753e-05
astex_1tow,rmsd187-opt,0.0029874860774725676
astex_1tow,rmsd158-opt,6.001000292599201e-05
omegacsd_DUMTAG,rmsd124-opt,0.0033614460844546556
omegacsd_DUMTAG,rmsd100-opt,0.0037063308991491795
omegacsd_DUMTAG,rmsd110-opt,0.0033709551207721233
omegacsd_DUMTAG,rmsd18-opt,0.0032831348944455385
omegacsd_DUMTAG,rmsd182-opt,0.0034296540543437004
omegacsd_DUMTAG,rmsd140-opt,0.0033850090112537146
omegacsd_DUMTAG,rmsd128-opt,0.0033005359582602978
omegacsd_DUMTAG,rmsd117-opt,0.0032920551020652056
omegacsd_DUMTAG,rmsd116-opt,8.03670845925808e-05
omegacsd_DUMTAG,rmsd120-opt,0.00319344992749393
omegacsd_SAVYET,rmsd157-opt,0.002794545842334628
omegacsd_SAVYET,rmsd161-opt,6.551295518875122e-05
omegacsd_SAVYET,rmsd169-opt,0.0027684851083904505
omegacsd_SAVYET,rmsd162-opt,0.0027360550593584776
omegacsd_SAVYET,rmsd159-opt,0.0029613240621984005
omegacsd_SAVYET,rmsd200-opt,0.0027900829445570707
omegacsd_SAVYET,rmsd132-opt,0.002776373876258731
omegacsd_SAVYET,rmsd129-opt,0.002775689121335745
omegacsd_SAVYET,rmsd116-opt,0.002784122945740819
omegacsd_SAVYET,rmsd91-opt,0.0027712949085980654
omegacsd_COKBOT,rmsd178-opt,0.004371840041130781
omegacsd_COKBOT,rmsd60-opt,0.004282444948330522
omegacsd_COKBOT,rmsd25-opt,0.005679833935573697
omegacsd_COKBOT,rmsd62-opt,0.005052756983786821
omegacsd_COKBOT,rmsd1-opt,0.004693418042734265
omegacsd_COKBOT,rmsd22-opt,0.00445898505859077
omegacsd_COKBOT,rmsd59-opt,0.004318895982578397
omegacsd_COKBOT,rmsd20-opt,0.005544780055060983
omegacsd_COKBOT,rmsd152-opt,0.004361832048743963
omegacsd_COKBOT,rmsd21-opt,0.004226731136441231
omegacsd_DEBBER,rmsd168-opt,0.004663567058742046
omegacsd_DEBBER,rmsd243-opt,0.00495707499794662
omegacsd_DEBBER,rmsd217-opt,0.005107108969241381
omegacsd_DEBBER,rmsd170-opt,0.004923345986753702
omegacsd_DEBBER,rmsd109-opt,0.005031944951042533
omegacsd_DEBBER,rmsd250-opt,0.00432368298061192
omegacsd_DEBBER,rmsd111-opt,0.0045312619768083096
omegacsd_DEBBER,rmsd151-opt,0.004351831041276455
omegacsd_DEBBER,rmsd80-opt,0.004322772147133946
omegacsd_DEBBER,rmsd199-opt,0.004438894102349877
omegapdb_2byi,rmsd229-opt,0.0035119301173835993
omegapdb_2byi,rmsd78-opt,0.0034824959002435207
omegapdb_2byi,rmsd68-opt,0.0034732988569885492
omegapdb_2byi,rmsd114-opt,0.0035592529457062483
omegapdb_2byi,rmsd235-opt,0.004084045998752117
omegapdb_2byi,rmsd89-opt,9.003304876387119e-05
omegapdb_2byi,rmsd203-opt,0.0035306778736412525
omegapdb_2byi,rmsd180-opt,0.0034757829271256924
omegapdb_2byi,rmsd129-opt,0.0035899949725717306
omegapdb_2byi,rmsd164-opt,0.003551169065758586
omegacsd_GASPUL,rmsd178-opt,0.00453283591195941
omegacsd_GASPUL,rmsd194-opt,0.004524813033640385
omegacsd_GASPUL,rmsd184-opt,0.0049103989731520414
omegacsd_GASPUL,rmsd179-opt,0.004647937137633562
omegacsd_GASPUL,rmsd156-opt,0.004512578947469592
omegacsd_GASPUL,rmsd155-opt,0.00011618179269134998
omegacsd_GASPUL,rmsd173-opt,0.0045490809716284275
omegacsd_GASPUL,rmsd163-opt,0.004735099850222468
omegacsd_GASPUL,rmsd176-opt,0.004780276911333203
omegacsd_GASPUL,rmsd167-opt,0.004538374952971935
omegapdb_1eby,rmsd34-opt,0.009262329898774624
omegapdb_1eby,rmsd238-opt,0.008582525188103318
omegapdb_1eby,rmsd12-opt,0.009005605010315776
omegapdb_1eby,rmsd110-opt,0.010457406053319573
omegapdb_1eby,rmsd18-opt,0.00864747422747314
omegapdb_1eby,rmsd149-opt,0.009032733971253037
omegapdb_1eby,rmsd133-opt,0.010101123945787549
omegapdb_1eby,rmsd32-opt,0.008840892929583788
omegapdb_1eby,rmsd30-opt,0.007941861869767308
omegapdb_1eby,rmsd21-opt,0.008555143838748336
omegapdb_1hwk,rmsd34-opt,0.00846329890191555
omegapdb_1hwk,rmsd84-opt,0.007010944187641144
omegapdb_1hwk,rmsd162-opt,0.006935518002137542
omegapdb_1hwk,rmsd187-opt,0.006998623022809625
omegapdb_1hwk,rmsd226-opt,0.009868783876299858
omegapdb_1hwk,rmsd237-opt,0.008669418981298804
omegapdb_1hwk,rmsd131-opt,0.008775351103395224
omegapdb_1hwk,rmsd64-opt,0.007208647206425667
omegapdb_1hwk,rmsd139-opt,0.011937620118260384
omegapdb_1hwk,rmsd98-opt,0.0074333471711725
astex_1n2v,rmsd24-opt,0.0024202109780162573
astex_1n2v,rmsd12-opt,0.002231048187240958
astex_1n2v,rmsd35-opt,0.0022154441103339195
astex_1n2v,rmsd63-opt,0.0022285671439021826
astex_1n2v,rmsd36-opt,0.0029439120553433895
astex_1n2v,rmsd8-opt,0.0026458201464265585
astex_1n2v,rmsd22-opt,0.0026839200872927904
astex_1n2v,rmsd59-opt,0.0032024949323385954
astex_1n2v,rmsd64-opt,5.000806413590908e-05
astex_1n2v,rmsd65-opt,5.1273033022880554e-05
omegacsd_DAFTOT,rmsd147-opt,0.003798387013375759
omegacsd_DAFTOT,rmsd179-opt,0.004102454055100679
omegacsd_DAFTOT,rmsd110-opt,0.006801601033657789
omegacsd_DAFTOT,rmsd182-opt,0.004305197857320309
omegacsd_DAFTOT,rmsd159-opt,0.004519951064139605
omegacsd_DAFTOT,rmsd193-opt,0.004715261980891228
omegacsd_DAFTOT,rmsd66-opt,0.00474668201059103
omegacsd_DAFTOT,rmsd201-opt,0.0036564040929079056
omegacsd_DAFTOT,rmsd235-opt,0.003931049024686217
omegacsd_DAFTOT,rmsd138-opt,0.0036448370665311813
omegacsd_CMANPQ,rmsd24-opt,0.004836379084736109
omegacsd_CMANPQ,rmsd238-opt,0.004381429171189666
omegacsd_CMANPQ,rmsd195-opt,0.003690937999635935
omegacsd_CMANPQ,rmsd230-opt,0.0036775991320610046
omegacsd_CMANPQ,rmsd54-opt,0.004201333038508892
omegacsd_CMANPQ,rmsd233-opt,0.0001158218365162611
omegacsd_CMANPQ,rmsd187-opt,0.003739665960893035
omegacsd_CMANPQ,rmsd244-opt,0.00476719718426466
omegacsd_CMANPQ,rmsd201-opt,0.0037385239265859127
omegacsd_CMANPQ,rmsd234-opt,0.004047915106639266
omegapdb_2j34,rmsd185-opt,0.006098073907196522
omegapdb_2j34,rmsd73-opt,0.004609581083059311
omegapdb_2j34,rmsd119-opt,0.00470201182179153
omegapdb_2j34,rmsd18-opt,0.0046166349202394485
omegapdb_2j34,rmsd250-opt,0.00457383506000042
omegapdb_2j34,rmsd138-opt,0.005705926101654768
omegapdb_2j34,rmsd213-opt,0.00463954103179276
omegapdb_2j34,rmsd80-opt,0.0046914489939808846
omegapdb_2j34,rmsd65-opt,0.004972981056198478
omegapdb_2j34,rmsd139-opt,0.004801061935722828
omegacsd_GEJLAI,rmsd207-opt,0.0026002090889960527
omegacsd_GEJLAI,rmsd228-opt,0.0025781828444451094
omegacsd_GEJLAI,rmsd206-opt,0.002761137904599309
omegacsd_GEJLAI,rmsd184-opt,5.8243051171302795e-05
omegacsd_GEJLAI,rmsd241-opt,0.002360820071771741
omegacsd_GEJLAI,rmsd248-opt,0.003286506049335003
omegacsd_GEJLAI,rmsd1-opt,0.0028278380632400513
omegacsd_GEJLAI,rmsd244-opt,0.0024602131452411413
omegacsd_GEJLAI,rmsd245-opt,7.430696859955788e-05
omegacsd_GEJLAI,rmsd174-opt,0.0024547979701310396
omegacsd_FUNXUH,rmsd34-opt,0.0025672188494354486
omegacsd_FUNXUH,rmsd24-opt,0.0024722451344132423
omegacsd_FUNXUH,rmsd35-opt,0.0024806170258671045
omegacsd_FUNXUH,rmsd45-opt,0.0026251680683344603
omegacsd_FUNXUH,rmsd15-opt,0.0028482049237936735
omegacsd_FUNXUH,rmsd14-opt,7.15949572622776e-05
omegacsd_FUNXUH,rmsd7-opt,0.002511549973860383
omegacsd_FUNXUH,rmsd29-opt,0.0028476559091359377
omegacsd_FUNXUH,rmsd38-opt,0.0032088530715554953
omegacsd_FUNXUH,rmsd28-opt,0.0025609880685806274
omegacsd_SPIRIL,rmsd113-opt,0.005437913117930293
omegacsd_SPIRIL,rmsd94-opt,0.005291362060233951
omegacsd_SPIRIL,rmsd12-opt,0.005529714049771428
omegacsd_SPIRIL,rmsd109-opt,0.005011894972994924
omegacsd_SPIRIL,rmsd44-opt,0.005010358989238739
omegacsd_SPIRIL,rmsd36-opt,0.004986362997442484
omegacsd_SPIRIL,rmsd19-opt,0.005302678095176816
omegacsd_SPIRIL,rmsd121-opt,0.0057288778480142355
omegacsd_SPIRIL,rmsd20-opt,0.005308229010552168
omegacsd_SPIRIL,rmsd246-opt,0.007100755115970969
omegacsd_SIHVUA,rmsd157-opt,0.002281591994687915
omegacsd_SIHVUA,rmsd171-opt,0.002487703924998641
omegacsd_SIHVUA,rmsd124-opt,0.0023537781089544296
omegacsd_SIHVUA,rmsd119-opt,0.002280753804370761
omegacsd_SIHVUA,rmsd118-opt,0.002248315140604973
omegacsd_SIHVUA,rmsd158-opt,0.0022381830494850874
omegacsd_SIHVUA,rmsd115-opt,0.002288250019773841
omegacsd_SIHVUA,rmsd143-opt,0.002230422804132104
omegacsd_SIHVUA,rmsd128-opt,0.0022282779682427645
omegacsd_SIHVUA,rmsd17-opt,4.4804997742176056e-05
omegacsd_VEXROF,rmsd57-opt,0.0036067019682377577
omegacsd_VEXROF,rmsd156-opt,0.0036343380343168974
omegacsd_VEXROF,rmsd118-opt,0.003809841815382242
omegacsd_VEXROF,rmsd111-opt,0.004672060953453183
omegacsd_VEXROF,rmsd96-opt,0.004245395073667169
omegacsd_VEXROF,rmsd114-opt,0.004291917895898223
omegacsd_VEXROF,rmsd58-opt,0.003964872797951102
omegacsd_VEXROF,rmsd158-opt,0.004018635954707861
omegacsd_VEXROF,rmsd64-opt,0.007600882090628147
omegacsd_VEXROF,rmsd98-opt,0.004289083881303668
omegacsd_FOLMEY,rmsd231-opt,0.0027907979674637318
omegacsd_FOLMEY,rmsd9-opt,0.00283306697383523
omegacsd_FOLMEY,rmsd232-opt,0.00277856201864779
omegacsd_FOLMEY,rmsd36-opt,0.002771330066025257
omegacsd_FOLMEY,rmsd62-opt,0.002673530951142311
omegacsd_FOLMEY,rmsd149-opt,0.0027856810484081507
omegacsd_FOLMEY,rmsd219-opt,0.0029268369544297457
omegacsd_FOLMEY,rmsd209-opt,0.002683323109522462
omegacsd_FOLMEY,rmsd201-opt,0.003310101106762886
omegacsd_FOLMEY,rmsd189-opt,8.422508835792542e-05
omegacsd_SILTUC,rmsd79-opt,0.004411609843373299
omegacsd_SILTUC,rmsd231-opt,0.003279132070019841
omegacsd_SILTUC,rmsd239-opt,0.0030356328934431076
omegacsd_SILTUC,rmsd162-opt,0.0029739909805357456
omegacsd_SILTUC,rmsd48-opt,0.0029226678889244795
omegacsd_SILTUC,rmsd244-opt,0.0029712519608438015
omegacsd_SILTUC,rmsd219-opt,0.003474086057394743
omegacsd_SILTUC,rmsd245-opt,0.0032729399390518665
omegacsd_SILTUC,rmsd123-opt,0.002956944052129984
omegacsd_SILTUC,rmsd246-opt,0.0030563429463654757
omegapdb_1xon,rmsd12-opt,0.004108481807634234
omegapdb_1xon,rmsd11-opt,0.003531632013618946
omegapdb_1xon,rmsd119-opt,9.296415373682976e-05
omegapdb_1xon,rmsd18-opt,0.0035747671499848366
omegapdb_1xon,rmsd48-opt,0.004244142910465598
omegapdb_1xon,rmsd219-opt,0.003938148962333798
omegapdb_1xon,rmsd22-opt,0.003760885912925005
omegapdb_1xon,rmsd65-opt,9.75180882960558e-05
omegapdb_1xon,rmsd120-opt,0.0037372331134974957
omegapdb_1xon,rmsd21-opt,0.004136925097554922
omegacsd_SEMXEN,rmsd135-opt,0.0028656241483986378
omegacsd_SEMXEN,rmsd103-opt,0.0025074679870158434
omegacsd_SEMXEN,rmsd242-opt,0.002778870053589344
omegacsd_SEMXEN,rmsd1-opt,0.0027212509885430336
omegacsd_SEMXEN,rmsd182-opt,0.0032700709998607635
omegacsd_SEMXEN,rmsd192-opt,0.0036128710489720106
omegacsd_SEMXEN,rmsd176-opt,0.0028028381057083607
omegacsd_SEMXEN,rmsd133-opt,0.0024127550423145294
omegacsd_SEMXEN,rmsd148-opt,0.002784322015941143
omegacsd_SEMXEN,rmsd16-opt,0.002519330009818077
omegacsd_DUXYOK,rmsd2-opt,0.003482209984213114
omegacsd_DUXYOK,rmsd27-opt,0.0035382478963583708
omegacsd_DUXYOK,rmsd19-opt,0.00342632201500237
omegacsd_DUXYOK,rmsd1-opt,0.0034766951575875282
omegacsd_DUXYOK,rmsd30-opt,0.0034969879779964685
omegacsd_DUXYOK,rmsd20-opt,0.0034215261694043875
omegacsd_DUXYOK,rmsd16-opt,0.003437367035076022
omegacsd_DUXYOK,rmsd29-opt,0.003434181911870837
omegacsd_DUXYOK,rmsd6-opt,0.003422497073188424
omegacsd_DUXYOK,rmsd28-opt,0.007107143988832831
omegapdb_2cji,rmsd171-opt,0.005381111055612564
omegapdb_2cji,rmsd228-opt,0.004955429118126631
omegapdb_2cji,rmsd187-opt,0.004629335133358836
omegapdb_2cji,rmsd209-opt,0.00462379795499146
omegapdb_2cji,rmsd188-opt,0.00461461883969605
omegapdb_2cji,rmsd138-opt,0.005733913043513894
omegapdb_2cji,rmsd128-opt,0.004653925076127052
omegapdb_2cji,rmsd165-opt,0.005880618933588266
omegapdb_2cji,rmsd39-opt,0.0046816179528832436
omegapdb_2cji,rmsd116-opt,0.004972822032868862
omegacsd_COTXUE,rmsd178-opt,0.0037330840714275837
omegacsd_COTXUE,rmsd217-opt,0.005316748982295394
omegacsd_COTXUE,rmsd124-opt,0.004392105154693127
omegacsd_COTXUE,rmsd63-opt,0.0036887989845126867
omegacsd_COTXUE,rmsd136-opt,0.004201377974823117
omegacsd_COTXUE,rmsd4-opt,0.0036446598824113607
omegacsd_COTXUE,rmsd122-opt,0.0036907249595969915
omegacsd_COTXUE,rmsd211-opt,0.004303106106817722
omegacsd_COTXUE,rmsd38-opt,0.005691999103873968
omegacsd_COTXUE,rmsd106-opt,0.005173790035769343
omegacsd_PAPPHI,rmsd2-opt,0.006739920005202293
omegacsd_PAPPHI,rmsd25-opt,0.004442377015948296
omegacsd_PAPPHI,rmsd35-opt,0.0036620229948312044
omegacsd_PAPPHI,rmsd37-opt,0.006935385055840015
omegacsd_PAPPHI,rmsd26-opt,0.006769483909010887
omegacsd_PAPPHI,rmsd36-opt,0.00387454591691494
omegacsd_PAPPHI,rmsd32-opt,7.894798181951046e-05
omegacsd_PAPPHI,rmsd30-opt,0.003202162915840745
omegacsd_PAPPHI,rmsd28-opt,0.0031802640296518803
omegacsd_PAPPHI,rmsd31-opt,0.00315654999576509
astex_1n46,rmsd34-opt,0.004008877091109753
astex_1n46,rmsd3-opt,0.00415251194499433
astex_1n46,rmsd35-opt,0.003932285821065307
astex_1n46,rmsd87-opt,0.004587429808452725
astex_1n46,rmsd37-opt,0.006267333868891001
astex_1n46,rmsd101-opt,0.004730758955702186
astex_1n46,rmsd22-opt,0.004051676951348782
astex_1n46,rmsd29-opt,0.004012139048427343
astex_1n46,rmsd39-opt,0.0041005529928952456
astex_1n46,rmsd38-opt,0.006465286016464233
omegacsd_AOPCHY,rmsd103-opt,0.0052440769504755735
omegacsd_AOPCHY,rmsd11-opt,0.0055776010267436504
omegacsd_AOPCHY,rmsd144-opt,0.004875594982877374
omegacsd_AOPCHY,rmsd108-opt,0.006714488146826625
omegacsd_AOPCHY,rmsd173-opt,0.005144187016412616
omegacsd_AOPCHY,rmsd104-opt,0.004673871910199523
omegacsd_AOPCHY,rmsd123-opt,0.004827870987355709
omegacsd_AOPCHY,rmsd153-opt,0.004393971990793943
omegacsd_AOPCHY,rmsd138-opt,0.0053884771186858416
omegacsd_AOPCHY,rmsd212-opt,0.00017911195755004883
omegacsd_COVXIU,rmsd24-opt,0.003816808108240366
omegacsd_COVXIU,rmsd3-opt,8.057290688157082e-05
omegacsd_COVXIU,rmsd37-opt,0.0030834749341011047
omegacsd_COVXIU,rmsd36-opt,0.0025800231378525496
omegacsd_COVXIU,rmsd15-opt,0.0030694659799337387
omegacsd_COVXIU,rmsd41-opt,0.002658340148627758
omegacsd_COVXIU,rmsd33-opt,5.642394535243511e-05
omegacsd_COVXIU,rmsd29-opt,6.913114339113235e-05
omegacsd_COVXIU,rmsd28-opt,0.0027260580100119114
omegacsd_COVXIU,rmsd31-opt,0.0027203590143471956
omegapdb_1d8d,rmsd103-opt,0.004104349063709378
omegapdb_1d8d,rmsd12-opt,0.0050257002003490925
omegapdb_1d8d,rmsd85-opt,0.007130856858566403
omegapdb_1d8d,rmsd110-opt,0.004793040920048952
omegapdb_1d8d,rmsd215-opt,0.0042080869898200035
omegapdb_1d8d,rmsd58-opt,0.004161465214565396
omegapdb_1d8d,rmsd50-opt,0.004130258923396468
omegapdb_1d8d,rmsd164-opt,0.004867126001045108
omegapdb_1d8d,rmsd142-opt,0.006202867953106761
omegapdb_1d8d,rmsd53-opt,0.005366303026676178
omegapdb_1uy8,rmsd34-opt,0.0037486241199076176
omegapdb_1uy8,rmsd44-opt,0.003948164870962501
omegapdb_1uy8,rmsd233-opt,0.0037073150742799044
omegapdb_1uy8,rmsd145-opt,0.0038210279308259487
omegapdb_1uy8,rmsd205-opt,0.0037308179307729006
omegapdb_1uy8,rmsd140-opt,7.792981341481209e-05
omegapdb_1uy8,rmsd133-opt,0.003871164983138442
omegapdb_1uy8,rmsd28-opt,0.003708764910697937
omegapdb_1uy8,rmsd21-opt,0.0046987279783934355
omegapdb_1uy8,rmsd98-opt,0.0036803199909627438
omegacsd_HALSES,rmsd85-opt,0.0038520819507539272
omegacsd_HALSES,rmsd61-opt,0.003912279848009348
omegacsd_HALSES,rmsd194-opt,0.0038299618754535913
omegacsd_HALSES,rmsd204-opt,0.00397155899554491
omegacsd_HALSES,rmsd245-opt,0.0076893470250070095
omegacsd_HALSES,rmsd50-opt,0.004495515953749418
omegacsd_HALSES,rmsd225-opt,0.006036726059392095
omegacsd_HALSES,rmsd74-opt,0.00764223700389266
omegacsd_HALSES,rmsd130-opt,0.00011498294770717621
omegacsd_HALSES,rmsd224-opt,0.004698534961789846
omegacsd_YUKKUK,rmsd157-opt,0.003531903028488159
omegacsd_YUKKUK,rmsd3-opt,0.0038643849547952414
omegacsd_YUKKUK,rmsd242-opt,0.004076224053278565
omegacsd_YUKKUK,rmsd124-opt,0.003647866891697049
omegacsd_YUKKUK,rmsd214-opt,0.0035881181247532368
omegacsd_YUKKUK,rmsd4-opt,0.0035224759485572577
omegacsd_YUKKUK,rmsd200-opt,0.0035328229423612356
omegacsd_YUKKUK,rmsd123-opt,0.00349095999263227
omegacsd_YUKKUK,rmsd158-opt,0.004064637003466487
omegacsd_YUKKUK,rmsd199-opt,0.004099132027477026
omegacsd_VENRUB,rmsd161-opt,0.003021762939170003
omegacsd_VENRUB,rmsd160-opt,0.0035550729371607304
omegacsd_VENRUB,rmsd95-opt,8.034007623791695e-05
omegacsd_VENRUB,rmsd196-opt,0.003106654854491353
omegacsd_VENRUB,rmsd223-opt,0.0029414829332381487
omegacsd_VENRUB,rmsd197-opt,0.003293568966910243
omegacsd_VENRUB,rmsd245-opt,0.0037128690164536238
