mol,geom,seconds
astex_1gm8,rmsd112-opt,2532.908
astex_1gm8,rmsd114-opt,2542.96
astex_1gm8,rmsd115-opt,2548.086
astex_1gm8,rmsd125-opt,2638.995
astex_1gm8,rmsd141-opt,2589.684
astex_1gm8,rmsd162-opt,2566.011
astex_1gm8,rmsd163-opt,2571.444
astex_1gm8,rmsd176-opt,2373.089
astex_1gm8,rmsd35-opt,2403.414
astex_1gm8,rmsd48-opt,2426.459
astex_1hnn,rmsd1-opt,822.561
astex_1hnn,rmsd2-opt,819.346
astex_1hnn,rmsd3-opt,852.844
astex_1hnn,rmsd4-opt,852.409
astex_1hnn,rmsd5-opt,853.051
astex_1hnn,rmsd6-opt,820.506
astex_1hnn,rmsd7-opt,821.908
astex_1hnn,rmsd8-opt,854.66
astex_1ia1,rmsd2-opt,1458.383
astex_1ia1,rmsd40-opt,1456.292
astex_1ia1,rmsd41-opt,1452.775
astex_1ia1,rmsd42-opt,1464.782
astex_1ia1,rmsd43-opt,1467.416
astex_1ia1,rmsd44-opt,1465.611
astex_1ia1,rmsd46-opt,1453.728
astex_1ia1,rmsd47-opt,1452.3
astex_1ia1,rmsd48-opt,1459.318
astex_1ia1,rmsd49-opt,1452.233
astex_1ig3,rmsd121-opt,1419.664
astex_1ig3,rmsd152-opt,1405.837
astex_1ig3,rmsd167-opt,1408.366
astex_1ig3,rmsd171-opt,1405.691
astex_1ig3,rmsd182-opt,1406.98
astex_1ig3,rmsd197-opt,1405.19
astex_1ig3,rmsd222-opt,1409.148
astex_1ig3,rmsd242-opt,1404.709
astex_1ig3,rmsd24-opt,1408.749
astex_1ig3,rmsd56-opt,1406.543
astex_1j3j,rmsd12-opt,1218.141
astex_1j3j,rmsd13-opt,1212.862
astex_1j3j,rmsd15-opt,1205.156
astex_1j3j,rmsd1-opt,1203.725
astex_1j3j,rmsd2-opt,1218.802
astex_1j3j,rmsd3-opt,1208.812
astex_1j3j,rmsd4-opt,1212.991
astex_1j3j,rmsd7-opt,1219.735
astex_1j3j,rmsd8-opt,1210.32
astex_1j3j,rmsd9-opt,1212.126
astex_1jd0,rmsd12-opt,506.931
astex_1jd0,rmsd18-opt,502.194
astex_1jd0,rmsd19-opt,502.276
astex_1jd0,rmsd22-opt,501.571
astex_1jd0,rmsd3-opt,502.289
astex_1jd0,rmsd44-opt,502.614
astex_1jd0,rmsd47-opt,502.184
astex_1jd0,rmsd54-opt,502.571
astex_1jd0,rmsd56-opt,502.463
astex_1jd0,rmsd9-opt,503.388
astex_1l7f,rmsd103-opt,3536.491
astex_1l7f,rmsd124-opt,2892.631
astex_1l7f,rmsd15-opt,2942.599
astex_1l7f,rmsd171-opt,2890.565
astex_1l7f,rmsd197-opt,2951.838
astex_1l7f,rmsd215-opt,3016.556
astex_1l7f,rmsd246-opt,3210.328
astex_1l7f,rmsd76-opt,3216.916
astex_1l7f,rmsd82-opt,3282.302
astex_1l7f,rmsd97-opt,3222.538
astex_1lpz,rmsd111-opt,5808.443
astex_1lpz,rmsd112-opt,5137.641
astex_1lpz,rmsd119-opt,5225.396
astex_1lpz,rmsd11-opt,5595.528
astex_1lpz,rmsd120-opt,5582.516
astex_1lpz,rmsd122-opt,5873.703
astex_1lpz,rmsd200-opt,5751.945
astex_1lpz,rmsd204-opt,5548.022
astex_1lpz,rmsd221-opt,5695.092
astex_1lpz,rmsd242-opt,5691.885
astex_1mmv,rmsd113-opt,1140.155
astex_1mmv,rmsd137-opt,1013.433
astex_1mmv,rmsd138-opt,949.808
astex_1mmv,rmsd146-opt,919.886
astex_1mmv,rmsd15-opt,1136.858
astex_1mmv,rmsd172-opt,1106.997
astex_1mmv,rmsd22-opt,1100.482
astex_1mmv,rmsd44-opt,1110.894
astex_1mmv,rmsd50-opt,1137.442
astex_1mmv,rmsd91-opt,1122.484
astex_1mzc,rmsd10-opt,8174.048
astex_1mzc,rmsd118-opt,8670.577
astex_1mzc,rmsd145-opt,8680.838
astex_1mzc,rmsd14-opt,8530.554
astex_1mzc,rmsd152-opt,8502.358
astex_1mzc,rmsd201-opt,8641.475
astex_1mzc,rmsd202-opt,8298.996
astex_1mzc,rmsd221-opt,8577.813
astex_1mzc,rmsd22-opt,8673.677
astex_1mzc,rmsd250-opt,8573.252
astex_1n1m,rmsd13-opt,814.397
astex_1n1m,rmsd20-opt,813.943
astex_1n1m,rmsd29-opt,808.277
astex_1n1m,rmsd34-opt,807.785
astex_1n1m,rmsd37-opt,809.189
astex_1n1m,rmsd38-opt,810.421
astex_1n1m,rmsd39-opt,810.47
astex_1n1m,rmsd40-opt,808.705
astex_1n1m,rmsd42-opt,808.367
astex_1n1m,rmsd5-opt,809.148
