mol,geom,seconds
astex_1gm8,rmsd112-opt,205.066
astex_1gm8,rmsd114-opt,208.561
astex_1gm8,rmsd115-opt,199.054
astex_1gm8,rmsd125-opt,204.715
astex_1gm8,rmsd141-opt,208.537
astex_1gm8,rmsd162-opt,201.131
astex_1gm8,rmsd163-opt,200.585
astex_1gm8,rmsd176-opt,198.763
astex_1gm8,rmsd35-opt,201.17
astex_1gm8,rmsd48-opt,199.843
astex_1hnn,rmsd1-opt,72.065
astex_1hnn,rmsd2-opt,69.507
astex_1hnn,rmsd3-opt,77.782
astex_1hnn,rmsd4-opt,77.928
astex_1hnn,rmsd5-opt,69.706
astex_1hnn,rmsd6-opt,72.643
astex_1hnn,rmsd7-opt,72.529
astex_1hnn,rmsd8-opt,72.417
astex_1ia1,rmsd2-opt,123.213
astex_1ia1,rmsd40-opt,122.523
astex_1ia1,rmsd41-opt,122.795
astex_1ia1,rmsd42-opt,123.506
astex_1ia1,rmsd43-opt,123.353
astex_1ia1,rmsd44-opt,123.776
astex_1ia1,rmsd46-opt,122.738
astex_1ia1,rmsd47-opt,122.651
astex_1ia1,rmsd48-opt,122.543
astex_1ia1,rmsd49-opt,122.967
astex_1ig3,rmsd121-opt,122.016
astex_1ig3,rmsd152-opt,135.442
astex_1ig3,rmsd167-opt,135.541
astex_1ig3,rmsd171-opt,136.149
astex_1ig3,rmsd182-opt,135.628
astex_1ig3,rmsd197-opt,135.21
astex_1ig3,rmsd222-opt,136.608
astex_1ig3,rmsd242-opt,122.12
astex_1ig3,rmsd24-opt,135.243
astex_1ig3,rmsd56-opt,135.708
astex_1j3j,rmsd12-opt,116.471
astex_1j3j,rmsd13-opt,115.821
astex_1j3j,rmsd15-opt,115.405
astex_1j3j,rmsd1-opt,115.524
astex_1j3j,rmsd2-opt,116.729
astex_1j3j,rmsd3-opt,115.317
astex_1j3j,rmsd4-opt,115.724
astex_1j3j,rmsd7-opt,116.536
astex_1j3j,rmsd8-opt,115.888
astex_1j3j,rmsd9-opt,116.109
astex_1jd0,rmsd12-opt,58.885
astex_1jd0,rmsd18-opt,56.831
astex_1jd0,rmsd19-opt,53.66
astex_1jd0,rmsd22-opt,53.574
astex_1jd0,rmsd3-opt,53.566
astex_1jd0,rmsd44-opt,53.516
astex_1jd0,rmsd47-opt,53.53
astex_1jd0,rmsd54-opt,53.603
astex_1jd0,rmsd56-opt,53.475
astex_1jd0,rmsd9-opt,53.446
astex_1l7f,rmsd103-opt,272.909
astex_1l7f,rmsd124-opt,241.858
astex_1l7f,rmsd15-opt,271.588
astex_1l7f,rmsd171-opt,247.92
astex_1l7f,rmsd197-opt,270.251
astex_1l7f,rmsd215-opt,274.718
astex_1l7f,rmsd246-opt,268.729
astex_1l7f,rmsd76-opt,275.54
astex_1l7f,rmsd82-opt,271.974
astex_1l7f,rmsd97-opt,246.09
astex_1lpz,rmsd111-opt,350.292
astex_1lpz,rmsd112-opt,341.594
astex_1lpz,rmsd119-opt,350.535
astex_1lpz,rmsd11-opt,347.977
astex_1lpz,rmsd120-opt,343.123
astex_1lpz,rmsd122-opt,343.882
