mol,geom,seconds
astex_1gm8,rmsd112-opt,433.485
astex_1gm8,rmsd114-opt,443.653
astex_1gm8,rmsd115-opt,433.242
astex_1gm8,rmsd125-opt,432.3
astex_1gm8,rmsd141-opt,434.473
astex_1gm8,rmsd162-opt,433.406
astex_1gm8,rmsd163-opt,433.305
astex_1gm8,rmsd176-opt,430.932
astex_1gm8,rmsd35-opt,429.941
astex_1gm8,rmsd48-opt,433.588
astex_1hnn,rmsd1-opt,159.43
astex_1hnn,rmsd2-opt,171.784
astex_1hnn,rmsd3-opt,171.513
astex_1hnn,rmsd4-opt,171.288
astex_1hnn,rmsd5-opt,153.531
astex_1hnn,rmsd6-opt,153.34
astex_1hnn,rmsd7-opt,153.436
astex_1hnn,rmsd8-opt,171.489
astex_1ia1,rmsd2-opt,260.294
astex_1ia1,rmsd40-opt,258.21
astex_1ia1,rmsd41-opt,258.597
astex_1ia1,rmsd42-opt,260.111
astex_1ia1,rmsd43-opt,259.678
astex_1ia1,rmsd44-opt,260.544
astex_1ia1,rmsd46-opt,257.962
astex_1ia1,rmsd47-opt,258.018
astex_1ia1,rmsd48-opt,257.17
astex_1ia1,rmsd49-opt,257.796
astex_1ig3,rmsd121-opt,251.446
astex_1ig3,rmsd152-opt,248.48
astex_1ig3,rmsd167-opt,248.581
astex_1ig3,rmsd171-opt,249.858
astex_1ig3,rmsd182-opt,248.967
astex_1ig3,rmsd197-opt,248.582
astex_1ig3,rmsd222-opt,250.05
astex_1ig3,rmsd242-opt,249.446
astex_1ig3,rmsd24-opt,249.532
astex_1ig3,rmsd56-opt,248.799
astex_1j3j,rmsd12-opt,258.246
astex_1j3j,rmsd13-opt,259.201
astex_1j3j,rmsd15-opt,254.746
astex_1j3j,rmsd1-opt,255.151
astex_1j3j,rmsd2-opt,257.817
astex_1j3j,rmsd3-opt,254.463
astex_1j3j,rmsd4-opt,255.287
astex_1j3j,rmsd7-opt,257.459
astex_1j3j,rmsd8-opt,254.422
astex_1j3j,rmsd9-opt,258.706
astex_1jd0,rmsd12-opt,107.256
astex_1jd0,rmsd18-opt,107.351
astex_1jd0,rmsd19-opt,107.428
astex_1jd0,rmsd22-opt,107.414
astex_1jd0,rmsd3-opt,107.465
astex_1jd0,rmsd44-opt,107.395
astex_1jd0,rmsd47-opt,107.427
astex_1jd0,rmsd54-opt,107.458
astex_1jd0,rmsd56-opt,107.401
astex_1jd0,rmsd9-opt,107.151
astex_1l7f,rmsd103-opt,524.813
astex_1l7f,rmsd124-opt,473.844
