mol,geom,seconds
astex_1gm8,rmsd112-opt,669.782
astex_1gm8,rmsd114-opt,649.506
astex_1gm8,rmsd115-opt,589.109
astex_1gm8,rmsd125-opt,614.679
astex_1gm8,rmsd141-opt,588.174
astex_1gm8,rmsd162-opt,593.669
astex_1gm8,rmsd163-opt,679.262
astex_1gm8,rmsd176-opt,600.007
astex_1gm8,rmsd35-opt,619.556
astex_1gm8,rmsd48-opt,677.724
astex_1hnn,rmsd1-opt,158.773
astex_1hnn,rmsd2-opt,167.355
astex_1hnn,rmsd3-opt,166.841
astex_1hnn,rmsd4-opt,167.46
astex_1hnn,rmsd5-opt,167.143
astex_1hnn,rmsd6-opt,167.004
astex_1hnn,rmsd7-opt,167.276
astex_1hnn,rmsd8-opt,167.094
astex_1ia1,rmsd2-opt,360.087
astex_1ia1,rmsd40-opt,358.542
astex_1ia1,rmsd41-opt,358.568
astex_1ia1,rmsd42-opt,361.99
astex_1ia1,rmsd43-opt,343.528
astex_1ia1,rmsd44-opt,361.773
astex_1ia1,rmsd46-opt,358.779
astex_1ia1,rmsd47-opt,358.209
astex_1ia1,rmsd48-opt,359.715
astex_1ia1,rmsd49-opt,361.7
astex_1ig3,rmsd121-opt,617.645
astex_1ig3,rmsd152-opt,609.869
astex_1ig3,rmsd167-opt,600.648
astex_1ig3,rmsd171-opt,611.97
astex_1ig3,rmsd182-opt,596.994
astex_1ig3,rmsd197-opt,602.743
astex_1ig3,rmsd222-opt,609.935
astex_1ig3,rmsd242-opt,604.862
astex_1ig3,rmsd24-opt,625.729
astex_1ig3,rmsd56-opt,617.29
astex_1j3j,rmsd12-opt,254.328
astex_1j3j,rmsd13-opt,253.287
astex_1j3j,rmsd15-opt,250.8
astex_1j3j,rmsd1-opt,251.794
astex_1j3j,rmsd2-opt,255.299
astex_1j3j,rmsd3-opt,251.501
astex_1j3j,rmsd4-opt,252.61
astex_1j3j,rmsd7-opt,254.658
astex_1j3j,rmsd8-opt,252.303
astex_1j3j,rmsd9-opt,252.331
astex_1jd0,rmsd12-opt,118.95
astex_1jd0,rmsd18-opt,118.785
astex_1jd0,rmsd19-opt,118.764
astex_1jd0,rmsd22-opt,118.968
astex_1jd0,rmsd3-opt,118.903
astex_1jd0,rmsd44-opt,118.82
astex_1jd0,rmsd47-opt,119.127
astex_1jd0,rmsd54-opt,119.11
astex_1jd0,rmsd56-opt,118.935
astex_1jd0,rmsd9-opt,118.833
astex_1l7f,rmsd103-opt,648.775
astex_1l7f,rmsd124-opt,616.136
astex_1l7f,rmsd15-opt,641.105
astex_1l7f,rmsd171-opt,611.416
astex_1l7f,rmsd197-opt,648.464
astex_1l7f,rmsd215-opt,649.103
astex_1l7f,rmsd246-opt,638.32
astex_1l7f,rmsd76-opt,664.4
astex_1l7f,rmsd82-opt,653.592
astex_1l7f,rmsd97-opt,615.935
astex_1lpz,rmsd111-opt,1217.186
astex_1lpz,rmsd112-opt,1212.485
astex_1lpz,rmsd119-opt,1244.699
astex_1lpz,rmsd11-opt,1213.563
astex_1lpz,rmsd120-opt,1211.333
astex_1lpz,rmsd122-opt,1212.539
astex_1lpz,rmsd200-opt,1202.374
astex_1lpz,rmsd204-opt,1218.499
astex_1lpz,rmsd221-opt,1208.194
astex_1lpz,rmsd242-opt,1247.03
astex_1mmv,rmsd113-opt,175.051
astex_1mmv,rmsd137-opt,182.152
astex_1mmv,rmsd138-opt,187.137
astex_1mmv,rmsd146-opt,160.601
astex_1mmv,rmsd15-opt,183.231
astex_1mmv,rmsd172-opt,186.284
astex_1mmv,rmsd22-opt,184.642
astex_1mmv,rmsd44-opt,184.408
astex_1mmv,rmsd50-opt,179.196
astex_1mmv,rmsd91-opt,173.143
astex_1mzc,rmsd10-opt,1539.271
astex_1mzc,rmsd118-opt,1673.787
astex_1mzc,rmsd145-opt,1687.798
astex_1mzc,rmsd14-opt,1708.021
astex_1mzc,rmsd152-opt,1658.634
astex_1mzc,rmsd201-opt,1596.347
astex_1mzc,rmsd202-opt,1548.066
astex_1mzc,rmsd221-opt,1579.556
astex_1mzc,rmsd22-opt,1643.707
astex_1n1m,rmsd13-opt,148.185
astex_1n1m,rmsd20-opt,147.683
astex_1n1m,rmsd29-opt,147.853
astex_1n1m,rmsd34-opt,148.556
astex_1n1m,rmsd37-opt,147.729
astex_1n1m,rmsd38-opt,147.758
astex_1n1m,rmsd39-opt,147.883
astex_1n1m,rmsd40-opt,146.176
astex_1n1m,rmsd42-opt,143.888
astex_1n1m,rmsd5-opt,144.895
astex_1of6,rmsd100-opt,122.141
astex_1of6,rmsd102-opt,122.466
astex_1of6,rmsd103-opt,122.29
astex_1of6,rmsd104-opt,122.269
astex_1of6,rmsd105-opt,122.058
astex_1of6,rmsd106-opt,121.741
astex_1of6,rmsd107-opt,122.259
astex_1of6,rmsd135-opt,121.759
astex_1of6,rmsd142-opt,122.013
astex_1of6,rmsd143-opt,121.69
astex_1oq5,rmsd1-opt,533.084
astex_1oq5,rmsd2-opt,526.675
astex_1oq5,rmsd3-opt,535.48
astex_1oq5,rmsd4-opt,530.879
astex_1oq5,rmsd5-opt,527.712
astex_1oq5,rmsd6-opt,516.305
astex_1oq5,rmsd7-opt,547.751
astex_1oq5,rmsd8-opt,552.787
astex_1owe,rmsd103-opt,340.891
astex_1owe,rmsd122-opt,340.221
astex_1owe,rmsd129-opt,340.167
astex_1owe,rmsd130-opt,340.454
astex_1owe,rmsd131-opt,340.956
astex_1owe,rmsd137-opt,339.756
astex_1owe,rmsd146-opt,339.118
astex_1owe,rmsd148-opt,338.968
astex_1owe,rmsd149-opt,339.082
astex_1owe,rmsd153-opt,341.217
astex_1oyt,rmsd111-opt,1071.416
astex_1oyt,rmsd124-opt,1061.839
astex_1oyt,rmsd125-opt,1060.134
astex_1oyt,rmsd207-opt,1050.36
astex_1oyt,rmsd214-opt,1057.812
astex_1oyt,rmsd31-opt,1082.172
astex_1oyt,rmsd35-opt,1048.226
astex_1oyt,rmsd42-opt,1054.528
astex_1oyt,rmsd43-opt,1139.737
astex_1oyt,rmsd97-opt,1134.781
astex_1p2y,rmsd11-opt,134.075
astex_1p2y,rmsd12-opt,134.21
astex_1p2y,rmsd1-opt,134.246
astex_1p2y,rmsd3-opt,138.319
astex_1p2y,rmsd4-opt,134.206
astex_1p2y,rmsd5-opt,134.383
astex_1p2y,rmsd6-opt,134.618
astex_1p2y,rmsd7-opt,134.651
astex_1p2y,rmsd8-opt,134.629
astex_1p2y,rmsd9-opt,133.846
astex_1pmn,rmsd121-opt,1057.905
astex_1pmn,rmsd122-opt,1059.634
astex_1pmn,rmsd146-opt,1085.699
astex_1pmn,rmsd179-opt,1082.798
astex_1pmn,rmsd194-opt,1138.658
astex_1pmn,rmsd210-opt,1113.742
astex_1pmn,rmsd53-opt,1086.516
astex_1pmn,rmsd71-opt,1108.907
astex_1pmn,rmsd74-opt,1115.125
astex_1pmn,rmsd90-opt,1156.689
astex_1q1g,rmsd14-opt,427.143
astex_1q1g,rmsd28-opt,487.641
astex_1q1g,rmsd30-opt,418.348
astex_1q1g,rmsd33-opt,433.017
astex_1q1g,rmsd34-opt,432.699
astex_1q1g,rmsd37-opt,508.556
astex_1q1g,rmsd48-opt,422.296
astex_1q1g,rmsd52-opt,435.556
astex_1q1g,rmsd57-opt,432.806
astex_1q1g,rmsd9-opt,433.563
astex_1r1h,rmsd129-opt,879.611
astex_1r1h,rmsd150-opt,879.348
astex_1r1h,rmsd192-opt,794.638
astex_1r1h,rmsd199-opt,885.447
astex_1r1h,rmsd22-opt,881.258
astex_1r1h,rmsd234-opt,806.403
astex_1r1h,rmsd248-opt,767.964
astex_1r1h,rmsd44-opt,893.228
astex_1r1h,rmsd51-opt,872.796
astex_1r1h,rmsd64-opt,757.481
astex_1s3v,rmsd117-opt,779.426
astex_1s3v,rmsd118-opt,776.665
astex_1s3v,rmsd132-opt,775.239
astex_1s3v,rmsd133-opt,780.742
astex_1s3v,rmsd134-opt,787.734
astex_1s3v,rmsd141-opt,793.092
astex_1s3v,rmsd142-opt,795.852
astex_1s3v,rmsd184-opt,794.853
astex_1s3v,rmsd185-opt,777.559
astex_1s3v,rmsd248-opt,764.956
astex_1sj0,rmsd105-opt,1300.678
astex_1sj0,rmsd109-opt,1238.074
astex_1sj0,rmsd116-opt,1346.146
astex_1sj0,rmsd119-opt,1388.99
astex_1sj0,rmsd123-opt,1318.696
astex_1sj0,rmsd124-opt,1321.875
astex_1sj0,rmsd213-opt,1308.568
astex_1sj0,rmsd238-opt,1322.175
astex_1sj0,rmsd60-opt,1285.989
astex_1sj0,rmsd97-opt,1276.097
astex_1t46,rmsd110-opt,1749.722
astex_1t46,rmsd118-opt,1770.859
astex_1t46,rmsd12-opt,1462.986
astex_1t46,rmsd157-opt,1782.409
astex_1t46,rmsd181-opt,1307.371
astex_1t46,rmsd1-opt,1739.947
astex_1t46,rmsd211-opt,1434.898
astex_1t46,rmsd225-opt,1394.174
astex_1t46,rmsd53-opt,1585.818
astex_1t46,rmsd8-opt,1520.312
astex_1tt1,rmsd127-opt,223.773
astex_1tt1,rmsd191-opt,213.529
astex_1tt1,rmsd192-opt,211.985
astex_1tt1,rmsd193-opt,211.819
astex_1tt1,rmsd245-opt,212.256
astex_1tt1,rmsd247-opt,211.43
astex_1tt1,rmsd52-opt,212.8
astex_1tt1,rmsd6-opt,223.45
astex_1tt1,rmsd74-opt,223.824
astex_1tt1,rmsd97-opt,212.936
astex_1uou,rmsd13-opt,193.835
astex_1uou,rmsd20-opt,194.694
astex_1uou,rmsd31-opt,198.255
astex_1uou,rmsd40-opt,193.811
astex_1uou,rmsd46-opt,194.635
astex_1uou,rmsd4-opt,194.571
astex_1uou,rmsd54-opt,194.983
astex_1uou,rmsd65-opt,193.7
astex_1uou,rmsd66-opt,194.64
astex_1uou,rmsd67-opt,193.9
astex_1vcj,rmsd110-opt,791.405
astex_1vcj,rmsd115-opt,762.803
astex_1vcj,rmsd13-opt,746.856
astex_1vcj,rmsd158-opt,768.156
astex_1vcj,rmsd169-opt,734.97
astex_1vcj,rmsd176-opt,727.273
astex_1vcj,rmsd182-opt,778.057
astex_1vcj,rmsd221-opt,815.681
astex_1vcj,rmsd65-opt,725.952
astex_1vcj,rmsd90-opt,774.231
astex_1y6b,rmsd135-opt,1034.12
astex_1y6b,rmsd175-opt,1039.223
astex_1y6b,rmsd19-opt,1131.627
astex_1y6b,rmsd212-opt,1165.241
astex_1y6b,rmsd33-opt,1025.928
astex_1y6b,rmsd36-opt,1057.151
astex_1y6b,rmsd57-opt,1053.811
astex_1y6b,rmsd61-opt,1107.941
astex_1y6b,rmsd78-opt,1006.45
astex_1y6b,rmsd84-opt,988.202
astex_1ygc,rmsd10-opt,1500.66
astex_1ygc,rmsd115-opt,1255.685
astex_1ygc,rmsd117-opt,1259.439
astex_1ygc,rmsd124-opt,1242.823
astex_1ygc,rmsd151-opt,1281.252
astex_1ygc,rmsd159-opt,1293.664
astex_1ygc,rmsd203-opt,1521.227
astex_1ygc,rmsd5-opt,1320.655
astex_1ygc,rmsd95-opt,1539.37
astex_1ygc,rmsd97-opt,1200.255
astex_1ywr,rmsd106-opt,1075.868
astex_1ywr,rmsd124-opt,1117.798
astex_1ywr,rmsd129-opt,1184.982
astex_1ywr,rmsd160-opt,1165.175
astex_1ywr,rmsd169-opt,1167.562
astex_1ywr,rmsd16-opt,1166.668
astex_1ywr,rmsd222-opt,1213.225
astex_1ywr,rmsd32-opt,1205.721
astex_1ywr,rmsd59-opt,1541.777
astex_1ywr,rmsd63-opt,1298.743
astex_2bm2,rmsd166-opt,1205.074
astex_2bm2,rmsd183-opt,1203.931
astex_2bm2,rmsd197-opt,1199.442
astex_2bm2,rmsd200-opt,1242.333
astex_2bm2,rmsd205-opt,1248.75
astex_2bm2,rmsd208-opt,1223.893
astex_2bm2,rmsd238-opt,1227.287
astex_2bm2,rmsd249-opt,1262.482
astex_2bm2,rmsd71-opt,1271.959
astex_2bm2,rmsd91-opt,1262.666
omegacsd_ABXBPC,rmsd146-opt,445.855
omegacsd_ABXBPC,rmsd170-opt,428.803
omegacsd_ABXBPC,rmsd172-opt,428.572
omegacsd_ABXBPC,rmsd17-opt,399.653
omegacsd_ABXBPC,rmsd235-opt,448.089
omegacsd_ABXBPC,rmsd42-opt,436.68
omegacsd_ABXBPC,rmsd44-opt,389.448
omegacsd_ABXBPC,rmsd65-opt,403.577
omegacsd_ABXBPC,rmsd95-opt,435.976
omegacsd_ABXBPC,rmsd9-opt,399.677
omegacsd_AURMIN,rmsd27-opt,335.762
omegacsd_AURMIN,rmsd31-opt,336.628
omegacsd_AURMIN,rmsd33-opt,335.205
omegacsd_AURMIN,rmsd34-opt,334.685
omegacsd_AURMIN,rmsd35-opt,335.398
omegacsd_AURMIN,rmsd37-opt,334.78
omegacsd_AURMIN,rmsd38-opt,333.692
omegacsd_AURMIN,rmsd39-opt,336.183
omegacsd_AURMIN,rmsd40-opt,339.58
omegacsd_AURMIN,rmsd4-opt,337.832
omegacsd_BAFJEX10,rmsd106-opt,357.635
omegacsd_BAFJEX10,rmsd109-opt,322.159
