mol,geom,dlpno,mp2,wb97x,b97-3c,pbe,pbe-svp,pbeh-3c,b3lyp-tz,b3lyp-svp,gfn0,gfn,gfn2,pm7,mmff,uff,gaff,ani-1x,ani-1ccx,ani-2x,ani-1x-d3,ani-1x-d4,ani-2x-d3,ani-2x-d4,bob,bat,battynatoms
astex_1gm8,rmsd112-opt,25762.362,2532.908,2861.9320000000002,430.74,433.485,205.06599999999997,669.7819999999999,2063.7670000000003,390.046,0.069,1.7,1.28,0.055,0.00011039106175303459,8.251611143350601e-05,8.883187547326088e-05,,,3.6881642059888686,,,3.7061642059888684,3.7061642059888684,,,
astex_1gm8,rmsd114-opt,26643.368,2542.96,2821.742,461.779,443.653,208.56099999999998,649.506,2069.593,388.529,0.052000000000000005,4.91,1.03,0.055,9.019719436764716e-05,7.253512740135193e-05,7.645017467439175e-05,,,3.860565240960568,,,3.873565240960568,3.873565240960568,,,
astex_1gm8,rmsd115-opt,24452.53,2548.0860000000002,2730.367,463.275,433.24199999999996,199.054,589.109,1925.796,388.325,0.057999999999999996,5.4,1.68,0.051,0.0049341979902237645,0.0011677839793264866,0.00660789804533124,,,3.9410608309553936,,,3.9550608309553934,3.9550608309553934,,,
astex_1gm8,rmsd125-opt,25778.203999999998,2638.995,2717.011,446.01599999999996,432.3,204.715,614.679,1778.879,387.465,0.042,1.63,1.48,0.043,0.0039658728055655965,0.0009736588690429926,0.005059560993686318,,,3.8663675570860505,,,3.8793675570860504,3.8793675570860504,,,
astex_1gm8,rmsd141-opt,25867.109,2589.6839999999997,2675.013,431.67199999999997,434.473,208.537,588.174,1774.155,385.36800000000005,0.059000000000000004,4.89,0.94,0.043,0.004436003975570203,0.0009183208458125591,0.004962726961821318,,,3.5313173880567774,,,3.5443173880567773,3.5443173880567773,,,
astex_1gm8,rmsd162-opt,26124.915,2566.011,2684.259,440.327,433.406,201.13099999999997,593.669,1777.865,385.151,0.191,3.61,1.08,0.043,8.02110880613327e-05,5.938601680099965e-05,6.41250517219305e-05,,,3.5584926389856264,,,3.5754926389856263,3.5754926389856263,0.140691042,0.179188967,0.145197868
astex_1gm8,rmsd163-opt,25613.882999999998,2571.444,2571.475,422.723,433.305,200.585,679.262,1772.493,386.159,0.049,2.58,1.11,0.047,9.607686661183834e-05,7.133721373975277e-05,7.734494283795357e-05,,,3.581764939939603,,,3.598764939939603,3.598764939939603,0.140936852,0.179237127,0.144624472
astex_1gm8,rmsd176-opt,25120.31,2373.089,2649.478,418.037,430.93199999999996,198.763,600.007,1839.529,386.67400000000004,0.040999999999999995,4.05,1.03,0.047,8.559995330870153e-05,0.0001884540542960167,8.440599776804447e-05,,,3.7530991219682615,,,3.7660991219682614,3.7660991219682614,0.141036034,0.179096699,0.145306587
astex_1gm8,rmsd35-opt,23475.043999999998,2403.4139999999998,2606.765,429.17,429.941,201.17,619.556,1941.655,385.654,0.068,5.27,2.17,0.051,8.7980879470706e-05,6.582704372704029e-05,6.931903772056104e-05,,,3.7181563300546263,,,3.732156330054626,3.732156330054626,0.140448093,0.179198503,0.144582033
astex_1gm8,rmsd48-opt,25453.742000000002,2426.459,2557.119,423.934,433.588,199.843,677.7239999999999,1943.8039999999999,386.09,0.07,4.9,0.91,0.051,0.00012456206604838369,0.0001033269800245762,7.517612539231777e-05,,,3.7248643449274814,,,3.7378643449274813,3.7378643449274813,0.14086937900000002,0.178943872,0.144076347
astex_1hnn,rmsd1-opt,10643.657,822.561,1046.34,56.216,159.43,72.065,158.773,636.373,147.447,0.08199999999999999,2.59,0.74,0.031,0.0033861659467220306,0.0009097089059650898,0.006419646088033914,,,3.633047505049035,,,3.646047505049035,3.646047505049035,,,
astex_1hnn,rmsd2-opt,10710.013,819.346,1004.176,58.736000000000004,171.78400000000002,69.507,167.355,638.745,146.921,0.040999999999999995,3.19,0.68,0.027000000000000003,0.003031820058822632,0.0010984730906784532,0.007090257015079259,,,3.4958438129397114,,,3.5088438129397113,3.5088438129397113,,,
astex_1hnn,rmsd3-opt,10712.571000000002,852.8439999999999,1053.193,63.769,171.513,77.782,166.84099999999998,637.638,135.102,0.053,3.24,0.75,0.031,0.0024725268594920635,0.0006594269070774318,0.004906011978164315,,,3.504762507975101,,,3.516762507975101,3.516762507975101,,,
astex_1hnn,rmsd4-opt,10703.925,852.409,1052.374,58.663999999999994,171.28799999999998,77.928,167.46,637.947,135.85399999999998,0.057999999999999996,1.26,0.88,0.031,0.003262250917032361,0.0011895119678229096,0.0074362310115247965,,,3.627345009939745,,,3.639345009939745,3.639345009939745,,,
astex_1hnn,rmsd5-opt,10177.966,853.051,1049.274,63.653999999999996,153.531,69.706,167.143,639.6080000000001,134.707,0.049,3.57,0.69,0.031,0.003538775024935603,0.0009597539901733398,0.00517743406817317,,,3.944683482055552,,,3.956683482055552,3.956683482055552,,,
astex_1hnn,rmsd6-opt,10000.514000000001,820.5060000000001,1053.45,63.849,153.34,72.643,167.00400000000002,639.8009999999999,134.681,0.039,0.73,1.0,0.031,0.002563562942668796,0.0009874668903648851,0.005212745163589716,,,3.5512179150246084,,,3.5632179150246084,3.5632179150246084,0.141011,0.179213762,0.14458036400000002
astex_1hnn,rmsd7-opt,10117.61,821.908,1048.979,63.773999999999994,153.436,72.529,167.27599999999998,638.039,135.099,0.036000000000000004,6.65,0.83,0.031,0.002145217964425683,0.0006389701738953589,0.006171972956508398,,,3.4051158599322657,,,3.4191158599322655,3.4191158599322655,0.14052248,0.179213762,0.145004272
astex_1hnn,rmsd8-opt,10227.607,854.66,1051.231,63.773,171.489,72.417,167.09400000000002,638.67,134.565,0.048,3.71,2.39,0.035,0.0021060239523649216,0.0007070149295032023,0.007074226858094335,,,3.4463871270418167,,,3.4593871270418166,3.4593871270418166,0.141114712,0.17915463399999998,0.144494772
astex_1ia1,rmsd2-opt,17153.168,1458.3829999999998,1664.39,105.546,260.29400000000004,123.213,360.087,1165.421,227.05900000000003,0.063,3.87,0.77,0.039,0.003476531943306327,0.0009675610344856976,0.0057550258934497825,,,3.6839418179588392,,,3.696941817958839,3.696941817958839,,,
astex_1ia1,rmsd40-opt,17653.404,1456.2920000000001,1657.2479999999998,102.14399999999999,258.21,122.523,358.542,1161.358,226.00599999999997,0.049,3.06,0.9,0.035,6.903195753693579e-05,4.489487037062645e-05,5.084695294499397e-05,,,3.535848384024576,,,3.5488483840245757,3.5488483840245757,,,
astex_1ia1,rmsd41-opt,17578.221,1452.775,1657.3870000000002,101.34899999999999,258.597,122.795,358.56800000000004,1164.999,226.77599999999998,0.187,3.12,1.01,0.039,7.568299770355225e-05,5.28369564563036e-05,4.26021870225668e-05,,,3.530383147066459,,,3.543383147066459,3.543383147066459,,,
astex_1ia1,rmsd42-opt,17034.139,1464.7820000000002,1670.8229999999999,102.236,260.111,123.506,361.99,1166.549,226.231,0.048,0.77,0.87,0.035,0.003007357008755207,0.0007661280687898397,0.005462674191221596,,,3.9249204699881375,,,3.9379204699881374,3.9379204699881374,,,
