mol,geom,seconds
omegacsd_FAHXIV,rmsd126-opt,0.0014756419695913792
omegacsd_FAHXIV,rmsd118-opt,5.132704973220825e-05
omegacsd_FAHXIV,rmsd149-opt,0.000762701965868473
omegacsd_FAHXIV,rmsd104-opt,0.0007636540103703737
omegacsd_FAHXIV,rmsd150-opt,4.608184099197388e-05
omegacsd_FAHXIV,rmsd132-opt,0.0007508329581469297
omegacsd_FAHXIV,rmsd151-opt,4.6647852286696434e-05
omegacsd_FAHXIV,rmsd201-opt,4.534795880317688e-05
omegacsd_FAHXIV,rmsd42-opt,0.0007573009934276342
omegacsd_FAHXIV,rmsd189-opt,0.0007592211477458477
astex_1tow,rmsd103-opt,0.0007339469157159328
astex_1tow,rmsd160-opt,4.3561914935708046e-05
astex_1tow,rmsd102-opt,6.24549575150013e-05
astex_1tow,rmsd110-opt,0.0007551291491836309
astex_1tow,rmsd186-opt,0.0007392361294478178
astex_1tow,rmsd109-opt,0.0007617059163749218
astex_1tow,rmsd154-opt,4.409882239997387e-05
astex_1tow,rmsd155-opt,4.3637119233608246e-05
astex_1tow,rmsd187-opt,0.0007476750761270523
astex_1tow,rmsd158-opt,4.39921859651804e-05
omegacsd_DUMTAG,rmsd124-opt,0.0008894680067896843
omegacsd_DUMTAG,rmsd100-opt,0.0008960519917309284
omegacsd_DUMTAG,rmsd110-opt,0.0009475930128246546
omegacsd_DUMTAG,rmsd18-opt,0.0009642879012972116
omegacsd_DUMTAG,rmsd182-opt,0.0008959011174738407
omegacsd_DUMTAG,rmsd140-opt,0.0008869760204106569
omegacsd_DUMTAG,rmsd128-opt,0.0008970920462161303
omegacsd_DUMTAG,rmsd117-opt,0.0008491878397762775
omegacsd_DUMTAG,rmsd116-opt,5.510682240128517e-05
omegacsd_DUMTAG,rmsd120-opt,0.0008734359871596098
omegacsd_SAVYET,rmsd157-opt,0.0007281000725924969
omegacsd_SAVYET,rmsd161-opt,4.7412002459168434e-05
omegacsd_SAVYET,rmsd169-opt,0.0007334910333156586
omegacsd_SAVYET,rmsd162-opt,0.0007226001471281052
omegacsd_SAVYET,rmsd159-opt,0.0007298290729522705
omegacsd_SAVYET,rmsd200-opt,0.0007396710570901632
omegacsd_SAVYET,rmsd132-opt,0.0007333660032600164
omegacsd_SAVYET,rmsd129-opt,0.000721244141459465
omegacsd_SAVYET,rmsd116-opt,0.0007205989677459002
omegacsd_SAVYET,rmsd91-opt,0.0007230821065604687
omegacsd_COKBOT,rmsd178-opt,0.0011687360238283873
omegacsd_COKBOT,rmsd60-opt,0.001306869089603424
omegacsd_COKBOT,rmsd25-opt,0.0016274999361485243
omegacsd_COKBOT,rmsd62-opt,0.0011744680814445019
omegacsd_COKBOT,rmsd1-opt,0.0012006689794361591
omegacsd_COKBOT,rmsd22-opt,0.0010910530108958483
omegacsd_COKBOT,rmsd59-opt,0.0011570500209927559
omegacsd_COKBOT,rmsd20-opt,0.0011481649708002806
omegacsd_COKBOT,rmsd152-opt,0.0010646949522197247
omegacsd_COKBOT,rmsd21-opt,0.001364641822874546
omegacsd_DEBBER,rmsd168-opt,0.0011473239865154028
omegacsd_DEBBER,rmsd243-opt,0.0011701029725372791
omegacsd_DEBBER,rmsd217-opt,0.0018143870402127504
omegacsd_DEBBER,rmsd170-opt,0.001190690090879798
omegacsd_DEBBER,rmsd109-opt,0.0011602200102061033
omegacsd_DEBBER,rmsd250-opt,0.0012059600558131933
omegacsd_DEBBER,rmsd111-opt,0.0011425311677157879
omegacsd_DEBBER,rmsd151-opt,0.0011589850764721632
omegacsd_DEBBER,rmsd80-opt,0.00112361297942698
omegacsd_DEBBER,rmsd199-opt,0.0011003799736499786
omegapdb_2byi,rmsd229-opt,0.0009200689382851124
omegapdb_2byi,rmsd78-opt,0.00090359291061759
omegapdb_2byi,rmsd68-opt,0.0008949600160121918
omegapdb_2byi,rmsd114-opt,0.0009095000568777323
omegapdb_2byi,rmsd235-opt,0.0009673910681158304
omegapdb_2byi,rmsd89-opt,6.057112477719784e-05
omegapdb_2byi,rmsd203-opt,0.0009077670983970165
omegapdb_2byi,rmsd180-opt,0.0009034839458763599
omegapdb_2byi,rmsd129-opt,0.0010164999403059483
omegapdb_2byi,rmsd164-opt,0.000948307104408741
omegacsd_GASPUL,rmsd178-opt,0.0011468809098005295
omegacsd_GASPUL,rmsd194-opt,0.0011919639073312283
omegacsd_GASPUL,rmsd184-opt,0.001316920155659318
omegacsd_GASPUL,rmsd179-opt,0.0012437279801815748
omegacsd_GASPUL,rmsd156-opt,0.0011600670404732227
omegacsd_GASPUL,rmsd155-opt,8.209981024265289e-05
omegacsd_GASPUL,rmsd173-opt,0.0011415290646255016
omegacsd_GASPUL,rmsd163-opt,0.001168619841337204
omegacsd_GASPUL,rmsd176-opt,0.001149134011939168
omegacsd_GASPUL,rmsd167-opt,0.0011238460429012775
omegapdb_1eby,rmsd34-opt,0.0027355009224265814
omegapdb_1eby,rmsd238-opt,0.0022656871005892754
omegapdb_1eby,rmsd12-opt,0.0022570339497178793
omegapdb_1eby,rmsd110-opt,0.0022693490609526634
omegapdb_1eby,rmsd18-opt,0.002387729939073324
omegapdb_1eby,rmsd149-opt,0.002346962923184037
omegapdb_1eby,rmsd133-opt,0.002280418062582612
omegapdb_1eby,rmsd32-opt,0.0023271129466593266
omegapdb_1eby,rmsd30-opt,0.002420684089884162
omegapdb_1eby,rmsd21-opt,0.002313656033948064
omegapdb_1hwk,rmsd34-opt,0.0019041711930185556
omegapdb_1hwk,rmsd84-opt,0.0017988800536841154
omegapdb_1hwk,rmsd162-opt,0.0017899211961776018
omegapdb_1hwk,rmsd187-opt,0.0017877379432320595
omegapdb_1hwk,rmsd226-opt,0.002100065117701888
omegapdb_1hwk,rmsd237-opt,0.002010039985179901
omegapdb_1hwk,rmsd131-opt,0.0020884948316961527
omegapdb_1hwk,rmsd64-opt,0.0017588930204510689
omegapdb_1hwk,rmsd139-opt,0.0024077489506453276
omegapdb_1hwk,rmsd98-opt,0.0022657369263470173
astex_1n2v,rmsd24-opt,0.0007259130943566561
astex_1n2v,rmsd12-opt,0.0005867460276931524
astex_1n2v,rmsd35-opt,0.0006163502112030983
astex_1n2v,rmsd63-opt,0.000605918001383543
astex_1n2v,rmsd36-opt,0.0007630030158907175
astex_1n2v,rmsd8-opt,0.0006010779179632664
astex_1n2v,rmsd22-opt,0.0006431411020457745
astex_1n2v,rmsd59-opt,0.0007997290231287479
astex_1n2v,rmsd64-opt,3.880099393427372e-05
astex_1n2v,rmsd65-opt,3.811810165643692e-05
omegacsd_DAFTOT,rmsd147-opt,0.0009559548925608397
omegacsd_DAFTOT,rmsd179-opt,0.001030992018058896
omegacsd_DAFTOT,rmsd110-opt,0.001499698031693697
omegacsd_DAFTOT,rmsd182-opt,0.001130003947764635
omegacsd_DAFTOT,rmsd159-opt,0.0009638769552111626
omegacsd_DAFTOT,rmsd193-opt,0.001076000975444913
omegacsd_DAFTOT,rmsd66-opt,0.0010476389434188604
omegacsd_DAFTOT,rmsd201-opt,0.0008836148772388697
omegacsd_DAFTOT,rmsd235-opt,0.000966919818893075
omegacsd_DAFTOT,rmsd138-opt,0.0008871869649738073
omegacsd_CMANPQ,rmsd24-opt,0.0011702089104801416
omegacsd_CMANPQ,rmsd238-opt,0.001087669050320983
omegacsd_CMANPQ,rmsd195-opt,0.0009701801463961601
omegacsd_CMANPQ,rmsd230-opt,0.00102058588527143
omegacsd_CMANPQ,rmsd54-opt,0.000997189898043871
omegacsd_CMANPQ,rmsd233-opt,7.16191716492176e-05
omegacsd_CMANPQ,rmsd187-opt,0.0011177829001098871
omegacsd_CMANPQ,rmsd244-opt,0.001208385918289423
omegacsd_CMANPQ,rmsd201-opt,0.0010013352148234844
omegacsd_CMANPQ,rmsd234-opt,0.001016839873045683
omegapdb_2j34,rmsd185-opt,0.0014274981804192066
omegapdb_2j34,rmsd73-opt,0.0012268018908798695
omegapdb_2j34,rmsd119-opt,0.001188552938401699
omegapdb_2j34,rmsd18-opt,0.0011558551341295242
omegapdb_2j34,rmsd250-opt,0.0011547610629349947
omegapdb_2j34,rmsd138-opt,0.0013809618540108204
omegapdb_2j34,rmsd213-opt,0.0011590858921408653
omegapdb_2j34,rmsd80-opt,0.0011619229335337877
omegapdb_2j34,rmsd65-opt,0.0012047539930790663
omegapdb_2j34,rmsd139-opt,0.0012866209726780653
omegacsd_GEJLAI,rmsd207-opt,0.0007439057808369398
omegacsd_GEJLAI,rmsd228-opt,0.0007109250873327255
omegacsd_GEJLAI,rmsd206-opt,0.0008015150669962168
omegacsd_GEJLAI,rmsd184-opt,4.210788756608963e-05
omegacsd_GEJLAI,rmsd241-opt,0.0006696560885757208
omegacsd_GEJLAI,rmsd248-opt,0.0008221210446208715
omegacsd_GEJLAI,rmsd1-opt,0.0008000789675861597
omegacsd_GEJLAI,rmsd244-opt,0.0007116238120943308
omegacsd_GEJLAI,rmsd245-opt,4.9720052629709244e-05
omegacsd_GEJLAI,rmsd174-opt,0.0007180860266089439
omegacsd_FUNXUH,rmsd34-opt,0.0007327420171350241
omegacsd_FUNXUH,rmsd24-opt,0.0007216490339487791
omegacsd_FUNXUH,rmsd35-opt,0.0007197360973805189
omegacsd_FUNXUH,rmsd45-opt,0.0007219740655273199
omegacsd_FUNXUH,rmsd15-opt,0.0007827780209481716
omegacsd_FUNXUH,rmsd14-opt,5.011982284486294e-05
omegacsd_FUNXUH,rmsd7-opt,0.000739722978323698
omegacsd_FUNXUH,rmsd29-opt,0.0007129339501261711
omegacsd_FUNXUH,rmsd38-opt,0.0008506551384925842
omegacsd_FUNXUH,rmsd28-opt,0.0006931168027222157
omegacsd_SPIRIL,rmsd113-opt,0.001322960015386343
omegacsd_SPIRIL,rmsd94-opt,0.0012699521612375975
omegacsd_SPIRIL,rmsd12-opt,0.0013001291081309319
omegacsd_SPIRIL,rmsd109-opt,0.00140266097150743
omegacsd_SPIRIL,rmsd44-opt,0.0013941139914095402
omegacsd_SPIRIL,rmsd36-opt,0.001247714040800929
omegacsd_SPIRIL,rmsd19-opt,0.0013984739780426025
omegacsd_SPIRIL,rmsd121-opt,0.0012980969622731209
omegacsd_SPIRIL,rmsd20-opt,0.0012768369633704424
omegacsd_SPIRIL,rmsd246-opt,0.0015433020889759064
omegacsd_SIHVUA,rmsd157-opt,0.0006628129631280899
omegacsd_SIHVUA,rmsd171-opt,0.0007182240951806307
omegacsd_SIHVUA,rmsd124-opt,0.0006598199252039194
omegacsd_SIHVUA,rmsd119-opt,0.0009504689369350672
omegacsd_SIHVUA,rmsd118-opt,0.0006375741213560104
omegacsd_SIHVUA,rmsd158-opt,0.0005868109874427319
omegacsd_SIHVUA,rmsd115-opt,0.0005887898150831461
omegacsd_SIHVUA,rmsd143-opt,0.000620933948084712
omegacsd_SIHVUA,rmsd128-opt,0.0005820139776915312
omegacsd_SIHVUA,rmsd17-opt,3.442494198679924e-05
omegacsd_VEXROF,rmsd57-opt,0.0009186770766973495
omegacsd_VEXROF,rmsd156-opt,0.000934230163693428
omegacsd_VEXROF,rmsd118-opt,0.0008833780884742737
omegacsd_VEXROF,rmsd111-opt,0.0013367601204663515
omegacsd_VEXROF,rmsd96-opt,0.001346660079434514
omegacsd_VEXROF,rmsd114-opt,0.0010049459524452686
omegacsd_VEXROF,rmsd58-opt,0.0009292198810726404
omegacsd_VEXROF,rmsd158-opt,0.0009360220283269882
omegacsd_VEXROF,rmsd64-opt,0.0014051240868866444
omegacsd_VEXROF,rmsd98-opt,0.0010763448663055897
omegacsd_FOLMEY,rmsd231-opt,0.0008237231522798538
omegacsd_FOLMEY,rmsd9-opt,0.0007272451184689999
omegacsd_FOLMEY,rmsd232-opt,0.0007536658085882664
omegacsd_FOLMEY,rmsd36-opt,0.00074923993088305
omegacsd_FOLMEY,rmsd62-opt,0.0007028020918369293
omegacsd_FOLMEY,rmsd149-opt,0.000752873020246625
omegacsd_FOLMEY,rmsd219-opt,0.0007879140321165323
omegacsd_FOLMEY,rmsd209-opt,0.0006649948190897703
omegacsd_FOLMEY,rmsd201-opt,0.0008427868597209454
omegacsd_FOLMEY,rmsd189-opt,7.490813732147217e-05
omegacsd_SILTUC,rmsd79-opt,0.0013222119305282831
omegacsd_SILTUC,rmsd231-opt,0.0008368280250579119
omegacsd_SILTUC,rmsd239-opt,0.0009194181766360998
omegacsd_SILTUC,rmsd162-opt,0.0008116960525512695
omegacsd_SILTUC,rmsd48-opt,0.000984888058155775
omegacsd_SILTUC,rmsd244-opt,0.0007996410131454468
omegacsd_SILTUC,rmsd219-opt,0.0008513419888913631
omegacsd_SILTUC,rmsd245-opt,0.0008631309028714895
omegacsd_SILTUC,rmsd123-opt,0.0007791498210281134
omegacsd_SILTUC,rmsd246-opt,0.0007556520868092775
omegapdb_1xon,rmsd12-opt,0.0009530789684504271
