mol,geom,seconds
astex_1gm8,rmsd112-opt,2861.932
astex_1gm8,rmsd114-opt,2821.742
astex_1gm8,rmsd115-opt,2730.367
astex_1gm8,rmsd125-opt,2717.011
astex_1gm8,rmsd141-opt,2675.013
astex_1gm8,rmsd162-opt,2684.259
astex_1gm8,rmsd163-opt,2571.475
astex_1gm8,rmsd176-opt,2649.478
astex_1gm8,rmsd35-opt,2606.765
astex_1gm8,rmsd48-opt,2557.119
astex_1hnn,rmsd1-opt,1046.34
astex_1hnn,rmsd2-opt,1004.176
astex_1hnn,rmsd3-opt,1053.193
astex_1hnn,rmsd4-opt,1052.374
astex_1hnn,rmsd5-opt,1049.274
astex_1hnn,rmsd6-opt,1053.45
astex_1hnn,rmsd7-opt,1048.979
astex_1hnn,rmsd8-opt,1051.231
astex_1ia1,rmsd2-opt,1664.39
astex_1ia1,rmsd40-opt,1657.248
astex_1ia1,rmsd41-opt,1657.387
astex_1ia1,rmsd42-opt,1670.823
astex_1ia1,rmsd43-opt,1665.545
astex_1ia1,rmsd44-opt,1666.103
astex_1ia1,rmsd46-opt,1659.645
astex_1ia1,rmsd47-opt,1655.142
astex_1ia1,rmsd48-opt,1656.21
astex_1ia1,rmsd49-opt,1657.85
astex_1ig3,rmsd121-opt,1717.628
astex_1ig3,rmsd152-opt,1708.561
astex_1ig3,rmsd167-opt,1718.847
astex_1ig3,rmsd171-opt,1716.541
astex_1ig3,rmsd182-opt,1713.501
astex_1ig3,rmsd197-opt,1714.28
astex_1ig3,rmsd222-opt,1722.468
astex_1ig3,rmsd242-opt,1713.994
astex_1ig3,rmsd24-opt,1644.589
astex_1ig3,rmsd56-opt,1718.622
astex_1j3j,rmsd12-opt,1467.346
astex_1j3j,rmsd13-opt,1464.931
astex_1j3j,rmsd15-opt,1454.666
astex_1j3j,rmsd1-opt,1456.953
astex_1j3j,rmsd2-opt,1473.026
astex_1j3j,rmsd3-opt,1455.97
astex_1j3j,rmsd4-opt,1463.169
astex_1j3j,rmsd7-opt,1473.293
astex_1j3j,rmsd8-opt,1463.337
astex_1j3j,rmsd9-opt,1464.939
astex_1jd0,rmsd12-opt,639.876
astex_1jd0,rmsd18-opt,640.23
astex_1jd0,rmsd19-opt,640.289
astex_1jd0,rmsd22-opt,639.351
astex_1jd0,rmsd3-opt,639.654
astex_1jd0,rmsd44-opt,639.42
astex_1jd0,rmsd47-opt,639.624
astex_1jd0,rmsd54-opt,639.77
astex_1jd0,rmsd56-opt,640.149
astex_1jd0,rmsd9-opt,640.075
astex_1l7f,rmsd103-opt,3528.978
astex_1l7f,rmsd124-opt,3365.247
astex_1l7f,rmsd15-opt,3430.902
astex_1l7f,rmsd171-opt,3502.903
astex_1l7f,rmsd197-opt,3517.453
astex_1l7f,rmsd215-opt,3516.084
astex_1l7f,rmsd246-opt,3649.724
astex_1l7f,rmsd76-opt,3720.605
astex_1l7f,rmsd82-opt,3522.468
astex_1l7f,rmsd97-opt,3341.378
astex_1lpz,rmsd111-opt,6283.834
astex_1lpz,rmsd112-opt,6267.159
astex_1lpz,rmsd119-opt,6256.695
astex_1lpz,rmsd11-opt,6253.145
astex_1lpz,rmsd120-opt,6248.763
astex_1lpz,rmsd122-opt,6269.207
astex_1lpz,rmsd200-opt,6164.898
astex_1lpz,rmsd204-opt,5788.98
astex_1lpz,rmsd221-opt,5769.718
astex_1lpz,rmsd242-opt,6031.776
astex_1mmv,rmsd113-opt,1234.004
astex_1mmv,rmsd137-opt,1250.785
astex_1mmv,rmsd138-opt,1286.355
astex_1mmv,rmsd146-opt,1148.892
astex_1mmv,rmsd15-opt,1262.091
astex_1mmv,rmsd172-opt,1284.381
astex_1mmv,rmsd22-opt,1223.44
astex_1mmv,rmsd44-opt,1226.338
astex_1mmv,rmsd50-opt,1204.138
astex_1mmv,rmsd91-opt,1234.084
astex_1mzc,rmsd10-opt,8201.886
astex_1mzc,rmsd118-opt,8499.611
astex_1mzc,rmsd145-opt,8495.706
astex_1mzc,rmsd14-opt,8403.733
astex_1mzc,rmsd152-opt,8312.275
astex_1mzc,rmsd201-opt,7197.023
astex_1mzc,rmsd202-opt,7383.301
astex_1mzc,rmsd221-opt,7917.255
astex_1mzc,rmsd22-opt,8429.727
astex_1mzc,rmsd250-opt,7833.837
astex_1n1m,rmsd13-opt,968.135
astex_1n1m,rmsd20-opt,967.476
astex_1n1m,rmsd29-opt,971.358
astex_1n1m,rmsd34-opt,970.486
astex_1n1m,rmsd37-opt,969.666
